order,mode,repeat_idx,kind,active_override,theta
1,baseline,1,empirical_control,0,
2,flat_slow10,2,vx_single_axis,1,"1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
3,flat_clear03,2,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.003,0.0,0.0,0.0"
4,flat_slow03,2,vx_single_axis,1,"1.0,0.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
5,flat_slow10,1,vx_single_axis,1,"1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
6,flat_noop,1,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
7,flat_slow03,1,vx_single_axis,1,"1.0,0.97,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
8,flat_noop,2,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
9,flat_slow06,1,vx_single_axis,1,"1.0,0.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
10,flat_clear05,2,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
11,flat_clear045,2,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.0045,0.0,0.0,0.0"
12,baseline,2,empirical_control,0,
13,flat_clear045,1,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.0045,0.0,0.0,0.0"
14,flat_clear05,1,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
15,flat_slow06,2,vx_single_axis,1,"1.0,0.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
16,flat_clear03,1,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.003,0.0,0.0,0.0"
