order,mode,repeat_idx,kind,active_override,theta
1,baseline,1,empirical_control,0,
2,flat_noop,1,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
3,flat_body_low05,1,body_height_single_axis,1,"1.0,1.0,0.0,1.0,-0.005,0.0,0.0,0.0,0.0"
4,flat_body_high05,1,body_height_single_axis,1,"1.0,1.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0"
5,flat_noop,2,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
6,flat_body_low05,2,body_height_single_axis,1,"1.0,1.0,0.0,1.0,-0.005,0.0,0.0,0.0,0.0"
7,flat_body_high05,2,body_height_single_axis,1,"1.0,1.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0"
8,baseline,2,empirical_control,0,
9,flat_body_low05,3,body_height_single_axis,1,"1.0,1.0,0.0,1.0,-0.005,0.0,0.0,0.0,0.0"
10,flat_body_high05,3,body_height_single_axis,1,"1.0,1.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0"
11,baseline,3,empirical_control,0,
12,flat_noop,3,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
13,flat_body_high05,4,body_height_single_axis,1,"1.0,1.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0"
14,baseline,4,empirical_control,0,
15,flat_noop,4,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
16,flat_body_low05,4,body_height_single_axis,1,"1.0,1.0,0.0,1.0,-0.005,0.0,0.0,0.0,0.0"
17,baseline,5,empirical_control,0,
18,flat_body_high05,5,body_height_single_axis,1,"1.0,1.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0"
19,flat_body_low05,5,body_height_single_axis,1,"1.0,1.0,0.0,1.0,-0.005,0.0,0.0,0.0,0.0"
20,flat_noop,5,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
21,flat_body_low05,6,body_height_single_axis,1,"1.0,1.0,0.0,1.0,-0.005,0.0,0.0,0.0,0.0"
22,flat_noop,6,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
23,baseline,6,empirical_control,0,
24,flat_body_high05,6,body_height_single_axis,1,"1.0,1.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0"
