order,mode,repeat_idx,kind,active_override,theta
1,baseline,1,empirical_control,0,
2,rough_noop,1,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
3,rough_clear_low05,1,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,-0.005,0.0,0.0,0.0"
4,rough_clear_high05,1,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
5,rough_noop,2,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
6,rough_clear_low05,2,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,-0.005,0.0,0.0,0.0"
7,rough_clear_high05,2,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
8,baseline,2,empirical_control,0,
9,rough_clear_low05,3,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,-0.005,0.0,0.0,0.0"
10,rough_clear_high05,3,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
11,baseline,3,empirical_control,0,
12,rough_noop,3,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
13,rough_clear_high05,4,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
14,baseline,4,empirical_control,0,
15,rough_noop,4,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
16,rough_clear_low05,4,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,-0.005,0.0,0.0,0.0"
17,baseline,5,empirical_control,0,
18,rough_clear_high05,5,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
19,rough_clear_low05,5,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,-0.005,0.0,0.0,0.0"
20,rough_noop,5,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
21,rough_clear_low05,6,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,-0.005,0.0,0.0,0.0"
22,rough_noop,6,noop_control,1,"1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0"
23,baseline,6,empirical_control,0,
24,rough_clear_high05,6,clearance_single_axis,1,"1.0,1.0,0.0,1.0,0.0,0.005,0.0,0.0,0.0"
