terrain,mission,risk_level,ram_risk,recovery_needed,beta_motion,beta_stability,beta_energy,raw_empirical_style,target_style,target_source
flat_normal,motion,low,0.05,0.0,0.7,0.2,0.1,fast,fast,empirical_low_risk
flat_normal,motion,mid,0.35,0.0,0.15,0.75,0.1,fast,cautious,risk_mid_override_fast
flat_normal,motion,high,0.75,1.0,0.08,0.82,0.1,fast,cautious,risk_high_override_fast
flat_normal,deploy,low,0.05,0.0,0.34,0.56,0.1,fast,fast,empirical_low_risk
flat_normal,deploy,mid,0.35,0.0,0.15,0.75,0.1,fast,cautious,risk_mid_override_fast
flat_normal,deploy,high,0.75,1.0,0.08,0.82,0.1,fast,cautious,risk_high_override_fast
flat_normal,stability,low,0.05,0.0,0.15,0.75,0.1,fast,fast,empirical_low_risk
flat_normal,stability,mid,0.35,0.0,0.15,0.75,0.1,fast,cautious,risk_mid_override_fast
flat_normal,stability,high,0.75,1.0,0.08,0.82,0.1,fast,cautious,risk_high_override_fast
rough_mid,motion,low,0.05,0.0,0.7,0.2,0.1,fast,fast,empirical_low_risk
rough_mid,motion,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
rough_mid,motion,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
rough_mid,deploy,low,0.05,0.0,0.34,0.56,0.1,fast,fast,empirical_low_risk
rough_mid,deploy,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
rough_mid,deploy,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
rough_mid,stability,low,0.05,0.0,0.15,0.75,0.1,fast,fast,empirical_low_risk
rough_mid,stability,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
rough_mid,stability,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
slippery_downslope_5deg_forward,motion,low,0.05,0.0,0.7,0.2,0.1,fast,fast,empirical_low_risk
slippery_downslope_5deg_forward,motion,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
slippery_downslope_5deg_forward,motion,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
slippery_downslope_5deg_forward,deploy,low,0.05,0.0,0.34,0.56,0.1,fast,fast,empirical_low_risk
slippery_downslope_5deg_forward,deploy,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
slippery_downslope_5deg_forward,deploy,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
slippery_downslope_5deg_forward,stability,low,0.05,0.0,0.15,0.75,0.1,cautious,cautious,empirical_low_risk
slippery_downslope_5deg_forward,stability,mid,0.35,0.0,0.15,0.75,0.1,cautious,cautious,risk_mid_keep_nonfast
slippery_downslope_5deg_forward,stability,high,0.75,1.0,0.08,0.82,0.1,cautious,cautious,risk_high_keep_nonfast
slope_5deg,motion,low,0.05,0.0,0.7,0.2,0.1,fast,fast,empirical_low_risk
slope_5deg,motion,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
slope_5deg,motion,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
slope_5deg,deploy,low,0.05,0.0,0.34,0.56,0.1,fast,fast,empirical_low_risk
slope_5deg,deploy,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
slope_5deg,deploy,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
slope_5deg,stability,low,0.05,0.0,0.15,0.75,0.1,fast,fast,empirical_low_risk
slope_5deg,stability,mid,0.35,0.0,0.15,0.75,0.1,fast,high_clearance,risk_mid_override_fast
slope_5deg,stability,high,0.75,1.0,0.08,0.82,0.1,fast,high_clearance,risk_high_override_fast
sponge_firm_downslope_5deg_forward,motion,low,0.05,0.0,0.7,0.2,0.1,fast,fast,empirical_low_risk
sponge_firm_downslope_5deg_forward,motion,mid,0.35,0.0,0.15,0.75,0.1,fast,cautious,risk_mid_override_fast
sponge_firm_downslope_5deg_forward,motion,high,0.75,1.0,0.08,0.82,0.1,fast,cautious,risk_high_override_fast
sponge_firm_downslope_5deg_forward,deploy,low,0.05,0.0,0.34,0.56,0.1,cautious,cautious,empirical_low_risk
sponge_firm_downslope_5deg_forward,deploy,mid,0.35,0.0,0.15,0.75,0.1,cautious,cautious,risk_mid_keep_nonfast
sponge_firm_downslope_5deg_forward,deploy,high,0.75,1.0,0.08,0.82,0.1,cautious,cautious,risk_high_keep_nonfast
sponge_firm_downslope_5deg_forward,stability,low,0.05,0.0,0.15,0.75,0.1,cautious,cautious,empirical_low_risk
sponge_firm_downslope_5deg_forward,stability,mid,0.35,0.0,0.15,0.75,0.1,cautious,cautious,risk_mid_keep_nonfast
sponge_firm_downslope_5deg_forward,stability,high,0.75,1.0,0.08,0.82,0.1,cautious,cautious,risk_high_keep_nonfast
