terrain,bucket,rank,episode_id,preset,label,cost,vx,body_height,clearance,dx,z_p10,abs_dy_per_dx,roll_abs_max,pitch_abs_max,yaw_delta
flat_normal,preferred,1,flat_normal_flat_refine_vx012_h032_c006_r2_20260629_172248,flat_refine_vx012_h032_c006,preferred_fast_flat,-0.2185611096753006,0.12,0.32,0.06,0.1444487500305018,0.3428746241140094,0.001608010662249,0.0131315967497099,0.026946810365058,-0.012773474641939
flat_normal,preferred,2,flat_normal_flat_probe_vx010_h032_c006_r2_20260629_170605,flat_probe_vx010_h032_c006,preferred_fast_flat,-0.2095407477568645,0.1,0.32,0.06,0.1376474424190836,0.3497665272262353,0.0261175196878861,0.0144591806298872,0.0286999988818924,-0.0012692097670417
flat_normal,preferred,3,flat_normal_flat_refine_vx010_h032_c004_r1_20260629_172049,flat_refine_vx010_h032_c004,preferred_balanced_flat,-0.1951471015824794,0.1,0.32,0.04,0.1297170159434131,0.3471292143852784,0.0314793908262785,0.0124056033289981,0.0271318822615837,-0.0062258773980926
flat_normal,preferred,4,flat_normal_flat_refine_vx012_h032_c006_r1_20260629_172231,flat_refine_vx012_h032_c006,preferred_fast_flat,-0.1922370541418072,0.12,0.32,0.06,0.1434477970122838,0.330227735400797,0.2328493196614251,0.0163610837060939,0.0380775084949475,-0.0162508144764979
flat_normal,preferred,5,flat_normal_flat_refine_vx010_h032_c006_r2_20260629_172141,flat_refine_vx010_h032_c006,preferred_balanced_flat,-0.1684137988471709,0.1,0.32,0.06,0.1273340830901155,0.3450461969199941,0.0216746707486673,0.016001820627278,0.0327613760760143,-0.016386965347652
flat_normal,conservative,1,flat_normal_flat_refine_vx010_h032_c004_r1_20260629_172049,flat_refine_vx010_h032_c004,preferred_balanced_flat,-0.1951471015824794,0.1,0.32,0.04,0.1297170159434131,0.3471292143852784,0.0314793908262785,0.0124056033289981,0.0271318822615837,-0.0062258773980926
flat_normal,conservative,2,flat_normal_flat_refine_vx010_h032_c006_r2_20260629_172141,flat_refine_vx010_h032_c006,preferred_balanced_flat,-0.1684137988471709,0.1,0.32,0.06,0.1273340830901155,0.3450461969199941,0.0216746707486673,0.016001820627278,0.0327613760760143,-0.016386965347652
flat_normal,conservative,3,flat_normal_flat_refine_vx010_h034_c006_r2_20260629_172214,flat_refine_vx010_h034_c006,preferred_balanced_flat,-0.1482830147428487,0.1,0.3399999999999999,0.06,0.1227352648510358,0.3466851647322979,0.2419290349889044,0.0114933445667155,0.0462098811201094,0.0132908455362319
flat_normal,conservative,4,flat_normal_flat_refine_vx009_h032_c005_r1_20260629_172015,flat_refine_vx009_h032_c005,preferred_balanced_flat,-0.1203490321466375,0.0899999999999999,0.32,0.05,0.1003704875137518,0.3458261567034889,0.1989524106384551,0.0188626025441899,0.0314275034242706,0.0061959799102193
flat_normal,conservative,5,flat_normal_flat_probe_vx008_h032_c004_r1_20260629_170622,flat_probe_vx008_h032_c004,preferred_balanced_flat,-0.1167772093293509,0.08,0.32,0.04,0.0977884595849707,0.3632263664142729,0.0976620408057772,0.0140191098290296,0.0332996434942189,0.0097769748196471
flat_normal,avoid,1,flat_normal_flat_refine_vx010_h032_c006_r1_20260629_172123,flat_refine_vx010_h032_c006,variable_forward_with_lateral_drift,1.8833139828546133,0.1,0.32,0.06,0.1085004352506788,0.3564287050434544,0.3902130405755132,0.0149117436866743,0.0437902130076288,0.0153273978931459
flat_normal,avoid,2,flat_normal_flat_refine_vx010_h032_c004_r2_20260629_172106,flat_refine_vx010_h032_c004,negative_lateral_drift,5.108026610120623,0.1,0.32,0.04,0.0125345877525298,0.3537282041060952,3.119645926340227,0.024748685589439,0.0602932720281143,0.0069160614991912
flat_normal,avoid,3,flat_normal_flat_probe_vx008_h032_c004_r2_20260629_170638,flat_probe_vx008_h032_c004,negative_low_height,7.119425233074299,0.08,0.32,0.04,0.0358763348757733,0.2613061157868398,0.0563111448155377,0.0268674243407978,0.0938070032499148,0.0127078267997212
flat_normal,avoid,4,flat_normal_flat_refine_vx008_h032_c004_r1_20260629_171942,flat_refine_vx008_h032_c004,negative_unstable_attitude,7.909997375453465,0.08,0.32,0.04,0.0160768934959083,0.3173129816222914,10.006092714036248,0.1420302109976828,0.3758359086051718,0.2066899788012503
flat_normal,avoid,5,flat_normal_flat_probe_vx006_h032_c006_r1_20260629_170655,flat_probe_vx006_h032_c006,negative_low_height,9.14592178066188,0.06,0.32,0.06,-0.0002753831137773,0.2667441521241731,29.665047858492237,0.0212600149771149,0.0738304898334824,-0.0034190715230364
