name,label,semantic_mode,risk_level,recovery_needed,vx,body_height,swing_clearance,impedance_scale,mpc_yaw_rate,mpc_vx,mpc_vy,mpc_body_height,mpc_swing_clearance,mpc_enable,mpc_array_json,reward_mean,directional_dx,abs_final_dy,done_count
solid_even_forward,stable,normal_forward,low,False,0.1,0.295,0.03,1.0,0.0,0.1,0.0,0.295,0.03,1.0,"[0.0, 0.1, 0.0, 0.295, 0.03, 1.0]",0.045035,0.028664,0.001238,0
solid_downslope5_forward,stable,normal_forward,low,False,0.1,0.295,0.03,1.0,0.0,0.1,0.0,0.295,0.03,1.0,"[0.0, 0.1, 0.0, 0.295, 0.03, 1.0]",0.045904,0.050602,0.003608,0
rough_bumps_start020_forward,stable,normal_forward,low,False,0.1,0.295,0.03,1.0,0.0,0.1,0.0,0.295,0.03,1.0,"[0.0, 0.1, 0.0, 0.295, 0.03, 1.0]",0.045273,0.028048,0.000931,0
solid_upslope5_forward,safe_no_progress,high_clearance_slow_probe,medium,False,0.045000000000000005,0.315,0.06,1.15,0.0,0.045000000000000005,0.0,0.315,0.06,1.0,"[0.0, 0.045000000000000005, 0.0, 0.315, 0.06, 1.0]",0.031098,-0.022638,0.001229,0
rough_bumps_start018_forward,borderline,cautious_probe,medium,False,0.05500000000000001,0.305,0.05,1.1,0.0,0.05500000000000001,0.0,0.305,0.05,1.0,"[0.0, 0.05500000000000001, 0.0, 0.305, 0.05, 1.0]",0.040052,0.009999,0.000283,0
icy_slippery_even_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,True,0.025,0.32499999999999996,0.04,1.25,0.0,0.025,0.0,0.32499999999999996,0.04,1.0,"[0.0, 0.025, 0.0, 0.32499999999999996, 0.04, 1.0]",-5.954946,0.062006,0.088156,15
sponge_like_even_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,True,0.025,0.32499999999999996,0.04,1.25,0.0,0.025,0.0,0.32499999999999996,0.04,1.0,"[0.0, 0.025, 0.0, 0.32499999999999996, 0.04, 1.0]",-4.483765,0.057194,0.132297,18
icy_slippery_downslope5_forward,unstable_slip_or_drift,active_hold_or_slow_probe,high,True,0.025,0.32499999999999996,0.04,1.25,0.0,0.025,0.0,0.32499999999999996,0.04,1.0,"[0.0, 0.025, 0.0, 0.32499999999999996, 0.04, 1.0]",-3.30623,0.15492,0.008472,40
sponge_like_downslope5_forward,failure,no_valid_forward_recovery_needed,critical,True,0.0,0.33499999999999996,0.03,1.35,0.0,0.0,0.0,0.33499999999999996,0.03,1.0,"[0.0, 0.0, 0.0, 0.33499999999999996, 0.03, 1.0]",-4.163631,0.126863,0.081235,32
mud_slippery_even_forward,failure,no_valid_forward_recovery_needed,critical,True,0.0,0.33499999999999996,0.03,1.35,0.0,0.0,0.0,0.33499999999999996,0.03,1.0,"[0.0, 0.0, 0.0, 0.33499999999999996, 0.03, 1.0]",-6.041593,-0.009315,0.053452,24
icy_slippery_upslope5_forward,failure,no_valid_forward_recovery_needed,critical,True,0.0,0.33499999999999996,0.03,1.35,0.0,0.0,0.0,0.33499999999999996,0.03,1.0,"[0.0, 0.0, 0.0, 0.33499999999999996, 0.03, 1.0]",-6.561584,-0.002605,2.6e-05,64
mud_slippery_upslope5_forward,failure,no_valid_forward_recovery_needed,critical,True,0.0,0.33499999999999996,0.03,1.35,0.0,0.0,0.0,0.33499999999999996,0.03,1.0,"[0.0, 0.0, 0.0, 0.33499999999999996, 0.03, 1.0]",-6.591571,-0.002961,2.4e-05,64
sponge_like_upslope5_forward,failure,no_valid_forward_recovery_needed,critical,True,0.0,0.33499999999999996,0.03,1.35,0.0,0.0,0.0,0.33499999999999996,0.03,1.0,"[0.0, 0.0, 0.0, 0.33499999999999996, 0.03, 1.0]",-6.547353,-0.00395,1.8e-05,64
