label,policy,trial,schedule,success,goal,out_lane,startup_failed,stopped,time,max_abs_y,mean_abs_y,final_x,final_y,score,log_dir
m205_200_confirm,segment,1,"0,4.000,0.2050,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,188.0,0.985,0.5605769230769231,7.852,-0.985,111.15211538461539,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_024230
m205_200_confirm,segment,2,"0,4.000,0.2050,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,176.0,0.185,0.06490322580645161,7.994,-0.032,122.52298387096774,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_024651
m205_200_confirm,segment,3,"0,4.000,0.2050,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",False,False,False,False,True,,0.563,0.29314285714285715,7.928,-0.54,8.834285714285718,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_025053
m205_200_confirm,segment,4,"0,4.000,0.2050,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",False,False,False,False,True,,0.549,0.288,7.903,-0.518,8.906249999999995,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_025504
m205_200_confirm,segment,5,"0,4.000,0.2050,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",False,False,False,False,True,,0.292,0.10227551020408163,7.893,-0.26,12.367372448979593,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_025916
m210_200_confirm,segment,1,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,184.0,0.299,0.14889795918367343,7.952,0.134,120.56551020408163,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_030327
m210_200_confirm,segment,2,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,176.0,0.501,0.28781720430107527,7.956,-0.354,118.10591397849463,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_030739
m210_200_confirm,segment,3,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,182.0,1.36,0.5782857142857144,7.933,-1.355,107.79732142857144,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_031140
m210_200_confirm,segment,4,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,186.0,0.384,0.18940816326530618,7.924,-0.293,119.34795918367347,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_031552
m210_200_confirm,segment,5,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2000,0.3200,0.0450,tail",True,True,False,False,True,182.0,0.191,0.07269387755102041,7.932,-0.17,122.01153061224491,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_032003
m210_2025_confirm,segment,1,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2025,0.3200,0.0450,tail",True,True,False,False,True,178.0,0.43,0.2214081632653061,7.877,-0.321,118.79170918367346,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_032415
m210_2025_confirm,segment,2,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2025,0.3200,0.0450,tail",True,True,False,False,True,182.0,0.226,0.11121212121212119,7.926,-0.226,121.44643939393939,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_032826
m210_2025_confirm,segment,3,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2025,0.3200,0.0450,tail",True,True,False,False,True,176.0,0.197,0.09382795698924738,7.929,0.142,122.01461021505375,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_033238
m210_2025_confirm,segment,4,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2025,0.3200,0.0450,tail",True,True,False,False,True,182.0,0.352,0.09099999999999997,7.922,-0.352,120.27250000000002,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_033639
m210_2025_confirm,segment,5,"0,4.000,0.2100,0.3200,0.0450,start;4.000,999,0.2025,0.3200,0.0450,tail",True,True,False,False,True,184.0,0.488,0.1690714285714286,7.946,-0.488,118.55214285714288,/home/kraken/Tracer/TRACER/logs/phase_d_segment_action_20260718_034051
