source_manifest,source_d5_dir,source_csv,source_trial,source_row_index,context,target_beta_motion,target_beta_stability,target_beta_energy,runtime_pred_beta_motion,runtime_pred_beta_stability,runtime_pred_beta_energy,runtime_raw_beta_motion,runtime_raw_beta_stability,runtime_raw_beta_energy,reset_y,y_mean,mean_abs_y_context,max_abs_y_context,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,motion_score,stability_score,energy_score,effort_proxy,hold_drift,rollout_max_abs_y,rollout_mean_abs_y
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,6,flat,0.537915431,0.192661716,0.269422853,0.390216698,0.088095238,0.521688064,0.394034416,0.000000001,0.605965584,0.003351087,0.000000000,0.026996256,0.030567439,0.000000000,0.050000000,0.050000000,0.151204537,0.987773024,0.505431955,0.494568045,0.000000000,0.030567439,0.023315896
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,9,flat,0.537070678,0.193784013,0.269145309,0.390214859,0.088095238,0.521689903,0.394032002,0.000000001,0.605967997,0.003351087,0.000000000,0.033009876,0.033785389,0.000000000,0.050000000,0.050000000,0.152247327,0.986485845,0.505301424,0.494698576,0.000000000,0.033785389,0.033009876
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,12,flat,0.536953250,0.193823857,0.269222893,0.390272209,0.088095238,0.521632553,0.394107274,0.000000001,0.605892725,0.003351087,0.000000000,0.033630610,0.033753864,0.000000000,0.050000000,0.050000000,0.153295758,0.986498455,0.505263137,0.494736863,0.000000000,0.033753864,0.033630610
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,15,flat,0.536553837,0.194279753,0.269166410,0.390336375,0.088095238,0.521568387,0.394191492,0.000000001,0.605808507,0.003351087,0.000000000,0.033687657,0.034957890,0.000000000,0.050000000,0.050000000,0.154419278,0.986016844,0.505244951,0.494755049,0.000000000,0.034957890,0.033687657
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,18,flat,0.535678146,0.195462115,0.268859739,0.390377207,0.088095238,0.521527554,0.394245084,0.000000001,0.605754915,0.003351087,0.000000000,0.036534358,0.038361421,0.000000000,0.050000000,0.050000000,0.155445031,0.984655432,0.505214974,0.494785026,0.000000000,0.038361421,0.036534358
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,21,flat,0.534618289,0.196927015,0.268454696,0.390407595,0.088095238,0.521497167,0.394284968,0.000000001,0.605715032,0.003351087,0.000000000,0.040480805,0.042634550,0.000000000,0.050000000,0.050000000,0.156416822,0.982946180,0.505173687,0.494826313,0.000000000,0.042634550,0.040480805
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,24,flat,0.533663014,0.198222175,0.268114810,0.390442002,0.088095238,0.521462760,0.394330127,0.000000001,0.605669872,0.003351087,0.000000000,0.044839289,0.046393179,0.000000000,0.050000000,0.050000000,0.157484913,0.981442729,0.505124274,0.494875726,0.000000000,0.046393179,0.044839289
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,27,flat,0.533492038,0.198324860,0.268183102,0.390502767,0.088095238,0.521401995,0.394409882,0.000000001,0.605590117,0.003351087,0.000000000,0.046439904,0.046528029,0.000000000,0.050000000,0.050000000,0.158672370,0.981388788,0.505081857,0.494918143,0.000000000,0.046528029,0.046439904
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,30,flat,0.533336792,0.198408602,0.268254606,0.390570152,0.088095238,0.521334610,0.394498324,0.000000001,0.605501676,0.003351087,0.000000000,0.046509002,0.046609259,0.000000000,0.050000000,0.050000000,0.159830116,0.981356296,0.505048965,0.494951035,0.000000000,0.046609259,0.046509002
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,33,flat,0.533075345,0.198651338,0.268273317,0.390637090,0.088095238,0.521267672,0.394586180,0.000000001,0.605413819,0.003351087,0.000000000,0.046740487,0.047169777,0.000000000,0.050000000,0.050000000,0.160997553,0.981132089,0.505022085,0.494977915,0.000000000,0.047169777,0.046740487
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,36,flat,0.532588822,0.199253151,0.268158027,0.390688296,0.088095238,0.521216466,0.394653388,0.000000001,0.605346611,0.003351087,0.000000000,0.047893911,0.048842591,0.000000000,0.050000000,0.050000000,0.162002527,0.980462964,0.504996774,0.495003226,0.000000000,0.048842591,0.047893911
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,39,flat,0.532044253,0.199941628,0.268014119,0.390734933,0.088095238,0.521169828,0.394714600,0.000000001,0.605285399,0.003351087,0.000000000,0.049944248,0.050779402,0.000000000,0.050000000,0.050000000,0.163012256,0.979688239,0.504970197,0.495029803,0.000000000,0.050779402,0.049944248
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,42,flat,0.531928907,0.199966718,0.268104375,0.390803683,0.088095238,0.521101079,0.394804834,0.000000001,0.605195165,0.003351087,0.000000000,0.049961202,0.050681156,0.000000000,0.050000000,0.050000000,0.164168084,0.979727538,0.504948078,0.495051922,0.000000000,0.050681156,0.049961202
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,45,flat,0.532151260,0.199507474,0.268341267,0.390873136,0.088095238,0.521031626,0.394895990,0.000000001,0.605104009,0.003351087,0.000000000,0.048136760,0.049141493,0.000000000,0.050000000,0.050000000,0.165142504,0.980343403,0.504933449,0.495066551,0.000000000,0.049141493,0.048136760
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,48,flat,0.532506433,0.198835199,0.268658368,0.390954090,0.088095238,0.520950672,0.395002243,0.000000001,0.604997756,0.003351087,0.000000000,0.045602369,0.046942961,0.000000000,0.050000000,0.050000000,0.166225660,0.981222816,0.504926234,0.495073766,0.000000000,0.046942961,0.045602369
reports/phase_d4_context_meta_repeat_20260719_232254_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260719_232254_trial_1/d7_objective_selector_shadow_v0.csv,1,51,flat,0.532817385,0.198230209,0.268952406,0.391025974,0.088095238,0.520878788,0.395096590,0.000000001,0.604903409,0.003351087,0.000000000,0.044778407,0.044953101,0.000000000,0.050000000,0.050000000,0.167302453,0.982018760,0.504921432,0.495078568,0.000000000,0.044953101,0.044778407
