pref_type,world,reset_y,goal_x,preferred_idx,rejected_idx,preferred_dims,rejected_dims,preferred_score,rejected_score,score_diff,preferred_success,rejected_success,preferred_goal,rejected_goal,preferred_final_y,rejected_final_y,preferred_path_max_abs_y,rejected_path_max_abs_y,preferred_path_mean_abs_y,rejected_path_mean_abs_y,preferred_moving_accept_rate,rejected_moving_accept_rate,preferred_beta_motion,preferred_beta_stability,preferred_beta_energy,rejected_beta_motion,rejected_beta_stability,rejected_beta_energy,preferred_manifest,rejected_manifest,preferred_d5_log_dir,rejected_d5_log_dir
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,0.0,8.0,0,12,True/True/True,False/False/True,6.183678336898883,5.953555165161409,0.23012317173747387,1,1,1,1,-0.139651401,-0.120248731,0.196044733,0.353173812,0.07989726048120611,0.15009537497610217,0.9943566591422122,0.9938375350140056,0.32823025777199505,0.42951477931268073,0.24225496292730278,0.3133469889011125,0.45599786548496085,0.23065514560980635,reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_224250_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_224250_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,0.0,8.0,12,2,False/False/True,True/True/True,5.953555165161409,5.892068734296829,0.061486430864579944,1,1,1,1,-0.120248731,-0.057587734,0.353173812,0.417246651,0.15009537497610217,0.1794828786542751,0.9938375350140056,0.9937606352807714,0.3133469889011125,0.45599786548496085,0.23065514560980635,0.31740938148327136,0.4474714253990087,0.23511919311565468,reports/phase_d4_context_meta_repeat_20260720_224250_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_224250_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_3
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,0.0,8.0,0,12,True/True/True,False/False/True,5.403535822193414,5.285491615711063,0.11804420648235148,1,1,1,1,-0.139651401,-0.120248731,0.196044733,0.353173812,0.07989726048120611,0.15009537497610217,0.9943566591422122,0.9938375350140056,0.32823025777199505,0.42951477931268073,0.24225496292730278,0.3133469889011125,0.45599786548496085,0.23065514560980635,reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_224250_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_224250_trial_1
balanced,tracer_mixed_stress_course_v5_lowfric_from_solid,0.0,8.0,12,2,False/False/True,True/True/True,5.285491615711063,5.248202294506366,0.03728932120469697,1,1,1,1,-0.120248731,-0.057587734,0.353173812,0.417246651,0.15009537497610217,0.1794828786542751,0.9938375350140056,0.9937606352807714,0.3133469889011125,0.45599786548496085,0.23065514560980635,0.31740938148327136,0.4474714253990087,0.23511919311565468,reports/phase_d4_context_meta_repeat_20260720_224250_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_155704_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_224250_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_155704_trial_3
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,6,3,False/True/True,True/True/True,5.622316653208037,5.313079230526319,0.3092374226817176,1,1,1,1,0.473933466,0.69381794,0.505080384,0.69381794,0.24361184922112342,0.22194747996818182,0.9939527212754261,0.9288493607559756,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,7,3,False/False/True,True/True/True,6.168609231779856,5.313079230526319,0.8555300012535367,1,1,1,1,0.183264746,0.69381794,0.198682501,0.69381794,0.08106945997811726,0.22194747996818182,0.9943278502552467,0.9288493607559756,0.3259869680660611,0.42898462239760526,0.24502840952146987,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_192832_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192832_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,8,3,False/False/True,True/True/True,5.963668689492384,5.313079230526319,0.6505894589660652,1,1,1,1,-0.258636898,0.69381794,0.321473918,0.69381794,0.14412553860115368,0.22194747996818182,0.9932241671372106,0.9288493607559756,0.3208979420498558,0.44284962408199424,0.23625243386485373,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,9,3,False/False/True,True/True/True,5.629886957864524,5.313079230526319,0.3168077273382046,1,1,1,1,-0.503370892,0.69381794,0.517949526,0.69381794,0.20932929799258038,0.22194747996818182,0.9927777777777778,0.9288493607559756,0.3080224039286892,0.4691904886830173,0.22278710738994228,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_2,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,10,3,False/False/True,True/True/True,5.575872919830052,5.313079230526319,0.2627936893037326,1,1,1,1,-0.442775134,0.69381794,0.500839287,0.69381794,0.3307266829719588,0.22194747996818182,0.9939159292035398,0.9288493607559756,0.30573590911876286,0.4705834882243299,0.2236806026441237,0.31117324643223143,0.4610933653652893,0.227733388203719,reports/phase_d4_context_meta_repeat_20260720_194813_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_162902_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_194813_trial_3,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_162902_trial_1
stability,tracer_mixed_stress_course_v5_lowfric_from_solid,-0.3,8.0,6,5,False/True/True,True/False/True,5.622316653208037,5.336320003193359,0.28599665001467756,1,1,1,1,0.473933466,0.664389687,0.505080384,0.667301953,0.24361184922112342,0.28582571604509494,0.9939527212754261,0.9596290234588107,0.30157495472943036,0.4762893269454114,0.22213571834414558,0.3015644696356804,0.47143569707357597,0.22699983329588608,reports/phase_d4_context_meta_repeat_20260720_192118_manifest.tsv,reports/phase_d4_context_meta_repeat_20260720_180654_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_192118_trial_1,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260720_180654_trial_1
