feature,kind,global_std,between_group_mean_range,separability_range_over_std,clean_mean,clean_std,clean_n,m015_mean,m015_std,m015_n,m030_mean,m030_std,m030_n,m060_mean,m060_std,m060_n,p015_mean,p015_std,p015_n,p030_mean,p030_std,p030_n,p060_mean,p060_std,p060_n
target_beta_stability_grouped_true_metric,target,0.11339764439645968,0.44716993401146277,3.9433793919745974,0.21944531808431472,0.0,6672,0.22621251623455485,0.0,2124,0.14782815415135964,0.0,6572,0.13599664829708882,0.0,2226,0.32542136043605957,0.0,2124,0.27220253322961147,0.0,6570,0.5831665823085516,0.0,2225
target_beta_motion_grouped_true_metric,target,0.16896908390525908,0.607594374047371,3.5958907985087323,0.367900582225656,0.0,6672,0.6278224140770668,0.0,2124,0.3333709202480769,0.0,6572,0.5482220759171985,0.0,2226,0.6353642113001592,0.0,2124,0.5883833980070469,0.0,6570,0.02776983725278817,0.0,2225
target_beta_energy_grouped_true_metric,target,0.16470234747806767,0.4795864973367822,2.9118376555054604,0.41265409969002925,0.0,6672,0.14596506968837833,0.0,2124,0.5188009256005635,0.0,6572,0.3157812757857126,0.0,2226,0.03921442826378122,0.0,2124,0.1394140687633417,0.0,6570,0.38906358043866024,0.0,2225
y,runtime_feature,0.21772764690237545,0.49573786619376214,2.2768714641739582,-0.16220084993540168,0.14554283010792507,6672,-0.1260636447410546,0.11283424589254518,2124,-0.26954089945982956,0.25496131979306647,6572,-0.18090503881042228,0.13049765444887443,2226,-0.18887581455602637,0.1446022616626747,2124,-0.030181701171232877,0.13125860208357684,6570,0.22619696673393258,0.17094306117379737,2225
ref_yaw_rate_mean,runtime_feature,0.004473784561400922,0.008718366412609299,1.9487676022287554,0.0026887874117206235,0.0033462738335245643,6672,0.002903446093220339,0.002898362427420626,2124,0.004986204234631771,0.005629659476940464,6572,0.0030269254088050312,0.0028250881179732014,2226,0.004466028314971751,0.0037187145381144043,2124,0.000888855296803653,0.0027137699795588633,6570,-0.003732162177977528,0.003059328017222861,2225
rollout_max_abs_y,runtime_feature,0.17136086933370337,0.17564580329333523,1.0250053234223941,0.1792127785738909,0.12549333240765256,6672,0.13579446881450094,0.10280007229699765,2124,0.27624566689363966,0.2487922735329047,6572,0.18856022547708895,0.12068784674941235,2226,0.19529493990536723,0.13773937887329585,2124,0.10059986360030441,0.09083659817319717,6570,0.2271352283339326,0.17087318373518576,2225
max_abs_y_context,runtime_feature,0.1713586819969277,0.17564327351396541,1.025003644210537,0.17920866075314748,0.12549340452817492,6672,0.13579160032344634,0.1027949904384771,2124,0.2762400221235545,0.24878648330580377,6572,0.18855864737151842,0.1206895863491312,2226,0.19528887544585688,0.137740797593376,2124,0.10059674860958905,0.0908364295395207,6570,0.2271307350961798,0.17087504393137548,2225
mean_abs_y_context,runtime_feature,0.1713660255582336,0.17559532735074412,1.0246799316184954,0.17791496846642685,0.12554047844599303,6672,0.13451534769868173,0.10263195886581032,2124,0.27487599680553865,0.24879256225184943,6572,0.1872484924281222,0.12070483958231529,2226,0.1939224497015066,0.1377630340027227,2124,0.09928066945479452,0.09089023082525623,6570,0.22584633093573034,0.17090428691699697,2225
rollout_mean_abs_y,runtime_feature,0.17136752967367191,0.17559643388580815,1.0246773949545118,0.17791274825704437,0.12554183750142694,6672,0.1345143138460452,0.10263584399153705,2124,0.27487659362020694,0.24879669074490673,6572,0.18724613059973047,0.12070201834025768,2226,0.19392344971516007,0.137761113679922,2124,0.09928015973439878,0.09088903831706541,6570,0.22584469981662922,0.1709041325639128,2225
stability_score,runtime_feature,0.07548691310000218,0.07242817424429371,0.9594798789605243,0.9217732657790767,0.057845107318615176,6672,0.9341678989656309,0.040945839367085415,2124,0.8822565865048692,0.10876259767962487,6572,0.910294037092992,0.07301518750121404,2226,0.9199666743822975,0.05335784384764341,2124,0.9546847607491629,0.041060418891744915,6570,0.9067157091002247,0.0721117924127868,2225
