tag,reset_y,manifest,true_csv,summary_csv,n_rows,t_ros_start,t_ros_end,base_dx,base_dy,base_vx_mean,base_vx_std,base_vy_abs_mean,joint_abs_power_mean,joint_abs_power_max,joint_abs_effort_mean,joint_sq_effort_mean,energy_proxy,imu_ang_vel_norm_mean,imu_ang_vel_norm_max,imu_acc_norm_mean,imu_acc_norm_max,contact_count_mean,contact_force_z_sum_mean,contact_force_z_sum_max,contact_force_norm_sum_mean,contact_force_norm_sum_max,contact_load_proxy,base_tag,group_base_tag,group_reset_y,group_n_rollouts,group_base_vx_mean_mean,group_base_vx_mean_median,group_base_vx_mean_std,group_base_vx_mean_min,group_base_vx_mean_max,group_base_vy_abs_mean_mean,group_base_vy_abs_mean_median,group_base_vy_abs_mean_std,group_base_vy_abs_mean_min,group_base_vy_abs_mean_max,group_joint_abs_power_mean_mean,group_joint_abs_power_mean_median,group_joint_abs_power_mean_std,group_joint_abs_power_mean_min,group_joint_abs_power_mean_max,group_imu_ang_vel_norm_mean_mean,group_imu_ang_vel_norm_mean_median,group_imu_ang_vel_norm_mean_std,group_imu_ang_vel_norm_mean_min,group_imu_ang_vel_norm_mean_max,group_contact_force_z_sum_mean_mean,group_contact_force_z_sum_mean_median,group_contact_force_z_sum_mean_std,group_contact_force_z_sum_mean_min,group_contact_force_z_sum_mean_max,group_mean_motion_score,group_mean_stability_score,group_mean_energy_score,group_mean_beta_motion_true_seed,group_mean_beta_stability_true_seed,group_mean_beta_energy_true_seed,group_mean_dominant_beta_true_seed,group_robust_median_motion_score,group_robust_median_stability_score,group_robust_median_energy_score,group_robust_median_beta_motion_true_seed,group_robust_median_beta_stability_true_seed,group_robust_median_beta_energy_true_seed,group_robust_median_dominant_beta_true_seed,group_mean_vs_robust_beta_l1,group_beta_floor
clean,0.0,,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,datasets/phase_f/f3_clean_20260721_020209_true_metric_summary.csv,8396,0.0,50.472,7.5318173655720555,-0.2757786533386242,0.17524709153149653,0.028923384274023006,0.036286069845550835,155.06664449516705,944.677510554344,39.33784720671353,352.95624737199057,155.06664449516705,0.4369674781932821,3.370629153067266,10.500790757675299,35.84002486864326,,122.88384638146492,658.0986003142312,147.39242420687495,953.3619305348149,122.88384638146492,clean,clean,0.0,3,0.1744519608989366,0.1744389632575795,0.0006439807650967649,0.1736698279077338,0.17524709153149653,0.03651390737095318,0.036286069845550835,0.0004792558170975974,0.03607501807126134,0.037180634196047384,157.6715980507686,157.71481717366666,2.109512915590073,155.06664449516705,160.2333324834721,0.4483761046157044,0.4432689310724821,0.011958422791100931,0.4369674781932821,0.46489190458134894,122.93780434123367,122.96472158196131,0.038154072552643345,122.88384638146492,122.9648450602748,0.9992491031710041,0.517839430281405,1.0,0.39340617681438755,0.21290610460027215,0.39368771858534035,energy,1.0,0.7231365471945979,1.0,0.3654542632250619,0.2690914735498763,0.3654542632250619,motion,0.1123707378992082,0.05
clean_r1,0.0,,datasets/phase_f/f3_clean_r1_20260721_031553_true_metrics.csv,datasets/phase_f/f3_clean_r1_20260721_031553_true_metric_summary.csv,8391,0.0,50.4295,7.466036863609981,-0.3792366856875792,0.1736698279077338,0.031927900632479515,0.03607501807126134,157.71481717366666,955.4730909121204,39.43589423791263,354.80987837732255,157.71481717366666,0.46489190458134894,3.217776940766637,10.543938557445758,37.5739084490147,,122.9648450602748,727.2374899261629,146.37836294813326,1044.549009439089,122.9648450602748,clean,clean,0.0,3,0.1744519608989366,0.1744389632575795,0.0006439807650967649,0.1736698279077338,0.17524709153149653,0.03651390737095318,0.036286069845550835,0.0004792558170975974,0.03607501807126134,0.037180634196047384,157.6715980507686,157.71481717366666,2.109512915590073,155.06664449516705,160.2333324834721,0.4483761046157044,0.4432689310724821,0.011958422791100931,0.4369674781932821,0.46489190458134894,122.93780434123367,122.96472158196131,0.038154072552643345,122.88384638146492,122.9648450602748,0.9992491031710041,0.517839430281405,1.0,0.39340617681438755,0.21290610460027215,0.39368771858534035,energy,1.0,0.7231365471945979,1.0,0.3654542632250619,0.2690914735498763,0.3654542632250619,motion,0.1123707378992082,0.05
clean_r2,0.0,,datasets/phase_f/f3_clean_r2_20260721_033009_true_metrics.csv,datasets/phase_f/f3_clean_r2_20260721_033009_true_metric_summary.csv,8391,0.0,50.444,7.496087852949991,-0.22265389938530086,0.1744389632575795,0.029625930816081253,0.037180634196047384,160.2333324834721,912.7357484895883,39.575049464733155,358.7788423931382,160.2333324834721,0.4432689310724821,3.9207073559561056,10.50845387324727,36.02964818899955,,122.96472158196131,702.2873873098143,146.41925678067824,1081.4060132847378,122.96472158196131,clean,clean,0.0,3,0.1744519608989366,0.1744389632575795,0.0006439807650967649,0.1736698279077338,0.17524709153149653,0.03651390737095318,0.036286069845550835,0.0004792558170975974,0.03607501807126134,0.037180634196047384,157.6715980507686,157.71481717366666,2.109512915590073,155.06664449516705,160.2333324834721,0.4483761046157044,0.4432689310724821,0.011958422791100931,0.4369674781932821,0.46489190458134894,122.93780434123367,122.96472158196131,0.038154072552643345,122.88384638146492,122.9648450602748,0.9992491031710041,0.517839430281405,1.0,0.39340617681438755,0.21290610460027215,0.39368771858534035,energy,1.0,0.7231365471945979,1.0,0.3654542632250619,0.2690914735498763,0.3654542632250619,motion,0.1123707378992082,0.05
m015,-0.15,,datasets/phase_f/f3_m015_20260721_115905_true_metrics.csv,datasets/phase_f/f3_m015_20260721_115905_true_metric_summary.csv,8393,0.0,50.40725,7.528871935930178,-0.07445259933392322,0.17499992622077493,0.04030766012612248,0.03611149056586646,161.43218324376681,894.4980571332936,39.37896158098676,349.1941024553989,161.43218324376681,0.4598188838238554,4.029019759299909,10.459303203980342,38.935993087187235,,125.40152151163701,827.630548880075,148.80671318875187,1083.0150790345506,125.40152151163701,m015,m015,-0.15,3,0.16347676097413483,0.173937621191664,0.015551101883803398,0.14149273550996558,0.17499992622077493,0.047562833114939716,0.03611149056586646,0.016792607152442622,0.03527080343091232,0.07130620534804037,159.31507937853686,160.07800058737155,2.1101913005146025,156.4350543044722,161.43218324376681,0.48710618934242506,0.4598188838238554,0.04021688618895136,0.45753353591695156,0.5439661482864682,124.27043364831214,125.17778026398314,1.4442821470301055,122.23199916931625,125.40152151163701,0.7271290290417931,0.04724557481819619,0.7267446428337911,0.4706680214635769,0.05889676049317565,0.4704352180432475,motion,0.8820650607103375,0.537977756501547,0.6042386354875179,0.42867728074172046,0.2704239397211267,0.3008987795371528,motion,0.42305435845590217,0.05
m015_r1,-0.15,,datasets/phase_f/f3_m015_r1_20260721_122505_true_metrics.csv,datasets/phase_f/f3_m015_r1_20260721_122505_true_metric_summary.csv,8393,0.0,50.4585,7.4729245479913375,-0.3378142496378876,0.173937621191664,0.04170357057564057,0.03527080343091232,156.4350543044722,1085.8484698524799,39.38671446486301,353.50940425321016,156.4350543044722,0.45753353591695156,3.6103246341596376,10.503141811060464,37.906336770013816,,122.23199916931625,694.7881094718257,146.12230098683074,867.8724740032244,122.23199916931625,m015,m015,-0.15,3,0.16347676097413483,0.173937621191664,0.015551101883803398,0.14149273550996558,0.17499992622077493,0.047562833114939716,0.03611149056586646,0.016792607152442622,0.03527080343091232,0.07130620534804037,159.31507937853686,160.07800058737155,2.1101913005146025,156.4350543044722,161.43218324376681,0.48710618934242506,0.4598188838238554,0.04021688618895136,0.45753353591695156,0.5439661482864682,124.27043364831214,125.17778026398314,1.4442821470301055,122.23199916931625,125.40152151163701,0.7271290290417931,0.04724557481819619,0.7267446428337911,0.4706680214635769,0.05889676049317565,0.4704352180432475,motion,0.8820650607103375,0.537977756501547,0.6042386354875179,0.42867728074172046,0.2704239397211267,0.3008987795371528,motion,0.42305435845590217,0.05
m015_r2,-0.15,,datasets/phase_f/f3_m015_r2_20260721_124353_true_metrics.csv,datasets/phase_f/f3_m015_r2_20260721_124353_true_metric_summary.csv,8392,0.0,47.70225,6.045615783455215,1.9910347757243354,0.14149273550996558,0.07055541755573164,0.07130620534804037,160.07800058737155,1160.6371754897461,40.19889892552229,359.4798584268745,160.07800058737155,0.5439661482864682,9.438829553875483,11.061432307099436,47.506413358753974,,125.17778026398314,806.0493973934715,148.75485799469203,926.6828666487945,125.17778026398314,m015,m015,-0.15,3,0.16347676097413483,0.173937621191664,0.015551101883803398,0.14149273550996558,0.17499992622077493,0.047562833114939716,0.03611149056586646,0.016792607152442622,0.03527080343091232,0.07130620534804037,159.31507937853686,160.07800058737155,2.1101913005146025,156.4350543044722,161.43218324376681,0.48710618934242506,0.4598188838238554,0.04021688618895136,0.45753353591695156,0.5439661482864682,124.27043364831214,125.17778026398314,1.4442821470301055,122.23199916931625,125.40152151163701,0.7271290290417931,0.04724557481819619,0.7267446428337911,0.4706680214635769,0.05889676049317565,0.4704352180432475,motion,0.8820650607103375,0.537977756501547,0.6042386354875179,0.42867728074172046,0.2704239397211267,0.3008987795371528,motion,0.42305435845590217,0.05
m030,-0.3,,datasets/phase_f/f3_m030_20260721_023915_true_metrics.csv,datasets/phase_f/f3_m030_20260721_023915_true_metric_summary.csv,8392,0.0,50.43025,7.410550077969353,-0.6376120911547967,0.17239314171971465,0.028998989231538704,0.03890242857642325,157.90142204040933,1038.3482934582019,39.285292586658656,354.8251163831494,157.90142204040933,0.46068154324946653,4.9721221842673495,10.535780431591803,36.950667126746424,,122.91956126841355,619.6368279848457,147.11469009217376,902.4396365363812,122.91956126841355,m030,m030,-0.3,3,0.17316218419815263,0.17293204508753202,0.0007399896827643377,0.17239314171971465,0.17416136578721125,0.038176393258494416,0.03890242857642325,0.0016378617725663655,0.0359085025547075,0.03971824864435249,157.71966753948462,157.86869454975155,0.2342791472736027,157.38888602829294,157.90142204040933,0.44478572723633525,0.4516997920732395,0.01654057560148228,0.42197584638629976,0.46068154324946653,123.65065611430626,123.62510732232782,0.6076353098126472,122.91956126841355,124.40729975217741,0.9672702659897029,0.4787665177060801,0.9920076698858957,0.3930652213418782,0.20431121921970966,0.40262355943841205,energy,0.6455148789988074,0.3299072640322002,0.9742302184528778,0.33125239766228104,0.18093817386212863,0.48780942847559033,energy,0.1703717380743565,0.05
m030_r1,-0.3,,datasets/phase_f/f3_m030_r1_20260721_032044_true_metrics.csv,datasets/phase_f/f3_m030_r1_20260721_032044_true_metric_summary.csv,8393,0.0,50.4525,7.4903231880899845,-0.6627011483072187,0.17416136578721125,0.036581505678225885,0.03971824864435249,157.86869454975155,976.7548163551953,39.305352334410195,354.36434450484035,157.86869454975155,0.4516997920732395,4.465132839078979,10.511572694611854,36.781061289076284,,124.40729975217741,704.9532162394203,148.33035773247622,935.4678018385043,124.40729975217741,m030,m030,-0.3,3,0.17316218419815263,0.17293204508753202,0.0007399896827643377,0.17239314171971465,0.17416136578721125,0.038176393258494416,0.03890242857642325,0.0016378617725663655,0.0359085025547075,0.03971824864435249,157.71966753948462,157.86869454975155,0.2342791472736027,157.38888602829294,157.90142204040933,0.44478572723633525,0.4516997920732395,0.01654057560148228,0.42197584638629976,0.46068154324946653,123.65065611430626,123.62510732232782,0.6076353098126472,122.91956126841355,124.40729975217741,0.9672702659897029,0.4787665177060801,0.9920076698858957,0.3930652213418782,0.20431121921970966,0.40262355943841205,energy,0.6455148789988074,0.3299072640322002,0.9742302184528778,0.33125239766228104,0.18093817386212863,0.48780942847559033,energy,0.1703717380743565,0.05
m030_r2,-0.3,,datasets/phase_f/f3_m030_r2_20260721_033456_true_metrics.csv,datasets/phase_f/f3_m030_r2_20260721_033456_true_metric_summary.csv,8395,0.0,50.515,7.441958805559419,-0.04194736220570028,0.17293204508753202,0.027717420788637787,0.0359085025547075,157.38888602829294,920.45001517923,38.978846640156455,351.24731789643255,157.38888602829294,0.42197584638629976,2.96469387760142,10.510949421695335,35.80266350970052,,123.62510732232782,576.4335414109756,147.27344476882996,964.9828926971968,123.62510732232782,m030,m030,-0.3,3,0.17316218419815263,0.17293204508753202,0.0007399896827643377,0.17239314171971465,0.17416136578721125,0.038176393258494416,0.03890242857642325,0.0016378617725663655,0.0359085025547075,0.03971824864435249,157.71966753948462,157.86869454975155,0.2342791472736027,157.38888602829294,157.90142204040933,0.44478572723633525,0.4516997920732395,0.01654057560148228,0.42197584638629976,0.46068154324946653,123.65065611430626,123.62510732232782,0.6076353098126472,122.91956126841355,124.40729975217741,0.9672702659897029,0.4787665177060801,0.9920076698858957,0.3930652213418782,0.20431121921970966,0.40262355943841205,energy,0.6455148789988074,0.3299072640322002,0.9742302184528778,0.33125239766228104,0.18093817386212863,0.48780942847559033,energy,0.1703717380743565,0.05
m060,-0.6,,datasets/phase_f/f3_m060_20260721_115247_true_metrics.csv,datasets/phase_f/f3_m060_20260721_115247_true_metric_summary.csv,8390,0.0,50.67625,7.450214366586085,-0.25822955669833614,0.1732545665939449,0.03412988845243175,0.03806464190824673,160.72398024007944,1150.873501838722,39.36757192996764,352.9050498337572,160.72398024007944,0.4599205770508802,4.529406276046094,10.506064696207485,39.85347329622105,,123.36906580333269,554.967267858639,146.65204609206577,804.8582492766702,123.36906580333269,m060,m060,-0.6,3,0.17275867364160596,0.1732545665939449,0.0009006399168019191,0.1714947074685453,0.17352674686232772,0.03780233188032825,0.03806464190824673,0.0017029875224072028,0.03559785951508099,0.039744494217657036,161.5835815129505,160.72398024007944,1.3178545088252323,160.58127705603383,163.44548724273824,0.4668873112571098,0.4599205770508802,0.010611533548007993,0.458859578185369,0.48188177853508024,124.2074604765175,124.30584808154273,0.648124527585393,123.36906580333269,124.94746754467705,0.9572655896911633,0.39917416004782996,0.349569465666878,0.5427050584287616,0.24201073804992115,0.2152842035213173,motion,0.7213843439098673,0.35090345461114203,0.4960566859526854,0.448911350942609,0.2333079648659234,0.3177806841914676,motion,0.20499296134030068,0.05
