suite,heldout,n_features,n_train,n_test,target_motion,target_stability,target_energy,pred_motion,pred_stability,pred_energy,loto_l1,rmse_motion,rmse_stability,rmse_energy
d7_beta_only,clean,12,38727,6671,0.3806628563833892,0.2386742872333078,0.3806628563833892,0.4277654765428577,0.2872933495159714,0.2849411739411724,0.19174335590185052,0.04877818064586136,0.04970476313140919,0.09821852879505444
d7_beta_only,m015,12,39432,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.39494117353800656,0.2821824589177514,0.3228763675442421,0.27447938502221697,0.14107433503511535,0.06814736409811127,0.09838671713458211
d7_beta_only,m030,12,38826,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.42028408509961857,0.30488740200508396,0.27482851289529836,0.49924577247791013,0.06273328933707702,0.19039591995173413,0.25058241867657066
d7_beta_only,m060,12,38721,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.37648393141536163,0.2961399605638521,0.32737610802078454,0.4878027810860272,0.2454943272542824,0.1371422633221746,0.11359235163943487
d7_beta_only,p015,12,38925,6473,0.3885310200843911,0.2666105160422082,0.3448584638734079,0.42709136525099134,0.28214685777169446,0.290761776977314,0.10878906114813222,0.04064852788934614,0.018337344683286,0.058425597045428726
d7_beta_only,p030,12,38828,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.38240923655837233,0.27116417385755737,0.3464265895840689,0.6251719182898722,0.24081139914932773,0.07201607549742202,0.31263198279237686
d7_beta_only,p060,12,38929,6469,0.028727360855051516,0.6032745779561764,0.3679980611887493,0.48214315199621255,0.2204764300553471,0.2973804179484398,0.9070841570942789,0.4535755482843692,0.38345955251488756,0.07826265499529417
lateral_runtime,clean,8,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.4278980732717841,0.27831568938828016,0.2937862373399354,0.17625548699397423,0.05072723220524734,0.046454011211249535,0.09138264655208467
lateral_runtime,m015,8,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.3780401399908945,0.3264374901238837,0.2955223698852206,0.32023618713464613,0.20100794718846826,0.17802737746141833,0.05677643604681629
lateral_runtime,m030,8,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.4213661575161052,0.2961894065334919,0.2824444359504048,0.48401634369842367,0.06719646614407752,0.1835066594576118,0.24395215186351435
lateral_runtime,m060,8,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.37980152251897314,0.2858058446326905,0.3343926328483371,0.48116759887880534,0.2429308043193942,0.1302679608677165,0.12477443214438608
lateral_runtime,p015,8,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.4300578545170587,0.2849220105253335,0.2850201349576079,0.12434872794263446,0.04695894136945222,0.025127191216531886,0.06912204581086809
lateral_runtime,p030,8,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.38254294852815024,0.27678884796472514,0.34066820350712596,0.6136551461359828,0.24109576285995657,0.06795299025665962,0.307017952648206
lateral_runtime,p060,8,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.4850078652737473,0.22496872881525204,0.2900234059110024,0.9344457430587417,0.45748665697359,0.38017658881558924,0.10490793986067617
score_proxy,clean,5,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.4264588007139478,0.28707689557887256,0.2864643037071789,0.18851503977702116,0.048842741235646005,0.05035628359091308,0.09510193312296361
score_proxy,m015,5,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.3888940657919102,0.27969584438666056,0.3314100898214296,0.2924310549721946,0.1707442308497006,0.0666753716187339,0.13311874423070644
score_proxy,m030,5,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.4242829254978916,0.30251843668943945,0.2731986378126699,0.5025094970042101,0.07048078985898622,0.19017301485439567,0.2517745119682236
score_proxy,m060,5,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.38975327326233905,0.2883879923082389,0.32185873442942137,0.4645116306693979,0.2329546454550198,0.13526342200277647,0.10381817869788283
score_proxy,p015,5,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.42803584390817034,0.28317909833646326,0.2887850577553667,0.11684624733992892,0.04434863252028206,0.027365104793097696,0.059217332719875976
score_proxy,p030,5,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.3800546182515818,0.2725409475902227,0.34740443415819683,0.627269555539477,0.24443953209933006,0.07317022545474193,0.31363293066273823
score_proxy,p060,5,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.480132643346828,0.22254261252486324,0.2973247441283086,0.9028105649835486,0.4515917412655856,0.3812020590691644,0.07682329432490809
ram_ref,clean,6,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.42489346263847455,0.28189759434473394,0.2932089430167905,0.17490782673314553,0.04466387239164724,0.04507667037995413,0.088955528459096
ram_ref,m015,6,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.400091347635672,0.3121071447464072,0.28780150761792145,0.28716054813638475,0.1301398762108669,0.11667953452200758,0.07703419182176449
ram_ref,m030,6,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.42664701024053353,0.2997305934678498,0.27362239629161805,0.5016571600676788,0.06577886892663413,0.18546227990319716,0.25109131317967115
ram_ref,m060,6,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.38092171346756537,0.2937940555253845,0.3252842310070501,0.47892721698162233,0.23968132591432914,0.13494053079885404,0.10723574438894132
ram_ref,p015,6,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.42300917709490893,0.27724852144496104,0.2997423014601232,0.09354083825249575,0.03495480319685978,0.016340544256844416,0.04793711113409395
ram_ref,p030,6,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.38348552655329526,0.2729666259539391,0.3435478474927684,0.6194144341072666,0.2397168206837352,0.07108158040866738,0.3098915057096956
ram_ref,p060,6,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.4873681232959309,0.22651862885653748,0.28611324784753045,0.9225572143460214,0.45953938132560757,0.37749466152731354,0.09716088061937259
