suite,heldout,n_features,n_train,n_test,target_motion,target_stability,target_energy,pred_motion,pred_stability,pred_energy,loto_l1,rmse_motion,rmse_stability,rmse_energy,kept_features
d7_beta_only,clean,12,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.4277988490401849,0.28725116895000513,0.28494998200980926,0.19162301992081784,0.04866944278170872,0.04966879608723344,0.09820447931209736,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
d7_beta_only,m015,12,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.3949207288301264,0.28219872819197883,0.3228805429778949,0.27451502643982917,0.14108933596896478,0.06813966851734339,0.09839089828344993,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
d7_beta_only,m030,12,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.42025172456160614,0.30490337032100884,0.27484490511738646,0.4992154101567529,0.06267637421887892,0.1904106642127256,0.25056446691299183,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
d7_beta_only,m060,12,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.3764463228236672,0.2961741823138162,0.3273794948625158,0.48787799826941763,0.24553013304920637,0.13717776732320214,0.11359295551193234,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
d7_beta_only,p015,12,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.42705370836818823,0.2821782965105112,0.29076799512130225,0.10875021150734789,0.04060726910812514,0.01832134323538071,0.058422485317773644,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
d7_beta_only,p030,12,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.38239194483202116,0.2711809486502674,0.34642710651771275,0.625172952157158,0.2408219354720307,0.07198986908628474,0.31263195803110894,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
d7_beta_only,p060,12,38931,6471,0.028727360855051513,0.6032745779561764,0.3679980611887493,0.4821542554615907,0.22047513259060977,0.297370611947801,0.9071058211533823,0.4535867497422263,0.3834602333763256,0.07827097932551208,pred_beta_motion;pred_beta_stability;pred_beta_energy;raw_beta_motion;raw_beta_stability;raw_beta_energy;prior_beta_motion;prior_beta_stability;prior_beta_energy;actual_beta_motion;actual_beta_stability;actual_beta_energy
lateral_runtime,clean,8,38730,6672,0.3806628563833892,0.23867428723330783,0.3806628563833892,0.4278980732717841,0.27831568938828016,0.2937862373399354,0.17625548699397423,0.05072723220524734,0.046454011211249535,0.09138264655208467,y;rollout_mean_abs_y;rollout_max_abs_y;mean_abs_y_context;max_abs_y_context;ref_yaw_rate_mean;stability_score;hold_drift
lateral_runtime,m015,8,39436,5966,0.5300926381081613,0.21940423831627337,0.2505031235755417,0.3780401399908945,0.3264374901238837,0.2955223698852206,0.32023618713464613,0.20100794718846826,0.17802737746141833,0.05677643604681629,y;rollout_mean_abs_y;rollout_max_abs_y;mean_abs_y_context;max_abs_y_context;ref_yaw_rate_mean;stability_score;hold_drift
lateral_runtime,m030,8,38830,6572,0.36104104628247946,0.11450797739208565,0.524450976325515,0.4213661575161052,0.2961894065334919,0.2824444359504048,0.48401634369842367,0.06719646614407752,0.1835066594576118,0.24395215186351435,y;rollout_mean_abs_y;rollout_max_abs_y;mean_abs_y_context;max_abs_y_context;ref_yaw_rate_mean;stability_score;hold_drift
lateral_runtime,m060,8,38725,6677,0.6203853219584585,0.1593767951690096,0.22023788287263657,0.37980152251897314,0.2858058446326905,0.3343926328483371,0.48116759887880534,0.2429308043193942,0.1302679608677165,0.12477443214438608,y;rollout_mean_abs_y;rollout_max_abs_y;mean_abs_y_context;max_abs_y_context;ref_yaw_rate_mean;stability_score;hold_drift
lateral_runtime,p015,8,38928,6474,0.3885310200843911,0.2666105160422082,0.34485846387340796,0.4300578545170587,0.2849220105253335,0.2850201349576079,0.12434872794263446,0.04695894136945222,0.025127191216531886,0.06912204581086809,y;rollout_mean_abs_y;rollout_max_abs_y;mean_abs_y_context;max_abs_y_context;ref_yaw_rate_mean;stability_score;hold_drift
lateral_runtime,p030,8,38832,6570,0.6231669822230986,0.3429923873378998,0.03384063043913142,0.38254294852815024,0.27678884796472514,0.34066820350712596,0.6136551461359828,0.24109576285995657,0.06795299025665962,0.307017952648206,y;rollout_mean_abs_y;rollout_max_abs_y;mean_abs_y_context;max_abs_y_context;ref_yaw_rate_mean;stability_score;hold_drift
