t_wall,t_ros,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,imu_qx,imu_qy,imu_qz,imu_qw,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az,joint_abs_power_sum,joint_abs_effort_sum,joint_sq_effort_sum,joint_abs_velocity_sum,joint_count,contact_FL_fz,contact_FR_fz,contact_RL_fz,contact_RR_fz,contact_FL_norm,contact_FR_norm,contact_RL_norm,contact_RR_norm,contact_count_fz_gt_1,contact_force_z_sum,contact_force_norm_sum
1784653601.919364,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0
1784653601.939475,34.92,5.588385615469179,-0.049125086945855885,0.5316089474133694,-0.0009681399025511337,-0.022396599195364603,-0.045370832175161746,0.9987186503902611,0.1614215922298,-0.0037708257350562557,-0.0517874025196681,-0.5848334139683005,0.16906357860472349,0.0630429263440177,,,,,,,,,,,192.80125265419179,65.4343886077404,657.1203481233615,44.988394307096605,12,,,,,,,,,0,0.0,0.0
1784653601.959639,34.925,5.589219925444258,-0.049167788814603985,0.5315426515252404,-0.003440042790553592,-0.02205036768251124,-0.045325026441483805,0.9987229792934295,0.14783691923778636,-0.008568189638640606,0.0026642956387333628,-1.2594036056953604,0.23598731559156558,-0.015442119610645545,-0.0023759780490713086,-0.02234771444001122,-0.04455273044866965,0.9978148550671873,-1.0840619849306723,0.1282753906580501,0.06512234353044455,-1.948955116033774,-1.6659155677109558,20.607131663647902,329.8977377750108,77.62968251109123,811.7022687470208,53.37413140522149,12,107.45077178432155,0.0,0.0,61.50232827540305,115.70901596014508,0.0,0.0,70.71147429440883,2,168.9531000597246,186.4204902545539
1784653601.97987,34.93025,5.590042796390854,-0.049185133901968735,0.5317291113558156,-0.006133648660918015,-0.0217410061401719,-0.04544201454435729,0.9987115350892207,0.1542613273289252,0.004797705319230981,0.05182307586875878,-0.7909198019457756,0.18479322868496767,-0.023972489929216974,-0.004055658971533562,-0.021799638443146255,-0.047296844363672784,0.9989717080339341,-1.1125244941667287,0.0891145231764135,-0.0006578063712264326,1.4883232907478334,2.1184116593886735,16.110120722265815,418.01356130879685,77.14525645971298,765.2434063282471,54.589136902826354,12,107.45077178432155,0.0,0.0,61.50232827540305,115.70901596014508,0.0,0.0,70.71147429440883,2,168.9531000597246,186.4204902545539
1784653602.000027,34.93525,5.590872606230455,-0.04911599353100006,0.5321099219205825,-0.006765659276371524,-0.021394434770680256,-0.04544013384898786,0.9987150235433455,0.1664478350598331,0.02069699295840663,0.06938783413546144,0.17434735649917138,0.12395751836987075,0.04677263325798821,-0.005403911867956716,-0.021177141314173722,-0.04591429726268344,0.9987973361936067,-0.31537812546963756,0.13190111782548194,0.026575294154894413,2.90718273579073,3.7808230978734096,16.427181197383085,113.19826731236242,40.12083334103227,280.5320287759028,34.72954050653641,12,128.29190524020882,0.0,0.0,103.99142038007682,142.6091399338676,0.0,0.0,123.41289667488317,2,232.28332562028564,266.0220366087508
1784653602.020233,34.94025,5.591738839330899,-0.0490018163828033,0.5324373831305411,-0.006047781861277585,-0.021092558173507962,-0.045326916021580635,0.9987311945705053,0.17012672939863774,0.020307177677035753,0.04852126255512924,0.1346121744402724,0.10900352219265998,0.07695433917371954,-0.006480540328609971,-0.021743315880359788,-0.047466084255957997,0.9984901616988457,0.3553322757678798,0.12767527283403765,0.049563498857422394,1.6570932580488331,1.2493876127069903,5.741814769442239,64.73039191713046,27.016190230846405,92.3144727760376,26.068611409080376,12,41.91767611097998,0.0,0.0,68.16474269778956,51.04291626830842,0.0,0.0,86.46734925733178,2,110.08241880876955,137.5102655256402
1784653602.040406,34.94525,5.592588567958929,-0.04892213979201962,0.5326291500380999,-0.006407706004173779,-0.020794711096652974,-0.045108709454739895,0.998745075394867,0.16687582983404906,0.014617307216859797,0.018240661052638447,-0.23899962052576626,0.13436869032159957,0.0923539977304258,-0.005744760979785379,-0.023039583270646553,-0.045560845374715025,0.9994525096079986,-0.24634012461535607,0.11182798468054228,0.10357228446947138,-0.3410906834025169,-0.5445692713930964,2.607219165519397,8.829041741866675,5.949948648223653,6.182919656972248,18.2133501555823,12,41.91767611097998,0.0,0.0,68.16474269778956,51.04291626830842,0.0,0.0,86.46734925733178,2,110.08241880876955,137.5102655256402
1784653602.06067,34.95025,5.5934222481082605,-0.04884028314394541,0.532617052281501,-0.006777916789871465,-0.020471381980813247,-0.04490275829699,0.9987585917833736,0.1654176595049663,0.018893253856203895,-0.023919399122797766,0.004689502958800079,0.13818507877937342,0.07210758641598171,-0.005753002082838254,-0.021425558868747415,-0.045065093476797186,0.9999274774352718,-0.16882070101535646,0.12329552813381736,0.09069639669182204,-0.355915294463397,0.6062945902205166,1.4154186222863594,20.48292025828019,8.536187650690408,11.880842929791338,15.598828870953774,12,13.478148090474145,0.0,0.0,9.422808044099398,14.586193700517434,0.0,0.0,10.521641045810565,2,22.90095613457354,25.107834746328
1784653602.081165,34.95525,5.594248835613147,-0.048733351674377264,0.5323924930420395,-0.006298962742475623,-0.020107651886906264,-0.04475639906798646,0.998775685600341,0.16440237765340385,0.02305038849806413,-0.06457419549883059,0.3486528828949262,0.13863076298175836,0.0551705656079724,-0.005667858777008873,-0.021634789259834347,-0.04591862981443623,0.9956709993395241,0.1827158942244822,0.15078274561768526,0.0575048264823839,-0.16167952667542485,1.0133385936148809,1.5088009523170791,8.791653023036835,7.239854512736201,6.7209054403266855,13.691653490220814,12,13.478148090474145,0.0,0.0,9.422808044099398,14.586193700517434,0.0,0.0,10.521641045810565,2,22.90095613457354,25.107834746328
1784653602.101415,34.96,5.594577349630422,-0.048686491740590164,0.5322491245622811,-0.0058990690835300135,-0.01994985233501916,-0.044713683949955875,0.9987832051268094,0.1637296101061261,0.023777047428998086,-0.07831459601984364,0.4519550606013272,0.14001436640938103,0.047587785292988766,-0.006185808389867313,-0.02085454828174345,-0.04283849887290785,0.9999245892653715,0.42577333283616997,0.182963586289282,0.030422821018152277,-0.32220190329277804,0.18185784360021295,3.580197594369061,9.633579996618526,14.255311712622643,27.730305964320006,10.875675839261927,12,13.478148090474145,0.0,0.0,9.422808044099398,14.586193700517434,0.0,0.0,10.521641045810565,2,22.90095613457354,25.107834746328
