t_wall,context,x,y,reset_y,y_mean,pred_beta_motion,pred_beta_stability,pred_beta_energy,raw_beta_motion,raw_beta_stability,raw_beta_energy,prior_beta_motion,prior_beta_stability,prior_beta_energy,actual_beta_motion,actual_beta_stability,actual_beta_energy,err_beta_motion,err_beta_stability,err_beta_energy,motion_score,stability_score,energy_score,effort_proxy,hold_drift,rollout_max_abs_y,rollout_mean_abs_y,mean_abs_y_context,max_abs_y_context,ram_slip_proxy_mean,ram_roughness_proxy_mean,ram_sigma_mean,ref_vx_mean,ref_yaw_rate_mean,ref_clearance_mean,out_topic,model_json,f7_source_tag,f7_reset_y,f7_manifest,f7_d7_csv,f7_true_csv,target_beta_motion_true_metric,target_beta_stability_true_metric,target_beta_energy_true_metric,target_beta_dominant_true_metric,target_motion_score_true_metric,target_stability_score_true_metric,target_energy_score_true_metric,target_balanced_score_true_metric,true_metric_base_vx_mean,true_metric_base_vy_abs_mean,true_metric_joint_abs_power_mean,true_metric_imu_ang_vel_norm_mean,true_metric_contact_force_z_sum_mean,true_metric_motion_proxy,true_metric_lateral_drift_proxy,true_metric_energy_proxy,true_metric_stability_proxy,true_metric_contact_load_proxy
1784613796.059727,flat,0.003208761,0.003186728,0.001004141,,0.525790478,0.196703190,0.277506333,0.544738097,0.183378987,0.271882916,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.075790478,-0.053296810,-0.022493667,0.150240657,0.998725309,0.506184955,0.493815045,0.000000000,0.003186728,0.002010274,0.002010274,0.003186728,0.000000000,0.050000000,0.050000000,0.210000000,-0.000052036,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.159704,flat,0.005865950,0.006651125,0.001004141,,0.525408026,0.197309018,0.277282955,0.544260033,0.184136273,0.271603694,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.075408026,-0.052690982,-0.022717045,0.150439946,0.997339550,0.506144833,0.493855167,0.000000000,0.006651125,0.003386948,0.003386948,0.006651125,0.000000000,0.050000000,0.050000000,0.210000000,-0.000084134,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.259660,flat,0.007696412,0.010581020,0.001004141,,0.524987102,0.197986469,0.277026429,0.543733877,0.184983086,0.271283036,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.074987102,-0.052013531,-0.022973571,0.150577231,0.995767592,0.506087772,0.493912228,0.000000000,0.010581020,0.004963516,0.004963516,0.010581020,0.000000000,0.050000000,0.050000000,0.210000000,-0.000129782,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.359602,flat,0.009081579,0.015568982,0.001004141,,0.524465268,0.198843240,0.276691492,0.543081585,0.186054049,0.270864365,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.074465268,-0.051156760,-0.023308508,0.150681118,0.993772407,0.506024061,0.493975939,0.000000000,0.015568982,0.008533426,0.008533426,0.015568982,0.000000000,0.050000000,0.050000000,0.210000000,-0.000180751,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.459682,flat,0.010107640,0.020770999,0.001004141,,0.523926571,0.199735496,0.276337933,0.542408213,0.187169370,0.270422416,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.073926571,-0.050264504,-0.023662067,0.150758073,0.991691600,0.505954487,0.494045513,0.000000000,0.020770999,0.013142052,0.013142052,0.020770999,0.000000000,0.050000000,0.050000000,0.210000000,-0.000236410,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.559886,flat,0.010918973,0.026127545,0.001004141,,0.523374660,0.200652510,0.275972829,0.541718326,0.188315638,0.269966036,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.073374660,-0.049347490,-0.024027171,0.150818923,0.989548982,0.505879373,0.494120627,0.000000000,0.026127545,0.018028618,0.018028618,0.026127545,0.000000000,0.050000000,0.050000000,0.210000000,-0.000296501,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.659650,flat,0.012528340,0.031151355,0.001004141,,0.522848276,0.201520970,0.275630753,0.541060346,0.189401213,0.269538442,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.072848276,-0.048479030,-0.024369247,0.150939625,0.987539458,0.505801313,0.494198687,0.000000000,0.031151355,0.023514794,0.023514794,0.031151355,0.000000000,0.050000000,0.050000000,0.210000000,-0.000358949,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.759634,flat,0.016497768,0.032582576,0.001004141,,0.522660738,0.201800396,0.275538866,0.540825923,0.189750495,0.269423582,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.072660738,-0.048199604,-0.024461134,0.151237333,0.986966970,0.505731222,0.494268778,0.000000000,0.032582576,0.028009471,0.028009471,0.032582576,0.000000000,0.050000000,0.050000000,0.210000000,-0.000415023,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.859585,flat,0.021445746,0.032848807,0.001004141,,0.522574180,0.201898265,0.275527556,0.540717724,0.189872831,0.269409445,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.072574180,-0.048101735,-0.024472444,0.151608431,0.986837704,0.505674754,0.494325246,0.000000000,0.032905740,0.031203296,0.031203296,0.032905740,0.000000000,0.050000000,0.050000000,0.210000000,-0.000460197,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613796.960044,flat,0.026165252,0.031907356,0.001004141,,0.522521352,0.201935686,0.275542963,0.540651690,0.189919607,0.269428703,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.072521352,-0.048064314,-0.024457037,0.151962394,0.986837704,0.505631384,0.494368616,0.000000000,0.032905740,0.032381098,0.032381098,0.032905740,0.000000000,0.050000000,0.050000000,0.210000000,-0.000494893,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613797.059563,flat,0.030500641,0.031021129,0.001004141,,0.522471703,0.201967397,0.275560900,0.540589628,0.189959246,0.269451125,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.072471703,-0.048032603,-0.024439100,0.152287548,0.986837704,0.505598384,0.494401616,0.000000000,0.032905740,0.032216804,0.032216804,0.032905740,0.000000000,0.050000000,0.050000000,0.210000000,-0.000521293,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
1784613797.159598,flat,0.035000684,0.030201082,0.001004141,,0.522424137,0.201992277,0.275583586,0.540530171,0.189990346,0.269479483,0.450000000,0.250000000,0.300000000,0.450000000,0.250000000,0.300000000,0.072424137,-0.048007723,-0.024416414,0.152625051,0.986854610,0.505573001,0.494426999,0.000000000,0.032863476,0.031481238,0.031481238,0.032863476,0.000000000,0.050000000,0.050000000,0.210000000,-0.000541599,0.045000000,/tracer/objective_beta,models/phase_d7/d7_objective_selector_ridge_runtime_aligned_v1.json,clean,0.0,reports/phase_d4_context_meta_repeat_20260721_020213_manifest.tsv,logs/phase_d5_shadow_20260721_020213_trial_1/d7_objective_selector_shadow_v0.csv,datasets/phase_f/f3_clean_20260721_020209_true_metrics.csv,0.3333333333333333,0.3333333333333333,0.3333333333333333,motion,1.0,1.0,1.0,1.0,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492,0.17524709153149653,0.036286069845550835,155.06664449516705,0.4369674781932821,122.88384638146492
