suite,split,heldout,base_tag,n_train,n_test,l1,target_beta,pred_beta
tracking_energy_proxy_g3,leave_one_condition,clean,,19,3,0.07532287611577339,"(0.3655, 0.2691, 0.3655)","(0.4021, 0.2603, 0.3376)"
tracking_energy_proxy_g3,leave_one_condition,m015,,19,3,0.4900166811775186,"(0.4287, 0.2704, 0.3009)","(0.2840, 0.4947, 0.2213)"
tracking_energy_proxy_g3,leave_one_condition,m030,,19,3,0.2632674139149623,"(0.3313, 0.1809, 0.4878)","(0.3882, 0.2556, 0.3562)"
tracking_energy_proxy_g3,leave_one_condition,m060,,19,3,0.1967270849491032,"(0.4489, 0.2333, 0.3178)","(0.3649, 0.2544, 0.3808)"
tracking_energy_proxy_g3,leave_one_condition,p015,,19,3,0.11691864077720386,"(0.3672, 0.2869, 0.3460)","(0.3531, 0.3407, 0.3063)"
tracking_energy_proxy_g3,leave_one_condition,p030,,19,3,0.26359953595015423,"(0.4623, 0.3365, 0.2012)","(0.3455, 0.3330, 0.3215)"
tracking_energy_proxy_g3,leave_one_condition,p045,,21,1,0.45997496013635786,"(0.5711, 0.3831, 0.0458)","(0.3816, 0.3426, 0.2758)"
tracking_energy_proxy_g3,leave_one_condition,p060,,19,3,1.0659042331777684,"(0.0265, 0.5573, 0.4162)","(0.5595, 0.2375, 0.2030)"
tracking_energy_proxy_g3,leave_one_rollout,clean,clean,21,1,0.03757644453635095,"(0.3655, 0.2691, 0.3655)","(0.3796, 0.2738, 0.3467)"
tracking_energy_proxy_g3,leave_one_rollout,clean_r1,clean,21,1,0.07624992554299376,"(0.3655, 0.2691, 0.3655)","(0.4036, 0.2660, 0.3304)"
tracking_energy_proxy_g3,leave_one_rollout,clean_r2,clean,21,1,0.0875506459178568,"(0.3655, 0.2691, 0.3655)","(0.4092, 0.2435, 0.3473)"
tracking_energy_proxy_g3,leave_one_rollout,m015,m015,21,1,0.1521357654459462,"(0.4287, 0.2704, 0.3009)","(0.3549, 0.3465, 0.2986)"
tracking_energy_proxy_g3,leave_one_rollout,m015_r1,m015,21,1,0.11286052251080048,"(0.4287, 0.2704, 0.3009)","(0.3722, 0.2706, 0.3572)"
tracking_energy_proxy_g3,leave_one_rollout,m015_r2,m015,21,1,1.3258939507053964,"(0.4287, 0.2704, 0.3009)","(0.0666, 0.9334, 0.0000)"
tracking_energy_proxy_g3,leave_one_rollout,m030,m030,21,1,0.18894841704342571,"(0.3313, 0.1809, 0.4878)","(0.3965, 0.2101, 0.3933)"
tracking_energy_proxy_g3,leave_one_rollout,m030_r1,m030,21,1,0.1132132232494179,"(0.3313, 0.1809, 0.4878)","(0.3694, 0.1994, 0.4312)"
tracking_energy_proxy_g3,leave_one_rollout,m030_r2,m030,21,1,0.3458469482574365,"(0.3313, 0.1809, 0.4878)","(0.3519, 0.3333, 0.3149)"
tracking_energy_proxy_g3,leave_one_rollout,m060,m060,21,1,0.13734823214303735,"(0.4489, 0.2333, 0.3178)","(0.3802, 0.2540, 0.3658)"
