tag,base_tag,n_timestep_rows,beta_motion_target,beta_stability_target,beta_energy_target,beta_dominant_target,is_new_anchor_p045,context_frac_flat,context_frac_start_flat,context_frac_rough,context_frac_upslope,context_frac_downslope,context_frac_goal_flat,context_frac_unknown,context_unique_count,ram_slip_proxy_mean_mean_g1,ram_slip_proxy_mean_std_g1,ram_slip_proxy_mean_min_g1,ram_slip_proxy_mean_max_g1,ram_roughness_proxy_mean_mean_g1,ram_roughness_proxy_mean_std_g1,ram_roughness_proxy_mean_min_g1,ram_roughness_proxy_mean_max_g1,ram_sigma_mean_mean_g1,ram_sigma_mean_std_g1,ram_sigma_mean_min_g1,ram_sigma_mean_max_g1,ref_vx_mean_mean_g1,ref_vx_mean_std_g1,ref_vx_mean_min_g1,ref_vx_mean_max_g1,ref_yaw_rate_mean_mean_g1,ref_yaw_rate_mean_std_g1,ref_yaw_rate_mean_min_g1,ref_yaw_rate_mean_max_g1,ref_clearance_mean_mean_g1,ref_clearance_mean_std_g1,ref_clearance_mean_min_g1,ref_clearance_mean_max_g1,x_progress_g1,y_change_g1,abs_y_change_g1,y_early_mean_g1,y_mid_mean_g1,y_late_mean_g1,y_late_minus_early_g1,abs_y_early_mean_g1,abs_y_mid_mean_g1,abs_y_late_mean_g1,abs_y_late_minus_early_g1,vx_tracking_error_g1,vx_tracking_abs_error_g1,vx_tracking_ratio_g1,power_per_vx_g1,contact_per_vx_g1,lateral_per_forward_g1,imu_per_vx_g1,y_max_g1,y_mean_g1,y_min_g1,y_std_g1,reset_y_mean_g1,reset_y_min_g1,reset_y_max_g1
clean,clean,2226,0.3654542632250619,0.2690914735498763,0.3654542632250619,motion,0,0.20305480682839172,0.0,0.1958670260557053,0.20170709793351302,0.2151841868823001,0.18418688230008984,0.0,5,0.09355345911949686,0.09312627559831098,0.0,0.25,0.17032794249775382,0.12729944429732676,0.05,0.4,0.19281221922731356,0.12336986572105443,0.05,0.35,0.1867969451931716,0.05075313732073974,0.025,0.21,0.0046044395606469005,0.0036545377183131314,-0.000972348,0.010014825,0.04695867026055705,0.0033552943760856153,0.045,0.055,8.135062614,-0.275924738,0.26955128199999995,-0.08058595020080862,-0.3428582646981132,-0.28094761583692723,-0.20036166563611862,0.09435415475606469,0.3428582646981132,0.28094761583692723,0.18659346108086255,0.011549853661675075,0.011549853661675075,0.9381689371326117,884.8457520180726,701.2033427064291,0.2070566166231025,2.493436406702062,0.053295289,-0.23479727691194968,-0.436603178,0.12784045787832937,0.001004141,0.001004141,0.001004141
clean_r1,clean,2224,0.3654542632250619,0.2690914735498763,0.3654542632250619,motion,0,0.2014388489208633,0.0,0.18884892086330934,0.2014388489208633,0.22526978417266186,0.18030575539568344,0.002697841726618705,6,0.09534622302158273,0.09429388614407458,0.0,0.25,0.16881744604316548,0.12570840610198003,0.0,0.4,0.19316546762589928,0.12293458207268466,0.0,0.35,0.18683678057553957,0.05076187984312488,0.0,0.21,0.002833257263938849,0.0030674872775420083,-0.001485865,0.007349993,0.046888489208633095,0.003289703281382661,0.045,0.055,8.109472279,-0.338403191,0.338403191,-0.003314044669365722,-0.2073627702091768,-0.30980408555735495,-0.3064900408879892,0.04603271001079622,0.2073627702091768,0.30980408555735495,0.2637713755465587,0.013166952667805765,0.013166952667805765,0.9295269773582816,908.130209338702,708.0380428867746,0.20772185074327962,2.676872028849673,0.082542391,-0.17354685618120502,-0.354820653,0.13660118634176174,0.01829997344064748,0.0,0.018324692
clean_r2,clean,2222,0.3654542632250619,0.2690914735498763,0.3654542632250619,motion,0,0.19486948694869488,0.0,0.20297029702970298,0.19396939693969398,0.22052205220522053,0.18766876687668768,0.0,5,0.09471197119711972,0.09356035432647175,0.0,0.25,0.17223222322232223,0.12858141777048254,0.05,0.4,0.19507200720072007,0.12397834237647876,0.05,0.35,0.18609923492349234,0.05154512952558658,0.025,0.21,0.0006250868559855985,0.0016938613900415894,-0.0019958,0.004896395,0.047034203420342036,0.003421059866486603,0.045,0.055,8.052099773999998,-0.381625767,0.334618563,0.027497502077027027,-0.024466163591093118,-0.23742028456486486,-0.26491778664189186,0.037523528936486486,0.046499488703103914,0.23742028456486486,0.1998967556283784,0.011660271665912852,0.011660271665912852,0.9373437957941819,918.5638890026473,704.9154574508079,0.21314409064187018,2.541111932762085,0.121000366,-0.0781175176489649,-0.358356021,0.1267969996618273,0.017293553,0.017293553,0.017293553
m015,m015,2124,0.42867728074172046,0.2704239397211267,0.3008987795371528,motion,0,0.2015065913370998,0.0,0.1963276836158192,0.1902071563088512,0.24717514124293785,0.1647834274952919,0.0,5,0.10044726930320151,0.09604239072649344,0.0,0.25,0.1719632768361582,0.12620028833446864,0.05,0.4,0.1992231638418079,0.12300425294719466,0.05,0.35,0.1907909604519774,0.0439205779154008,0.025,0.21,0.002903446093220339,0.002898362427420626,-0.00109688,0.007512602,0.04696327683615819,0.0033272010477338764,0.045,0.055,8.190966671,-0.060289805,0.050923865,-0.03221734415960452,-0.24396991397457626,-0.10200367608898304,-0.06978633192937853,0.057626277809322037,0.24396991397457626,0.10200367608898304,0.04437739827966101,0.015791034231202483,0.015791034231202483,0.9172338448645887,922.4700074450807,716.5804250307741,0.20635146165895654,2.6275375867516706,0.06015096,-0.1260636447410546,-0.322028712,0.11283424589254518,0.001483426,0.001483426,0.001483426
m015_r1,m015,2121,0.42867728074172046,0.2704239397211267,0.3008987795371528,motion,0,0.20132013201320131,0.0,0.18953323903818953,0.20744931636020744,0.2362093352192362,0.16548797736916548,0.0,5,0.09875058934464875,0.09476935216234612,0.0,0.25,0.1710749646393211,0.12485342482311969,0.05,0.4,0.19702970297029704,0.12194650887668008,0.05,0.35,0.19045851013672796,0.044712116073336056,0.025,0.21,0.0026780254474304574,0.0025769965949192127,-0.000879018,0.007000776,0.04689533239038189,0.0032628720833140184,0.045,0.055,8.030125068,-0.3538588,0.30973714,-0.011169610913719943,-0.17240351153323905,-0.30677678381895335,-0.2956071729052334,0.02448760201980198,0.17240351153323905,0.30677678381895335,0.28228918179915136,0.016520888945063955,0.016520888945063955,0.9132572814246851,899.3744609861859,702.7346834565899,0.2027784626998376,2.6304460920089836,0.037765112,-0.1634499687553041,-0.357472973,0.12901405193445542,0.017525603,0.017525603,0.017525603
m015_r2,m015,1721,0.42867728074172046,0.2704239397211267,0.3008987795371528,motion,0,0.242300987797792,0.0,0.3381754793724579,0.25624636839047066,0.16327716443927948,0.0,0.0,4,0.10017431725740848,0.0779977044344886,0.0,0.25,0.22315514235909356,0.13729301165742272,0.05,0.4,0.23065078442765832,0.11725276540212466,0.05,0.35,0.20639320162696106,0.008056561978767186,0.1506,0.21,-0.007623127565950029,0.011334031235662833,-0.038128837,0.00129693,0.048378074762928526,0.0040735799330519715,0.045,0.055,6.588343014,2.037021006,2.037021006,0.08532014982897033,0.034916389337979095,1.3323191690418847,1.2469990192129143,0.08532014982897033,0.08940861168989547,1.3323191690418847,1.2469990192129143,0.06490046611699549,0.06490046611699549,0.6855493998571823,1131.3513729904316,884.6940432158558,0.5039566525520892,3.8444811058738466,2.039597597,0.4838525683968623,-0.111119802,0.6770016408119067,0.000233645,0.000233645,0.000233645
m030,m030,2225,0.33125239766228104,0.18093817386212863,0.48780942847559033,energy,0,0.20314606741573032,0.0,0.20404494382022473,0.19820224719101123,0.22112359550561797,0.17348314606741572,0.0,5,0.09550561797752809,0.09338829457669706,0.0,0.25,0.17325842696629215,0.1283497265935019,0.05,0.4,0.1962247191011236,0.12354008154650295,0.05,0.35,0.1886179775280899,0.04801240032564719,0.025,0.21,0.006629998134831461,0.005645514272369946,-0.001056178,0.016282258,0.04704044943820224,0.003427350053505806,0.045,0.055,8.158692227000001,-0.6181951229999999,0.616471447,-0.07764464217004048,-0.40585665635983825,-0.627537793074224,-0.5498931509041834,0.09251837274763833,0.40585665635983825,0.627537793074224,0.5350194203265857,0.01622483580837525,0.01622483580837525,0.9139804380207662,915.937957074495,713.0188593480261,0.225661114986075,2.6722730304345026,0.053612144,-0.3704806126269663,-0.702642718,0.24015157644110455,-0.000500256,-0.000500256,-0.000500256
m030_r1,m030,2122,0.33125239766228104,0.18093817386212863,0.48780942847559033,energy,0,0.20829406220546653,0.0,0.19368520263901978,0.20735155513666353,0.2408105560791706,0.14985862393967955,0.0,5,0.10042412818096136,0.09489718203244464,0.0,0.25,0.17292648444863337,0.12508644801756233,0.05,0.4,0.19945805843543826,0.12168677201763545,0.05,0.35,0.1936227615457116,0.038928449078994766,0.025,0.21,0.007691360481149859,0.005940527046882313,-0.001181266,0.017427986,0.0469368520263902,0.0033022176656534,0.045,0.055,8.103720529999999,-0.6660934869999999,0.633082237,-0.1073353910678925,-0.4344341814695898,-0.6546907901640735,-0.547355399096181,0.13191366858698728,0.4344341814695898,0.6546907901640735,0.5227771215770862,0.01946139575850034,0.01946139575850034,0.8994880787613094,906.4507150376511,714.3220265289898,0.22805430162324222,2.59357056619045,0.064873133,-0.3989284099335533,-0.729491189,0.2431744731070943,0.012475306,0.012475306,0.012475306
m030_r2,m030,2225,0.33125239766228104,0.18093817386212863,0.48780942847559033,energy,0,0.19820224719101123,0.0,0.20314606741573032,0.20134831460674157,0.21932584269662922,0.17797752808988765,0.0,5,0.0952808988764045,0.09313624051929746,0.0,0.25,0.17323595505617978,0.12814791510374324,0.05,0.4,0.19597752808988764,0.1233365704378584,0.05,0.35,0.18780449438202246,0.04922842298505292,0.025,0.21,0.0007624815456179775,0.0007503370047261085,-0.000719329,0.002289479,0.047031460674157304,0.003419567544007434,0.045,0.055,8.104529803,-0.111427745,0.107089035,-0.009465119442645074,-0.06474282973584905,-0.061350169604588396,-0.05188505016194332,0.021407276983805668,0.06474282973584905,0.061350169604588396,0.039942892620782725,0.014872449294490442,0.014872449294490442,0.9208088744445186,910.119844755368,714.8768018082086,0.20764516221693843,2.4401252305361374,0.041450004,-0.045203299899325845,-0.128805184,0.03814561809158935,0.000372456,0.000372456,0.000372456
m060,m060,2226,0.448911350942609,0.2333079648659234,0.3177806841914676,motion,0,0.192722371967655,0.0,0.20125786163522014,0.18598382749326145,0.23315363881401618,0.18688230008984727,0.0,5,0.09701257861635221,0.0950425110535644,0.0,0.25,0.17165318957771789,0.12794827870128167,0.05,0.4,0.1965633423180593,0.1240529434564274,0.05,0.35,0.18613319856244384,0.05136204810328038,0.025,0.21,0.0030269254088050312,0.0028250881179732014,-0.000545862,0.007334284,0.0470125786163522,0.0034033807325563412,0.045,0.055,8.225599844000001,-0.409069087,0.403953805,-0.022202397924528303,-0.20959960798247979,-0.31091311052425874,-0.2887107125997304,0.04212918366846361,0.20959960798247979,0.31091311052425874,0.2687839268557951,0.01287863196849895,0.01287863196849895,0.930809591905345,927.6752896029964,712.068190920887,0.21970354176844573,2.654594254527165,0.047279123,-0.18090503881042228,-0.406511446,0.13049765444887443,0.00189285,0.00189285,0.00189285
