d7_group,t_h2,t_d7,dt_abs,h2_context,d7_context,known_context,h2_beta_motion,h2_beta_stability,h2_beta_energy,d7_beta_motion,d7_beta_stability,d7_beta_energy,l1
pred_beta,1784662447.321878,1784662447.582437,0.260559,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52663098,0.19493390,0.27843512,0.94673803
prior_beta,1784662447.321878,1784662447.582437,0.260559,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.321878,1784662447.582437,0.260559,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54578873,0.18116737,0.27304390,0.90842254
pred_beta,1784662447.422175,1784662447.582437,0.160262,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52663098,0.19493390,0.27843512,0.94673803
prior_beta,1784662447.422175,1784662447.582437,0.160262,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.422175,1784662447.582437,0.160262,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54578873,0.18116737,0.27304390,0.90842254
pred_beta,1784662447.521707,1784662447.582437,0.060730,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52663098,0.19493390,0.27843512,0.94673803
prior_beta,1784662447.521707,1784662447.582437,0.060730,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.521707,1784662447.582437,0.060730,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54578873,0.18116737,0.27304390,0.90842254
pred_beta,1784662447.621670,1784662447.582437,0.039233,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52663098,0.19493390,0.27843512,0.94673803
prior_beta,1784662447.621670,1784662447.582437,0.039233,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.621670,1784662447.582437,0.039233,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54578873,0.18116737,0.27304390,0.90842254
actual_beta,1784662447.721793,1784662447.682563,0.039230,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662447.721793,1784662447.682563,0.039230,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52630705,0.19665152,0.27704143,0.94738589
prior_beta,1784662447.721793,1784662447.682563,0.039230,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.721793,1784662447.682563,0.039230,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54538382,0.18331439,0.27130179,0.90923236
actual_beta,1784662447.821752,1784662447.782578,0.039174,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662447.821752,1784662447.782578,0.039174,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52629777,0.19665793,0.27704430,0.94740446
prior_beta,1784662447.821752,1784662447.782578,0.039174,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.821752,1784662447.782578,0.039174,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54537221,0.18332242,0.27130538,0.90925558
actual_beta,1784662447.921697,1784662447.882657,0.039040,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662447.921697,1784662447.882657,0.039040,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52619834,0.19680924,0.27699243,0.94760333
prior_beta,1784662447.921697,1784662447.882657,0.039040,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662447.921697,1784662447.882657,0.039040,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54524792,0.18351155,0.27124053,0.90950416
actual_beta,1784662448.021762,1784662447.982711,0.039051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.021762,1784662447.982711,0.039051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52578322,0.19749678,0.27672000,0.94843356
prior_beta,1784662448.021762,1784662447.982711,0.039051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.021762,1784662447.982711,0.039051,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54472902,0.18437098,0.27090000,0.91054195
actual_beta,1784662448.121625,1784662448.082593,0.039032,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.121625,1784662448.082593,0.039032,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52521963,0.19844286,0.27633752,0.94956075
prior_beta,1784662448.121625,1784662448.082593,0.039032,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.121625,1784662448.082593,0.039032,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54402453,0.18555357,0.27042190,0.91195094
actual_beta,1784662448.221798,1784662448.182912,0.038886,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.221798,1784662448.182912,0.038886,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52462345,0.19945275,0.27592381,0.95075311
prior_beta,1784662448.221798,1784662448.182912,0.038886,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.221798,1784662448.182912,0.038886,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54327931,0.18681594,0.26990476,0.91344139
actual_beta,1784662448.322048,1784662448.282474,0.039574,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.322048,1784662448.282474,0.039574,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52389990,0.20067545,0.27542465,0.95220020
prior_beta,1784662448.322048,1784662448.282474,0.039574,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.322048,1784662448.282474,0.039574,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54237488,0.18834432,0.26928081,0.91525025
actual_beta,1784662448.421833,1784662448.383015,0.038818,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.421833,1784662448.383015,0.038818,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52310547,0.20200894,0.27488559,0.95378906
prior_beta,1784662448.421833,1784662448.383015,0.038818,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.421833,1784662448.383015,0.038818,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54138184,0.19001118,0.26860698,0.91723632
actual_beta,1784662448.522288,1784662448.482587,0.039701,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.522288,1784662448.482587,0.039701,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52260030,0.20286502,0.27453467,0.95479939
prior_beta,1784662448.522288,1784662448.482587,0.039701,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.522288,1784662448.482587,0.039701,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54075038,0.19108128,0.26816834,0.91849924
actual_beta,1784662448.621629,1784662448.582974,0.038655,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.621629,1784662448.582974,0.038655,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52245345,0.20307425,0.27447230,0.95509310
prior_beta,1784662448.621629,1784662448.582974,0.038655,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.621629,1784662448.582974,0.038655,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54056681,0.19134281,0.26809038,0.91886638
actual_beta,1784662448.721853,1784662448.682427,0.039426,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.721853,1784662448.682427,0.039426,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52239413,0.20312422,0.27448165,0.95521174
prior_beta,1784662448.721853,1784662448.682427,0.039426,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.721853,1784662448.682427,0.039426,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54049266,0.19140527,0.26810207,0.91901468
actual_beta,1784662448.821894,1784662448.782652,0.039242,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.821894,1784662448.782652,0.039242,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52233848,0.20316163,0.27449989,0.95532303
prior_beta,1784662448.821894,1784662448.782652,0.039242,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.821894,1784662448.782652,0.039242,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54042310,0.19145203,0.26812486,0.91915379
actual_beta,1784662448.921832,1784662448.882981,0.038851,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662448.921832,1784662448.882981,0.038851,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52228472,0.20319513,0.27452015,0.95543056
prior_beta,1784662448.921832,1784662448.882981,0.038851,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662448.921832,1784662448.882981,0.038851,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54035590,0.19149391,0.26815019,0.91928820
actual_beta,1784662449.021740,1784662448.982438,0.039302,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662449.021740,1784662448.982438,0.039302,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52226956,0.20316657,0.27456387,0.95546089
prior_beta,1784662449.021740,1784662448.982438,0.039302,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662449.021740,1784662448.982438,0.039302,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54033695,0.19145822,0.26820483,0.91932611
actual_beta,1784662449.121645,1784662449.082470,0.039175,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662449.121645,1784662449.082470,0.039175,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52226291,0.20312151,0.27461558,0.95547418
prior_beta,1784662449.121645,1784662449.082470,0.039175,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662449.121645,1784662449.082470,0.039175,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54032863,0.19140189,0.26826948,0.91934273
actual_beta,1784662449.221831,1784662449.182547,0.039284,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662449.221831,1784662449.182547,0.039284,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52222856,0.20312146,0.27464998,0.95554287
prior_beta,1784662449.221831,1784662449.182547,0.039284,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784662449.221831,1784662449.182547,0.039284,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54028570,0.19140182,0.26831247,0.91942859
actual_beta,1784662449.321662,1784662449.282926,0.038736,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784662449.321662,1784662449.282926,0.038736,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52217706,0.20315502,0.27466792,0.95564589
prior_beta,1784662449.321662,1784662449.282926,0.038736,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
