d7_group,t_h2,t_d7,dt_abs,h2_context,d7_context,known_context,h2_beta_motion,h2_beta_stability,h2_beta_energy,d7_beta_motion,d7_beta_stability,d7_beta_energy,l1
actual_beta,1784666624.585862,1784666624.897353,0.311491,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666624.585862,1784666624.897353,0.311491,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52560597,0.19678917,0.27760486,0.94878807
prior_beta,1784666624.585862,1784666624.897353,0.311491,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666624.585862,1784666624.897353,0.311491,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54450746,0.18348646,0.27200608,0.91098509
actual_beta,1784666624.686238,1784666624.897353,0.211115,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666624.686238,1784666624.897353,0.211115,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52560597,0.19678917,0.27760486,0.94878807
prior_beta,1784666624.686238,1784666624.897353,0.211115,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666624.686238,1784666624.897353,0.211115,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54450746,0.18348646,0.27200608,0.91098509
actual_beta,1784666624.787451,1784666624.897353,0.109902,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666624.787451,1784666624.897353,0.109902,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52560597,0.19678917,0.27760486,0.94878807
prior_beta,1784666624.787451,1784666624.897353,0.109902,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666624.787451,1784666624.897353,0.109902,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54450746,0.18348646,0.27200608,0.91098509
actual_beta,1784666624.885731,1784666624.897353,0.011622,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666624.885731,1784666624.897353,0.011622,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52560597,0.19678917,0.27760486,0.94878807
prior_beta,1784666624.885731,1784666624.897353,0.011622,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666624.885731,1784666624.897353,0.011622,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54450746,0.18348646,0.27200608,0.91098509
actual_beta,1784666624.985812,1784666624.997040,0.011228,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666624.985812,1784666624.997040,0.011228,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52529177,0.19727717,0.27743106,0.94941645
prior_beta,1784666624.985812,1784666624.997040,0.011228,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666624.985812,1784666624.997040,0.011228,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54411472,0.18409646,0.27178882,0.91177057
actual_beta,1784666625.085739,1784666625.097279,0.011540,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.085739,1784666625.097279,0.011540,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52491709,0.19786546,0.27721744,0.95016581
prior_beta,1784666625.085739,1784666625.097279,0.011540,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.085739,1784666625.097279,0.011540,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54364637,0.18483183,0.27152181,0.91270727
actual_beta,1784666625.185985,1784666625.197221,0.011236,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.185985,1784666625.197221,0.011236,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52454611,0.19845723,0.27699666,0.95090779
prior_beta,1784666625.185985,1784666625.197221,0.011236,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.185985,1784666625.197221,0.011236,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54318263,0.18557154,0.27124582,0.91363473
actual_beta,1784666625.285687,1784666625.297271,0.011584,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.285687,1784666625.297271,0.011584,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52421804,0.19898177,0.27680019,0.95156392
prior_beta,1784666625.285687,1784666625.297271,0.011584,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.285687,1784666625.297271,0.011584,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54277255,0.18622721,0.27100024,0.91445490
actual_beta,1784666625.385686,1784666625.397057,0.011371,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.385686,1784666625.397057,0.011371,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52377829,0.19968759,0.27653413,0.95244343
prior_beta,1784666625.385686,1784666625.397057,0.011371,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
raw_beta,1784666625.385686,1784666625.397057,0.011371,flat,flat,1,1.00000000,0.00000000,0.00000000,0.54222286,0.18710948,0.27066766,0.91555428
actual_beta,1784666625.485857,1784666625.497321,0.011464,flat,flat,1,1.00000000,0.00000000,0.00000000,0.45000000,0.25000000,0.30000000,1.10000000
pred_beta,1784666625.485857,1784666625.497321,0.011464,flat,flat,1,1.00000000,0.00000000,0.00000000,0.52345081,0.20020299,0.27634620,0.95309838
