t_wall,context,x,y,observed_features,imputed_features,learned_slip,learned_rough,learned_sigma,damped_slip,damped_rough,damped_sigma,safe_slip,safe_rough,safe_sigma,legacy_slip,legacy_rough,legacy_sigma,learned_l1_legacy,damped_l1_legacy,safe_l1_legacy
1784664157.503585,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664157.603709,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664157.703514,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664157.803495,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664157.903517,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.003495,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.103519,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.203479,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.303513,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.403712,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.503558,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.603518,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.703490,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.803518,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664158.903610,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.003625,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.103614,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.203801,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.303555,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.403492,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.503517,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.603518,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.703582,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
1784664159.803592,unknown,,,8,15,0.00000000,1.00000000,0.00000000,0.29527485,0.64834220,0.33708220,0.29527485,0.64834220,0.33708220,,,,,,
