row_idx,t_wall,context,x,y,beta_motion,beta_stability,beta_energy,best_action_id,best_action_name,best_score,second_action_id,second_action_name,top2_margin
0,1784666624.897353,flat,0.002555320,0.004071809,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
1,1784666624.997040,flat,0.005615068,0.006820345,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
2,1784666625.097279,flat,0.008734473,0.010158116,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
3,1784666625.197221,flat,0.011434235,0.013518357,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
4,1784666625.297271,flat,0.013708310,0.016502029,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
5,1784666625.397057,flat,0.016678774,0.020515336,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
6,1784666625.497321,flat,0.019983936,0.023387100,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
7,1784666625.597226,flat,0.025515116,0.023728930,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
8,1784666625.697507,flat,0.031126132,0.023491664,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
9,1784666625.797256,flat,0.036156534,0.022760696,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
10,1784666625.897393,flat,0.040763219,0.022121406,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
11,1784666625.997088,flat,0.044982262,0.021732257,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
12,1784666626.097259,flat,0.049405848,0.021215784,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
13,1784666626.196968,flat,0.053850237,0.020556765,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
14,1784666626.297458,flat,0.058703123,0.019779010,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
15,1784666626.397099,flat,0.064424144,0.019624126,0.45000000,0.25000000,0.30000000,1,fast_motion,0.80550000,0,nominal_cruise,0.04172093
