group,rows,emp_vx_mean,proj_vx_mean,delta_vx_mean,delta_vx_min,delta_vx_max,emp_yaw_rate_mean,proj_yaw_rate_mean,delta_yaw_rate_mean,emp_body_h_mean,proj_body_h_mean,delta_body_h_mean,emp_clearance_mean,proj_clearance_mean,delta_clearance_mean,hold_guard_mean
ALL,6368,0.07810380025125628,0.06915745131909548,-0.008946348932160803,-0.1775,0.01,0.0007865000251256281,0.0006188740703517588,-0.00016762599246231155,0.32,0.31900502512562817,-0.0009949748743718592,0.0456768216080402,0.04656925251256281,0.0008924309045226131,0.7129396984924623
context:downslope,493,0.2025,0.1522868154158215,-0.0502131845841785,-0.1775,-0.04455,0.0023234165720081136,0.0017295759229208924,-0.0005938407302231237,0.32,0.3142555780933063,-0.005744421906693712,0.045,0.048829614604462473,0.0038296146044624747,0.04259634888438134
context:flat,482,0.21,0.22,0.01,0.01,0.01,0.0001860421161825726,0.0001860421161825726,0.0,0.32,0.32,0.0,0.045,0.042,-0.003,0.0
context:goal_flat,4519,0.0254320646160655,0.025,-0.0004320646160655012,-0.1775,0.0,9.101352069041824e-06,0.0,-9.101352069041824e-06,0.32,0.32,0.0,0.045,0.045,0.0,1.0
context:rough,431,0.205,0.13325,-0.07175,-0.07175,-0.07175,0.005077219675174014,0.003554054083526682,-0.0015231660324825987,0.32,0.312,-0.008,0.055,0.063,0.008,0.0
context:unknown,7,0.21,0.1365,-0.0735,-0.0735,-0.0735,0.0,0.0,0.0,0.32,0.312,-0.008,0.045,0.053,0.008,0.0
context:upslope,436,0.21,0.2016422018348624,-0.008357798165137615,-0.0084,0.01,0.0035410660550458718,0.003364310871559633,-0.00017675520642201835,0.32,0.32,0.0,0.045,0.048983944954128444,0.003983944954128441,0.0
action:1,483,0.21,0.22,0.01,0.01,0.01,0.0001910379917184265,0.0001910379917184265,0.0,0.32,0.32,0.0,0.045,0.042,-0.003,0.0
action:5,435,0.21,0.2016,-0.0084,-0.0084,-0.0084,0.0035432316091954024,0.003366070091954023,-0.00017716154022988506,0.32,0.32,0.0,0.045,0.049,0.004,0.0
action:6,472,0.2025,0.15795,-0.04455,-0.04455,-0.04455,0.0022581593008474577,0.0018065273940677967,-0.00045163199152542375,0.32,0.314,-0.006,0.045,0.049,0.004,0.0
action:7,438,0.20507990867579906,0.13330194063926942,-0.07177796803652968,-0.0735,-0.07175,0.004996076894977169,0.0034972541324200914,-0.001498823196347032,0.32,0.312,-0.008,0.054840182648401826,0.06284018264840183,0.008,0.0
action:8,4540,0.026251101321585906,0.025,-0.001251101321585903,-0.1775,0.0,2.6590790748898677e-05,0.0,-2.6590790748898677e-05,0.32,0.32,0.0,0.045,0.045,0.0,1.0
context_action:downslope:6,472,0.2025,0.15795,-0.04455,-0.04455,-0.04455,0.0022581593008474577,0.0018065273940677967,-0.00045163199152542375,0.32,0.314,-0.006,0.045,0.049,0.004,0.0
context_action:downslope:8,21,0.2025,0.025,-0.1775,-0.1775,-0.1775,0.0037901514285714286,0.0,-0.0037901514285714286,0.32,0.32,0.0,0.045,0.045,0.0,1.0
context_action:flat:1,482,0.21,0.22,0.01,0.01,0.01,0.0001860421161825726,0.0001860421161825726,0.0,0.32,0.32,0.0,0.045,0.042,-0.003,0.0
context_action:goal_flat:8,4519,0.0254320646160655,0.025,-0.0004320646160655012,-0.1775,0.0,9.101352069041824e-06,0.0,-9.101352069041824e-06,0.32,0.32,0.0,0.045,0.045,0.0,1.0
context_action:rough:7,431,0.205,0.13325,-0.07175,-0.07175,-0.07175,0.005077219675174014,0.003554054083526682,-0.0015231660324825987,0.32,0.312,-0.008,0.055,0.063,0.008,0.0
context_action:unknown:7,7,0.21,0.1365,-0.0735,-0.0735,-0.0735,0.0,0.0,0.0,0.32,0.312,-0.008,0.045,0.053,0.008,0.0
context_action:upslope:1,1,0.21,0.22,0.01,0.01,0.01,0.00259905,0.00259905,0.0,0.32,0.32,0.0,0.045,0.042,-0.003,0.0
context_action:upslope:5,435,0.21,0.2016,-0.0084,-0.0084,-0.0084,0.0035432316091954024,0.003366070091954023,-0.00017716154022988506,0.32,0.32,0.0,0.045,0.049,0.004,0.0
