t_wall,context,x,y,action_id,vx_scale,vx_delta,yaw_gain_scale,body_h_delta,clearance_delta,stability_bias,energy_bias,hold_override,hold_guard,emp_seq,emp_vx,emp_yaw_rate,emp_body_h,emp_clearance,emp_enable,proj_seq,proj_vx,proj_yaw_rate,proj_body_h,proj_clearance,proj_enable,delta_vx,delta_yaw_rate,delta_body_h,delta_clearance,j6_accept,j6_reason
1784671570.797999,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,1,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,1,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671570.898099,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,2,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,2,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671570.998032,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,3,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,3,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671571.098173,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,4,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,4,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671571.198062,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,5,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,5,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671571.298053,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,6,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,6,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671571.398027,unknown,,,7,0.65000000,0.00000000,0.70000000,-0.00800000,0.00800000,0.35000000,-0.15000000,0,0,7,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,7,0.13650000,-0.00000000,0.31200000,0.05300000,1.00000000,-0.07350000,0.00000000,-0.00800000,0.00800000,0,delta_vx_too_large
1784671571.498140,flat,-0.000010,-0.000029,1,1.08000000,0.00000000,1.00000000,0.00000000,-0.00300000,-0.10000000,-0.05000000,0,0,8,0.21000000,-0.00000000,0.32000000,0.04500000,1.00000000,8,0.22000000,-0.00000000,0.32000000,0.04200000,1.00000000,0.01000000,0.00000000,0.00000000,-0.00300000,1,accepted_dryrun
1784671571.598110,flat,-0.000076,-0.000086,1,1.08000000,0.00000000,1.00000000,0.00000000,-0.00300000,-0.10000000,-0.05000000,0,0,9,0.21000000,0.00000201,0.32000000,0.04500000,1.00000000,9,0.22000000,0.00000201,0.32000000,0.04200000,1.00000000,0.01000000,0.00000000,0.00000000,-0.00300000,1,accepted_dryrun
1784671571.698114,flat,-0.000098,-0.000194,1,1.08000000,0.00000000,1.00000000,0.00000000,-0.00300000,-0.10000000,-0.05000000,0,0,10,0.21000000,0.00000220,0.32000000,0.04500000,1.00000000,10,0.22000000,0.00000220,0.32000000,0.04200000,1.00000000,0.01000000,0.00000000,0.00000000,-0.00300000,1,accepted_dryrun
