status,mode,idx,return_code,goal_reached,final_x,final_y,max_x,max_abs_y,mean_abs_y,rows,valid_xy,j7_rows,j7_accepted,j7_accept_rate,j7_projected,j7_empirical,j7_failsafe,flat_rows,flat_accepted,upslope_rows,upslope_accepted,rough_rows,rough_accepted,downslope_rows,downslope_accepted,manifest,d5_log_dir,j7_csv,run_dir
ok,baseline,1,0,True,8.100997,-0.017384,8.102535,0.304067,0.127974,2126,2126,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
ok,j19_profile,1,0,True,8.107830,-0.374646,8.107884,0.398360,0.136461,2123,2123,2174,432,0.198712,432,1735,7,434,432,420,0,436,0,516,0,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile
ok,baseline,2,0,True,8.147048,-0.425051,8.147048,0.428930,0.176088,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
ok,j19_profile,2,0,True,8.126465,0.310106,8.127032,0.448506,0.245969,2123,2123,2174,464,0.213431,464,1705,5,465,464,431,0,460,0,483,0,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile
ok,baseline,3,0,True,8.039850,0.190867,8.081035,0.231022,0.076465,2226,2226,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
ok,j19_profile,3,0,True,8.041561,0.045381,8.065006,0.122530,0.056555,2126,2124,2171,433,0.199447,433,1731,7,435,433,443,0,445,0,497,0,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile
ok,baseline,4,0,True,8.211973,-0.494151,8.212100,0.494151,0.269287,2228,2228,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_baseline
ok,j19_profile,4,0,True,8.183993,-0.803437,8.184038,0.825721,0.400564,2126,2126,2173,441,0.202945,441,1725,7,443,441,421,0,448,0,469,0,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile
ok,baseline,5,0,True,8.137728,-0.420962,8.137728,0.476041,0.266975,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_baseline
ok,j19_profile,5,0,True,8.102249,-0.061077,8.120398,0.313040,0.144577,2128,2128,2171,444,0.204514,444,1722,5,444,444,418,0,423,0,513,0,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile
