mode,idx,context,scope,rows,valid_xy,x_start,x_end,x_min,x_max,y_start,y_end,y_min,y_max,delta_y,abs_delta_y,max_abs_y,mean_abs_y,j7_rows,j7_accepted,j7_projected,j7_empirical,j7_failsafe,run_max_abs_y,run_mean_abs_y,manifest,d5_log_dir,j7_csv
baseline,1,flat,context_all,456,456,-0.002315,1.999931,-0.002315,1.999931,0.000556,-0.006601,-0.007744,0.082992,-0.007157,0.007157,0.082992,0.035356,0,0,0,0,0,0.304067,0.127974,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA
baseline,1,upslope,context_all,414,414,2.004200,3.995063,2.004200,3.995063,-0.006360,-0.137181,-0.186177,-0.006360,-0.130821,0.130821,0.186177,0.132895,0,0,0,0,0,0.304067,0.127974,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA
baseline,1,rough,context_all,444,444,4.000683,5.996949,4.000683,5.996949,-0.137834,-0.286502,-0.286502,-0.135326,-0.148668,0.148668,0.286502,0.184122,0,0,0,0,0,0.304067,0.127974,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA
baseline,1,downslope,context_all,484,484,6.002282,7.999149,6.002282,7.999149,-0.285669,-0.053777,-0.304067,-0.053690,0.231892,0.231892,0.304067,0.221041,0,0,0,0,0,0.304067,0.127974,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA
baseline,1,goal_flat,context_all,328,328,8.002409,8.100997,8.002409,8.102535,-0.053783,-0.017384,-0.057050,-0.014953,0.036399,0.036399,0.057050,0.037188,0,0,0,0,0,0.304067,0.127974,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA
j19_profile,1,flat,context_all,403,403,0.091514,1.999642,0.091514,1.999642,0.002508,0.016923,-0.041238,0.061789,0.014414,0.014414,0.061789,0.025385,434,432,432,0,0,0.398360,0.136461,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,1,upslope,context_all,419,419,2.005409,3.996590,2.005409,3.996590,0.016670,0.079510,0.010351,0.107306,0.062840,0.062840,0.107306,0.081937,420,0,0,0,0,0.398360,0.136461,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,1,rough,context_all,436,436,4.001008,5.997119,4.001008,5.997119,0.079307,-0.018964,-0.042244,0.139234,-0.098271,0.098271,0.139234,0.058786,436,0,0,0,0,0.398360,0.136461,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,1,downslope,context_all,516,516,6.000853,7.997258,6.000853,7.997258,-0.016839,-0.313526,-0.316082,-0.005723,-0.296687,0.296687,0.316082,0.173989,516,0,0,0,0,0.398360,0.136461,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
j19_profile,1,goal_flat,context_all,349,349,8.002149,8.107830,8.002149,8.107884,-0.313381,-0.374646,-0.398360,-0.313381,-0.061265,0.061265,0.398360,0.371737,0,0,0,0,0,0.398360,0.136461,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv
