status,mode,idx,return_code,goal_reached,final_x,final_y,max_x,max_abs_y,mean_abs_y,rows,valid_xy,j7_rows,j7_accepted,j7_accept_rate,j7_projected,j7_empirical,j7_failsafe,flat_rows,flat_accepted,upslope_rows,upslope_accepted,rough_rows,rough_accepted,downslope_rows,downslope_accepted,manifest,d5_log_dir,j7_csv,run_dir
ok,baseline,1,0,True,8.141177,-0.060489,8.141177,0.483797,0.220794,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260723_164406_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_164406_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_baseline
ok,flat_noop,1,0,True,8.041636,-0.189066,8.106518,0.413035,0.215599,2127,2127,2175,435,0.200000,435,1734,6,436,435,434,0,445,0,494,0,reports/phase_d4_context_meta_repeat_20260723_164851_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_164851_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_noop
ok,flat_slow03,1,0,True,8.084136,-0.059845,8.107183,0.237615,0.103612,2229,2229,2278,484,0.212467,484,1786,8,485,484,417,0,466,0,500,0,reports/phase_d4_context_meta_repeat_20260723_165337_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_165337_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03
ok,flat_clear03,1,0,True,8.208428,-0.342733,8.208428,0.476883,0.276378,2128,2127,2180,453,0.207798,453,1719,8,454,453,415,0,447,0,481,0,reports/phase_d4_context_meta_repeat_20260723_165832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_165832_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_clear03
ok,flat_slow03_clear03,1,0,True,7.968275,-0.171936,8.079725,0.181762,0.095139,2227,2227,2279,462,0.202720,462,1810,7,463,462,449,0,433,0,516,0,reports/phase_d4_context_meta_repeat_20260723_170318_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_170318_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03_clear03
ok,baseline,2,0,True,8.135780,-0.193515,8.143035,0.422743,0.256692,2226,2226,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260723_170811_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_170811_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_baseline
ok,flat_noop,2,0,True,8.189947,-0.250733,8.189947,0.267682,0.107338,2126,2126,2172,436,0.200737,436,1729,7,437,436,417,0,454,0,508,0,reports/phase_d4_context_meta_repeat_20260723_171306_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_171306_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_noop
ok,flat_slow03,2,0,True,8.109769,-0.243312,8.129226,0.515005,0.246896,2126,2124,2185,438,0.200458,438,1740,7,438,438,427,0,454,0,514,0,reports/phase_d4_context_meta_repeat_20260723_171752_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_171752_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03
ok,flat_clear03,2,0,True,8.142377,-0.138497,8.145632,0.197967,0.093569,2128,2128,2172,443,0.203959,443,1723,6,443,443,435,0,422,0,514,0,reports/phase_d4_context_meta_repeat_20260723_172238_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_172238_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_clear03
ok,flat_slow03_clear03,2,0,True,8.149764,-0.213440,8.149764,0.372442,0.227965,2227,2227,2273,485,0.213374,485,1781,7,485,485,419,0,433,0,520,0,reports/phase_d4_context_meta_repeat_20260723_172724_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_172724_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03_clear03
