source_phase,mode,idx,mode_family,candidate_theta_desc,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,active_used,j7_accepted,j7_projected,j7_failsafe,flat_rows,flat_accepted,flat_accept_rate,decision,decision_reason,manifest,d5_log_dir,j7_csv,run_dir
K1,baseline,1,empirical_baseline,empirical_D7_D6_gated,ok,1,8.100997,-0.017384,0.304067,0.127974,0.368054,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
K1,j19_profile,1,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.10783,-0.374646,0.39836,0.136461,0.4665905,1,432.0,432.0,7.0,434.0,432.0,0.9953917050691244,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile
K1,baseline,2,empirical_baseline,empirical_D7_D6_gated,ok,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
K1,j19_profile,2,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.126465,0.310106,0.448506,0.245969,0.5714905,1,464.0,464.0,5.0,465.0,464.0,0.9978494623655914,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile
K1,baseline,3,empirical_baseline,empirical_D7_D6_gated,ok,1,8.03985,0.190867,0.231022,0.076465,0.2692545,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
K1,j19_profile,3,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.041561,0.045381,0.12253,0.056555,0.1508075,1,433.0,433.0,7.0,435.0,433.0,0.9954022988505747,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile
K1,baseline,4,empirical_baseline,empirical_D7_D6_gated,ok,1,8.211973,-0.494151,0.494151,0.269287,0.6287945,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_baseline
K1,j19_profile,4,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.183993,-0.803437,0.825721,0.400564,1.026003,1,441.0,441.0,7.0,443.0,441.0,0.9954853273137697,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile
K1,baseline,5,empirical_baseline,empirical_D7_D6_gated,ok,1,8.137728,-0.420962,0.476041,0.266975,0.6095285,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_baseline
K1,j19_profile,5,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.102249,-0.061077,0.31304,0.144577,0.38532849999999996,1,444.0,444.0,5.0,444.0,444.0,1.0,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile
K1,baseline,6,empirical_baseline,empirical_D7_D6_gated,ok,1,8.096336,0.241085,0.330449,0.118779,0.3898385,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_204355_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204355_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_baseline
K1,j19_profile,6,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.138908,-0.346228,0.40572,0.297625,0.5545325,1,462.0,462.0,7.0,463.0,462.0,0.9978401727861771,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_204852_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_204852_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/6_j19_profile
K1,baseline,7,empirical_baseline,empirical_D7_D6_gated,ok,1,8.150317,-0.036835,0.232221,0.09411,0.279276,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_205335_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205335_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_baseline
K1,j19_profile,7,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.102549,-0.110004,0.256301,0.10245,0.307526,1,446.0,446.0,7.0,448.0,446.0,0.9955357142857143,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_205832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_205832_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/7_j19_profile
K1,baseline,8,empirical_baseline,empirical_D7_D6_gated,ok,1,8.142905,-0.04803,0.240008,0.076154,0.278085,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_210314_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_210314_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_baseline
K1,j19_profile,8,j19_flat_noop_profile,flat_noop_active_profile,timeout,0,,,,,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_210801_manifest.tsv,,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/8_j19_profile
K1,baseline,9,empirical_baseline,empirical_D7_D6_gated,ok,1,8.041699,-0.58155,0.621932,0.195508,0.719686,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_213815_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_213815_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_baseline
K1,j19_profile,9,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.184127,-0.054525,0.142834,0.041393,0.1635305,1,463.0,463.0,8.0,464.0,463.0,0.9978448275862069,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_214326_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214326_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/9_j19_profile
K1,baseline,10,empirical_baseline,empirical_D7_D6_gated,ok,1,8.158976,-0.286946,0.300163,0.172027,0.38617650000000003,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260722_214810_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_214810_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_baseline
K1,j19_profile,10,j19_flat_noop_profile,flat_noop_active_profile,ok,1,8.178385,-0.212398,0.212785,0.063674,0.244622,1,449.0,449.0,6.0,450.0,449.0,0.9977777777777778,reject,empirical_default_active_shadow_only,reports/phase_d4_context_meta_repeat_20260722_215256_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_215256_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/10_j19_profile
K4C,baseline,1,empirical_baseline,empirical_D7_D6_gated,ok,1,8.141177,-0.060489,0.483797,0.220794,0.594194,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260723_164406_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_164406_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_baseline
K4C,flat_noop,1,flat_micro_action,flat theta no-op,ok,1,8.041636,-0.189066,0.413035,0.215599,0.5208345,1,435.0,435.0,6.0,436.0,435.0,0.9977064220183486,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_164851_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_164851_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_noop
K4C,flat_slow03,1,flat_micro_action,flat vx_scale 0.97,ok,1,8.084136,-0.059845,0.237615,0.103612,0.289421,1,484.0,484.0,8.0,485.0,484.0,0.9979381443298969,shadow_only,improves_max_abs_y_only_but_worsens_mean_abs_y,reports/phase_d4_context_meta_repeat_20260723_165337_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_165337_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03
K4C,flat_clear03,1,flat_micro_action,flat clearance +0.003,ok,1,8.208428,-0.342733,0.476883,0.276378,0.6150720000000001,1,453.0,453.0,8.0,454.0,453.0,0.9977973568281938,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_165832_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_165832_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_clear03
K4C,flat_slow03_clear03,1,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,ok,1,7.968275,-0.171936,0.181762,0.095139,0.22933150000000002,1,462.0,462.0,7.0,463.0,462.0,0.9978401727861771,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_170318_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_170318_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/1_flat_slow03_clear03
K4C,baseline,2,empirical_baseline,empirical_D7_D6_gated,ok,1,8.13578,-0.193515,0.422743,0.256692,0.5510889999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260723_170811_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_170811_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_baseline
K4C,flat_noop,2,flat_micro_action,flat theta no-op,ok,1,8.189947,-0.250733,0.267682,0.107338,0.321351,1,436.0,436.0,7.0,437.0,436.0,0.9977116704805492,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_171306_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_171306_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_noop/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_noop
K4C,flat_slow03,2,flat_micro_action,flat vx_scale 0.97,ok,1,8.109769,-0.243312,0.515005,0.246896,0.638453,1,438.0,438.0,7.0,438.0,438.0,1.0,shadow_only,improves_max_abs_y_only_but_worsens_mean_abs_y,reports/phase_d4_context_meta_repeat_20260723_171752_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_171752_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03
K4C,flat_clear03,2,flat_micro_action,flat clearance +0.003,ok,1,8.142377,-0.138497,0.197967,0.093569,0.2447515,1,443.0,443.0,6.0,443.0,443.0,1.0,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_172238_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_172238_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_clear03
K4C,flat_slow03_clear03,2,flat_micro_action,flat vx_scale 0.97 + clearance +0.003,ok,1,8.149764,-0.21344,0.372442,0.227965,0.4864245,1,485.0,485.0,7.0,485.0,485.0,1.0,reject,does_not_improve_lateral_metrics,reports/phase_d4_context_meta_repeat_20260723_172724_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_172724_trial_1,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03_clear03/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/2_flat_slow03_clear03
K4C,baseline,3,empirical_baseline,empirical_D7_D6_gated,ok,1,8.090573,-0.033035,0.410366,0.183473,0.5021025,0,0.0,0.0,0.0,0.0,0.0,0.0,reference,baseline_reference,reports/phase_d4_context_meta_repeat_20260723_173216_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260723_173216_trial_1,NA,logs/phase_k/k4c_flat_micro_candidates_fixed_20260723_164401/3_baseline
