schema_version,row_granularity,source_phase,source_row_index,source_rollout_id,manifest,d5_log_dir,j7_csv,run_dir,world_name,context_label,next_context,segment_id,segment_progress,x_start,y_start,abs_y_start,beta_motion,beta_stability,beta_energy,ram_rho_summary,sigma_uncertainty,baseline_vx,baseline_yaw,baseline_body_h,baseline_clearance,baseline_enable,candidate_mode,candidate_action_id,candidate_mode_family,candidate_theta_desc,candidate_vx,candidate_yaw,candidate_body_h,candidate_clearance,candidate_enable,candidate_vx_scale,candidate_vx_delta,candidate_yaw_gain,candidate_body_h_delta,candidate_clearance_delta,active_used,j7_accepted,j7_projected,j7_failsafe,flat_rows,flat_accepted,flat_accept_rate,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,delta_progress,time_to_goal,termination_reason,decision_raw,decision_label,supervision_role,decision_reason
phase_l1_v0,rollout_candidate_outcome,K1,1,K1:baseline:1,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.100997,-0.017384,0.304067,0.127974,0.368054,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,2,K1:j19_profile:1,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,432.0,432.0,7.0,434.0,432.0,0.9953917050691244,ok,1,8.10783,-0.374646,0.39836,0.136461,0.4665905,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,3,K1:baseline:2,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,4,K1:j19_profile:2,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,464.0,464.0,5.0,465.0,464.0,0.9978494623655914,ok,1,8.126465,0.310106,0.448506,0.245969,0.5714905,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,5,K1:baseline:3,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.03985,0.190867,0.231022,0.076465,0.2692545,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,6,K1:j19_profile:3,reports/phase_d4_context_meta_repeat_20260722_202004_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202004_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,433.0,433.0,7.0,435.0,433.0,0.9954022988505747,ok,1,8.041561,0.045381,0.12253,0.056555,0.1508075,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,7,K1:baseline:4,reports/phase_d4_context_meta_repeat_20260722_202447_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202447_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.211973,-0.494151,0.494151,0.269287,0.6287945,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,8,K1:j19_profile:4,reports/phase_d4_context_meta_repeat_20260722_202944_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_202944_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/4_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,441.0,441.0,7.0,443.0,441.0,0.9954853273137697,ok,1,8.183993,-0.803437,0.825721,0.400564,1.026003,,,,reject,reject,negative,empirical_default_active_shadow_only
phase_l1_v0,rollout_candidate_outcome,K1,9,K1:baseline:5,reports/phase_d4_context_meta_repeat_20260722_203426_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203426_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_baseline,,,,,,,,,,,,,,,,,,,baseline,baseline,empirical_baseline,empirical_D7_D6_gated,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,ok,1,8.137728,-0.420962,0.476041,0.266975,0.6095285,,,,reference,empirical,reference_anchor,baseline_reference
phase_l1_v0,rollout_candidate_outcome,K1,10,K1:j19_profile:5,reports/phase_d4_context_meta_repeat_20260722_203913_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_203913_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/5_j19_profile,,,,,,,,,,,,,,,,,,,j19_profile,j19_profile,j19_flat_noop_profile,flat_noop_active_profile,,,,,,,,,,,1,444.0,444.0,5.0,444.0,444.0,1.0,ok,1,8.102249,-0.061077,0.31304,0.144577,0.38532849999999996,,,,reject,reject,negative,empirical_default_active_shadow_only
