schema_version,row_granularity,source_phase,candidate_mode,trial_idx,source_rollout_id,window_id,window_type,context,action_id,t_start,t_end,duration_s,window_rows,state_rows,state_coverage_ratio,x_start,y_start,x_end,y_end,mean_abs_y_window,max_abs_y_window,beta_motion_mean,beta_stability_mean,beta_energy_mean,ram_slip_mean,ram_roughness_mean,ram_sigma_mean,emp_vx_mean,emp_yaw_rate_mean,emp_body_h_mean,emp_clearance_mean,emp_enable_mean,proj_vx_mean,proj_yaw_rate_mean,proj_body_h_mean,proj_clearance_mean,proj_enable_mean,out_vx_mean,out_yaw_rate_mean,out_body_h_mean,out_clearance_mean,out_enable_mean,delta_vx_mean,delta_yaw_rate_mean,delta_body_h_mean,delta_clearance_mean,vx_scale_mean,vx_delta_mean,yaw_gain_scale_mean,body_h_delta_mean,clearance_delta_mean,goal_reached,final_x,final_y,rollout_max_abs_y,rollout_mean_abs_y,rollout_risk_score,rollout_decision_raw,rollout_decision_label,evidence_role,direct_action_label_allowed,manifest,d5_log_dir,j7_csv,run_dir
phase_l2_v0,context_action_window,K1,baseline,1,K1:baseline:1,baseline:flat:1,empirical_context_window,flat,empirical,1784764631.660492,1784764677.1607895,45.50029754638672,456,456,1.0,-0.0023145095523410537,0.0005560150495251921,1.999931330381358,-0.006601075485090271,0.035356015956798645,0.08299238784427072,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.0008643777873097053,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.100997,-0.017384,0.304067,0.127974,0.368054,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
phase_l2_v0,context_action_window,K1,baseline,1,K1:baseline:1,baseline:upslope:2,empirical_context_window,upslope,empirical,1784764677.2606153,1784764718.5604851,41.299869775772095,414,414,1.0,2.0042004805867024,-0.006360088489048081,3.9950631299873045,-0.13718148945797057,0.13289528110614396,0.1861765238411291,0.35,0.4,0.25,0.1,0.2,0.2,0.21,0.0033198985830443666,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.100997,-0.017384,0.304067,0.127974,0.368054,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
phase_l2_v0,context_action_window,K1,baseline,1,K1:baseline:1,baseline:rough:3,empirical_context_window,rough,empirical,1784764718.6604242,1784764762.960508,44.30008387565613,444,444,1.0,4.00068258074329,-0.13783432849027544,5.996949313155798,-0.28650187231748225,0.1841217410022983,0.28650187231748225,0.2502252252252252,0.5496621621621622,0.20011261261261262,0.1,0.3995495495495496,0.3496621621621621,0.20501126126126126,0.004600268574752941,0.32,0.05497747747747748,1.0,,,,,,,,,,,,,,,,,,,,1,8.100997,-0.017384,0.304067,0.127974,0.368054,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
phase_l2_v0,context_action_window,K1,baseline,1,K1:baseline:1,baseline:downslope:4,empirical_context_window,downslope,empirical,1784764763.0605955,1784764811.3609488,48.30035328865051,484,484,1.0,6.002282350366263,-0.28566945842733016,7.999148669393366,-0.05377711608621305,0.2210410708431905,0.30406723354074755,0.25,0.599896694214876,0.15010330578512396,0.2496900826446281,0.15051652892561984,0.30010330578512395,0.2025,0.005528159360185309,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.100997,-0.017384,0.304067,0.127974,0.368054,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
phase_l2_v0,context_action_window,K1,baseline,1,K1:baseline:1,baseline:goal_flat:5,empirical_context_window,goal_flat,empirical,1784764811.460466,1784764844.1608264,32.70036053657532,328,328,1.0,8.002409405843043,-0.05378269373883572,8.10099689536271,-0.01738370156881643,0.03718813565682559,0.05704974910966844,0.2,0.5,0.3,0.0,0.05,0.05,0.03257621951219512,4.978873071877489e-05,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.100997,-0.017384,0.304067,0.127974,0.368054,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_195553_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_195553_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_baseline
phase_l2_v0,context_action_window,K1,j19_profile,1,K1:j19_profile:1,j19_profile:flat:1:1,accepted_candidate_exposure,flat,1,1784764915.904534,1784764959.004327,43.09979295730591,432,402,0.9305555555555556,0.004217,0.003592,1.995401,0.017753,0.025020055555555556,0.061796,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.0002749459953703704,0.32,0.045,1.0,0.21,-0.00027392546296296295,0.32,0.045,1.0,0.21,-0.00027392546296296295,0.32,0.045,1.0,0.0,1.0205092592592592e-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,8.10783,-0.374646,0.39836,0.136461,0.4665905,reject,reject,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260722_200056_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200056_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/1_j19_profile
phase_l2_v0,context_action_window,K1,baseline,2,K1:baseline:2,baseline:flat:1,empirical_context_window,flat,empirical,1784765200.915851,1784765246.3162766,45.40042543411255,455,455,1.0,-0.0008046130796485922,2.4627570195371977e-05,1.9967997928924093,-0.082679008369351,0.06597092790743371,0.114938336602522,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.0005042648018002976,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
phase_l2_v0,context_action_window,K1,baseline,2,K1:baseline:2,baseline:upslope:2,empirical_context_window,upslope,empirical,1784765246.4157321,1784765288.9159644,42.500232219696045,426,426,1.0,2.001049410417556,-0.08227833370943204,3.9963844075250767,-0.09999132497878971,0.08618495929701948,0.1335944394364779,0.3502347417840375,0.3996478873239437,0.2501173708920188,0.09976525821596245,0.19964788732394367,0.19964788732394367,0.21,0.0021533957184079622,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
phase_l2_v0,context_action_window,K1,baseline,2,K1:baseline:2,baseline:rough:3,empirical_context_window,rough,empirical,1784765289.0158405,1784765331.017036,42.001195430755615,421,421,1.0,4.001825340418413,-0.09935703421695209,5.998396854059208,-0.192557955822437,0.15997193598389178,0.23048786294139104,0.2502375296912114,0.549643705463183,0.2001187648456057,0.1,0.3995249406175772,0.34964370546318285,0.20501187648456057,0.003995237201019006,0.32,0.05497624703087886,1.0,,,,,,,,,,,,,,,,,,,,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
phase_l2_v0,context_action_window,K1,baseline,2,K1:baseline:2,baseline:downslope:4,empirical_context_window,downslope,empirical,1784765331.1158364,1784765381.3157094,50.199872970581055,503,503,1.0,6.002916055102711,-0.19292210188573347,7.9976477542511635,-0.2766702125967879,0.26283628712244766,0.29239448420478625,0.25,0.5999005964214712,0.15009940357852883,0.24970178926441353,0.15049701789264414,0.3000994035785288,0.2025,0.006568265821801445,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
phase_l2_v0,context_action_window,K1,baseline,2,K1:baseline:2,baseline:goal_flat:5,empirical_context_window,goal_flat,empirical,1784765381.416565,1784765413.3158875,31.899322509765625,320,320,1.0,8.000746772983506,-0.2754162562176527,8.147048355913894,-0.425050676414984,0.3371921280799294,0.4289303756955668,0.20015625,0.5003125,0.29953124999999997,0.00078125,0.0503125,0.05078125,0.0322109375,0.00028147332170651773,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.147048,-0.425051,0.42893,0.176088,0.5169739999999999,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_200538_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_200538_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_baseline
phase_l2_v0,context_action_window,K1,j19_profile,2,K1:j19_profile:2,j19_profile:flat:1:1,accepted_candidate_exposure,flat,1,1784765484.96857,1784765531.268694,46.30012392997742,464,433,0.9331896551724138,0.002883,0.001642,1.998397,-0.234333,0.09325778663793104,0.240151,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0018626665301724138,0.32,0.045,1.0,0.21,0.0018570911853448275,0.32,0.045,1.0,0.21,0.0018570911853448275,0.32,0.045,1.0,0.0,-5.575172413793103e-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,8.126465,0.310106,0.448506,0.245969,0.5714905,reject,reject,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260722_201025_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201025_trial_1,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile/j19_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/2_j19_profile
phase_l2_v0,context_action_window,K1,baseline,3,K1:baseline:3,baseline:flat:1,empirical_context_window,flat,empirical,1784765770.0896103,1784765815.8895044,45.79989409446716,459,459,1.0,-0.0015487395533171156,0.00029888246089968505,1.9957545401214638,-0.00804026275263773,0.038746018112761134,0.06771012784834131,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.000926393738497891,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.03985,0.190867,0.231022,0.076465,0.2692545,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
phase_l2_v0,context_action_window,K1,baseline,3,K1:baseline:3,baseline:upslope:2,empirical_context_window,upslope,empirical,1784765815.9896817,1784765857.8895848,41.89990305900574,420,420,1.0,2.000976381311136,-0.009355972555482588,3.9990235917934562,-0.04885751748291455,0.023397799889311816,0.04932492743898638,0.35023809523809524,0.3996428571428572,0.25011904761904763,0.09976190476190477,0.19964285714285715,0.19964285714285715,0.21,0.0001517678836593566,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.03985,0.190867,0.231022,0.076465,0.2692545,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
phase_l2_v0,context_action_window,K1,baseline,3,K1:baseline:3,baseline:rough:3,empirical_context_window,rough,empirical,1784765857.989637,1784765902.7894351,44.799798250198364,449,449,1.0,4.004880094085747,-0.04807115266710303,5.997567449550964,-0.08112327559035268,0.07389312160954993,0.10938915006344341,0.25,0.55,0.2,0.1,0.4,0.35,0.205,0.0018464213419128212,0.32,0.055,1.0,,,,,,,,,,,,,,,,,,,,1,8.03985,0.190867,0.231022,0.076465,0.2692545,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
phase_l2_v0,context_action_window,K1,baseline,3,K1:baseline:3,baseline:downslope:4,empirical_context_window,downslope,empirical,1784765902.889751,1784765953.6896505,50.79989957809448,509,509,1.0,6.001940009143434,-0.08122603537058544,7.997210874312067,0.0280909878644613,0.1340826013728888,0.23102230923116263,0.25,0.599901768172888,0.150098231827112,0.24970530451866405,0.1504911591355599,0.300098231827112,0.2025,0.003322038178035809,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.03985,0.190867,0.231022,0.076465,0.2692545,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
phase_l2_v0,context_action_window,K1,baseline,3,K1:baseline:3,baseline:goal_flat:5,empirical_context_window,goal_flat,empirical,1784765953.7898295,1784765992.5896304,38.799800872802734,389,389,1.0,8.000326778343506,0.030314925387267905,8.03985023456816,0.19086725723823939,0.10584418033356091,0.19132358676924216,0.2001285347043702,0.5002570694087404,0.29961439588688943,0.0006426735218508997,0.05025706940874036,0.0506426735218509,0.031388174807197945,-3.546279841864154e-05,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,1,8.03985,0.190867,0.231022,0.076465,0.2692545,reference,empirical,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260722_201508_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260722_201508_trial_1,NA,logs/phase_k/k1_long_baseline_vs_j19_profile_20260722_195542/3_baseline
