status,mode,idx,return_code,goal_reached,final_x,final_y,max_x,max_abs_y,mean_abs_y,rows,valid_xy,j7_rows,j7_accepted,j7_accept_rate,j7_projected,j7_empirical,j7_failsafe,flat_rows,flat_accepted,upslope_rows,upslope_accepted,rough_rows,rough_accepted,downslope_rows,downslope_accepted,manifest,d5_log_dir,j7_csv,run_dir
ok,baseline,1,0,True,8.089472,-0.134101,8.095205,0.452560,0.183956,2122,2122,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260724_232529_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_232529_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/1_baseline_r1
ok,flat_noop,1,0,True,8.063932,-0.583283,8.080659,0.584739,0.185086,2128,2128,2176,441,0.202665,441,1728,7,442,441,414,0,423,0,505,0,reports/phase_d4_context_meta_repeat_20260724_233015_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_233015_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/2_flat_noop_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/2_flat_noop_r1
ok,flat_body_low05,1,0,True,8.161970,-0.554760,8.165393,0.596631,0.282726,2127,2127,2169,457,0.210696,457,1705,7,457,457,426,0,425,0,515,0,reports/phase_d4_context_meta_repeat_20260724_233501_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_233501_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/3_flat_body_low05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/3_flat_body_low05_r1
ok,flat_body_high05,1,0,True,8.149121,0.043362,8.149121,0.283763,0.112889,2228,2228,2277,469,0.205973,469,1802,6,469,469,422,0,448,0,521,0,reports/phase_d4_context_meta_repeat_20260724_233947_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_233947_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/4_flat_body_high05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/4_flat_body_high05_r1
ok,flat_noop,2,0,True,8.211580,1.166749,8.211580,1.263817,0.403399,2228,2228,2276,455,0.199912,455,1815,6,455,455,444,0,407,0,620,0,reports/phase_d4_context_meta_repeat_20260724_234443_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_234443_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/5_flat_noop_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/5_flat_noop_r2
ok,flat_body_low05,2,0,True,8.137296,0.128941,8.137996,0.245758,0.079661,2128,2128,2172,435,0.200276,435,1731,6,436,435,423,0,433,0,511,0,reports/phase_d4_context_meta_repeat_20260724_234938_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_234938_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/6_flat_body_low05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/6_flat_body_low05_r2
ok,flat_body_high05,2,0,True,8.030117,-0.222200,8.084621,0.394928,0.245139,2127,2127,2174,447,0.205612,447,1721,6,448,447,441,0,424,0,506,0,reports/phase_d4_context_meta_repeat_20260724_235424_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_235424_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/7_flat_body_high05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/7_flat_body_high05_r2
ok,baseline,2,0,True,8.111476,0.146291,8.111534,0.338814,0.156160,2226,2226,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260724_235906_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260724_235906_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/8_baseline_r2
ok,flat_body_low05,3,0,True,8.106498,-0.072473,8.106498,0.151546,0.071031,2128,2128,2173,435,0.200184,435,1731,7,436,435,437,0,429,0,504,0,reports/phase_d4_context_meta_repeat_20260725_000402_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_000402_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/9_flat_body_low05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/9_flat_body_low05_r3
ok,flat_body_high05,3,0,True,8.127363,0.491287,8.130567,0.491287,0.212054,2127,2127,2182,439,0.201192,439,1737,6,441,439,442,0,448,0,501,0,reports/phase_d4_context_meta_repeat_20260725_000847_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_000847_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/10_flat_body_high05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/10_flat_body_high05_r3
ok,baseline,3,0,True,8.110200,0.072173,8.120992,0.208657,0.117648,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_001331_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_001331_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/11_baseline_r3
ok,flat_noop,3,0,True,8.122768,-0.506091,8.126082,0.638575,0.302677,2128,2128,2177,448,0.205788,448,1722,7,449,448,413,0,408,0,502,0,reports/phase_d4_context_meta_repeat_20260725_001816_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_001816_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/12_flat_noop_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/12_flat_noop_r3
ok,flat_body_high05,4,0,True,8.208162,-0.101137,8.208224,0.340119,0.149261,2128,2128,2185,454,0.207780,454,1725,6,454,454,403,0,425,0,489,0,reports/phase_d4_context_meta_repeat_20260725_002302_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_002302_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/13_flat_body_high05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/13_flat_body_high05_r4
ok,baseline,4,0,True,8.063125,-0.181163,8.083311,0.375940,0.211083,2126,2126,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_002745_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_002745_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/14_baseline_r4
ok,flat_noop,4,0,True,8.069500,-0.091401,8.078937,0.281467,0.125981,2127,2127,2171,467,0.215108,467,1698,6,468,467,432,0,431,0,503,0,reports/phase_d4_context_meta_repeat_20260725_003230_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_003230_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/15_flat_noop_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/15_flat_noop_r4
ok,flat_body_low05,4,0,True,8.115775,-0.006277,8.116948,0.359269,0.174195,2228,2228,2279,452,0.198333,452,1821,6,452,452,444,0,439,0,511,0,reports/phase_d4_context_meta_repeat_20260725_003716_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_003716_trial_1,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/16_flat_body_low05_r4/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/16_flat_body_low05_r4
ok,baseline,5,0,True,8.154864,-0.266986,8.161788,0.289621,0.171757,2226,2226,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_004208_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_004208_trial_1,NA,logs/phase_l/l5f_fresh_body_height_validity_20260724_232525/17_baseline_r5
