source_phase,mode,idx,status,goal_reached,final_x,final_y,max_abs_y,mean_abs_y,risk_score_lower_better,decision,manifest,d5_log_dir,j7_csv,run_dir
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,ok,True,8.170599,-0.141999,0.257905,0.099849,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,1,ok,True,8.073554,0.030770,0.104131,0.031638,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_113356_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113356_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,1,ok,True,8.053129,-0.085142,0.491795,0.250846,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_113842_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113842_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,1,ok,True,7.900371,-0.019431,0.238752,0.124136,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_114328_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114328_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,2,ok,True,8.156547,-0.512721,0.513231,0.274284,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_120248_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_120248_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/8_baseline_r2
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,2,ok,True,8.190112,0.312320,0.314673,0.107709,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_114823_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114823_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/5_rough_noop_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/5_rough_noop_r2
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,2,ok,True,8.013619,-0.595825,0.595825,0.232048,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_115310_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_115310_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/6_rough_clear_low05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/6_rough_clear_low05_r2
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,2,ok,True,8.165373,-0.529904,0.529904,0.277806,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_115755_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_115755_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/7_rough_clear_high05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/7_rough_clear_high05_r2
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,3,ok,True,8.127584,-0.149044,0.449502,0.211665,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_121713_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_121713_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/11_baseline_r3
L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,3,ok,False,4.122441,0.829552,1.021867,0.347315,,pilot_unlabeled,reports/phase_d4_context_meta_repeat_20260725_122158_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_122158_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/12_rough_noop_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/12_rough_noop_r3
