status,mode,idx,return_code,goal_reached,final_x,final_y,max_x,max_abs_y,mean_abs_y,rows,valid_xy,j7_rows,j7_accepted,j7_accept_rate,j7_projected,j7_empirical,j7_failsafe,flat_rows,flat_accepted,upslope_rows,upslope_accepted,rough_rows,rough_accepted,downslope_rows,downslope_accepted,manifest,d5_log_dir,j7_csv,run_dir
ok,baseline,1,0,True,8.170599,-0.141999,8.170599,0.257905,0.099849,2227,2227,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
ok,rough_noop,1,0,True,8.073554,0.030770,8.078759,0.104131,0.031638,2124,2124,2173,434,0.199724,434,1732,7,451,0,426,0,434,434,486,0,reports/phase_d4_context_meta_repeat_20260725_113356_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113356_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1
ok,rough_clear_low05,1,0,True,8.053129,-0.085142,8.076781,0.491795,0.250846,2128,2128,2176,428,0.196691,428,1741,7,461,0,417,0,428,428,494,0,reports/phase_d4_context_meta_repeat_20260725_113842_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113842_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1
ok,rough_clear_high05,1,0,True,7.900371,-0.019431,8.056341,0.238752,0.124136,2228,2228,2279,448,0.196577,448,1824,7,479,0,422,0,448,448,512,0,reports/phase_d4_context_meta_repeat_20260725_114328_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114328_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1
ok,baseline,2,0,True,8.156547,-0.512721,8.160053,0.513231,0.274284,2125,2125,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_120248_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_120248_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/8_baseline_r2
ok,rough_noop,2,0,True,8.190112,0.312320,8.190112,0.314673,0.107709,2128,2128,2181,447,0.204952,447,1727,7,428,0,410,0,447,447,510,0,reports/phase_d4_context_meta_repeat_20260725_114823_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114823_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/5_rough_noop_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/5_rough_noop_r2
ok,rough_clear_low05,2,0,True,8.013619,-0.595825,8.066995,0.595825,0.232048,2127,2127,2175,420,0.193103,420,1748,7,434,0,452,0,420,420,535,0,reports/phase_d4_context_meta_repeat_20260725_115310_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_115310_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/6_rough_clear_low05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/6_rough_clear_low05_r2
ok,rough_clear_high05,2,0,True,8.165373,-0.529904,8.165510,0.529904,0.277806,2228,2228,2279,457,0.200527,457,1816,6,449,0,488,0,457,457,531,0,reports/phase_d4_context_meta_repeat_20260725_115755_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_115755_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/7_rough_clear_high05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/7_rough_clear_high05_r2
ok,baseline,3,0,True,8.127584,-0.149044,8.151922,0.449502,0.211665,2126,2126,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,reports/phase_d4_context_meta_repeat_20260725_121713_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_121713_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/11_baseline_r3
ok,rough_noop,3,0,False,4.122441,0.829552,5.509949,1.021867,0.347315,2227,2227,2272,1338,0.588908,1338,928,6,429,0,495,0,1344,1338,0,0,reports/phase_d4_context_meta_repeat_20260725_122158_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_122158_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/12_rough_noop_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/12_rough_noop_r3
