schema_version,row_granularity,source_phase,candidate_mode,trial_idx,source_rollout_id,window_id,window_type,context,action_id,t_start,t_end,duration_s,window_rows,state_rows,state_coverage_ratio,x_start,y_start,x_end,y_end,mean_abs_y_window,max_abs_y_window,beta_motion_mean,beta_stability_mean,beta_energy_mean,ram_slip_mean,ram_roughness_mean,ram_sigma_mean,emp_vx_mean,emp_yaw_rate_mean,emp_body_h_mean,emp_clearance_mean,emp_enable_mean,proj_vx_mean,proj_yaw_rate_mean,proj_body_h_mean,proj_clearance_mean,proj_enable_mean,out_vx_mean,out_yaw_rate_mean,out_body_h_mean,out_clearance_mean,out_enable_mean,delta_vx_mean,delta_yaw_rate_mean,delta_body_h_mean,delta_clearance_mean,vx_scale_mean,vx_delta_mean,yaw_gain_scale_mean,body_h_delta_mean,clearance_delta_mean,goal_reached,final_x,final_y,rollout_max_abs_y,rollout_mean_abs_y,rollout_risk_score,rollout_decision_raw,rollout_decision_label,evidence_role,direct_action_label_allowed,manifest,d5_log_dir,j7_csv,run_dir
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:1,baseline:flat:1,empirical_context_window,flat,empirical,1784993403.4734936,1784993448.1737525,44.70025897026062,448,448,1.0,-0.002367659833629997,-0.0023640987574406374,1.9995047896843772,-0.20423448879057227,0.08872810320954215,0.20423448879057227,0.45,0.25,0.3,0.0,0.05,0.05,0.21,0.0020805032135635345,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.170599,-0.141999,0.257905,0.099849,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:1,baseline:upslope:2,empirical_context_window,upslope,empirical,1784993448.2735732,1784993491.1735656,42.8999924659729,430,430,1.0,2.0050572420564836,-0.20578356196300132,3.999528520804898,-0.16672684093933268,0.22308414327383652,0.25790478252411464,0.35,0.4,0.25,0.1,0.2,0.2,0.21,0.0055770980576642076,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.170599,-0.141999,0.257905,0.099849,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:1,baseline:rough:3,empirical_context_window,rough,empirical,1784993491.274025,1784993535.3737688,44.09974384307861,442,442,1.0,4.005446941367752,-0.16741777563548554,5.996325773179815,0.03619788147199606,0.07302233389067403,0.1693809506424159,0.25,0.55,0.2,0.1,0.4,0.35,0.205,0.0015824884748558208,0.32,0.055,1.0,,,,,,,,,,,,,,,,,,,,True,8.170599,-0.141999,0.257905,0.099849,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:1,baseline:downslope:4,empirical_context_window,downslope,empirical,1784993535.4737258,1784993585.6735656,50.19983983039856,503,503,1.0,6.000777661357291,0.03685416845120182,7.999741768567962,-0.01770791098976417,0.042213524739534304,0.08028148708731792,0.25,0.6,0.15,0.25,0.15,0.3,0.20250497017892646,0.0009122395274220179,0.32,0.045019880715705764,1.0,,,,,,,,,,,,,,,,,,,,True,8.170599,-0.141999,0.257905,0.099849,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:1,baseline:goal_flat:5,empirical_context_window,goal_flat,empirical,1784993585.7736857,1784993626.0735252,40.29983949661255,404,404,1.0,8.004377506970666,-0.016391830957939953,8.17059925978372,-0.14199894369993568,0.08212159303298544,0.14269479437334714,0.2,0.5,0.3,0.0,0.05,0.05,0.029393564356435645,9.252224683596586e-06,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.170599,-0.141999,0.257905,0.099849,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:1,rough_noop:rough:1:1,accepted_candidate_exposure,rough,1,1784993783.798903,1784993827.098387,43.29948401451111,434,434,1.0,4.003285,-0.055718,5.995993,-0.014507,0.042029052995391704,0.093659,0.25,0.55,0.2,0.1,0.4,0.35,0.205,0.0010521809677419354,0.32,0.055,1.0,0.2049811059907834,0.0010520217281105991,0.32,0.05500921658986175,1.0,0.2049811059907834,0.0010520217281105991,0.32,0.05500921658986175,1.0,-1.8894009216589862e-05,-1.5926267281105992e-07,0.0,9.216589861751152e-06,1.0,0.0,1.0,0.0,0.0,True,8.073554,0.030770,0.104131,0.031638,,pilot_unlabeled,pilot_unlabeled,control_equivalent_noop,0,reports/phase_d4_context_meta_repeat_20260725_113356_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113356_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:1,rough_clear_low05:rough:1:1,accepted_candidate_exposure,rough,1,1784994069.504854,1784994112.20513,42.700276136398315,428,428,1.0,4.0049,-0.338082,5.997558,-0.314552,0.3114676892523364,0.340888,0.25,0.55,0.2,0.1,0.4,0.35,0.205,0.007786447733644859,0.32,0.055,1.0,0.205,0.007786447733644859,0.32,0.05,1.0,0.205,0.007786447733644859,0.32,0.05,1.0,0.0,0.0,0.0,-0.005,1.0,0.0,1.0,0.0,-0.005,True,8.053129,-0.085142,0.491795,0.250846,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260725_113842_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113842_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:1,rough_clear_high05:rough:1:1,accepted_candidate_exposure,rough,1,1784994357.682576,1784994402.382354,44.69977807998657,448,448,1.0,4.002027,-0.115284,5.999328,-0.164999,0.16901244196428572,0.238692,0.2502232142857143,0.5496651785714286,0.20011160714285717,0.1,0.39955357142857145,0.34966517857142854,0.2050111607142857,0.004222140066964286,0.32,0.05497767857142857,1.0,0.2049924107142857,0.004221816785714286,0.32,0.05997544642857142,1.0,0.2049924107142857,0.004221816785714286,0.32,0.05997544642857142,1.0,-1.875e-05,-3.2328125e-07,0.0,0.004997767857142857,1.0,0.0,1.0,0.0,0.005,True,7.900371,-0.019431,0.238752,0.124136,,pilot_unlabeled,pilot_unlabeled,candidate_exposure,0,reports/phase_d4_context_meta_repeat_20260725_114328_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114328_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,2,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:2,baseline:flat:1,empirical_context_window,flat,empirical,1784995431.5176287,1784995473.917657,42.400028228759766,425,425,1.0,-0.0016480506411778323,0.0023231589588288658,1.9987471907481058,0.018371675253389518,0.043340380067467724,0.08344671049129938,0.45,0.25,0.3,0.0,0.05,0.05,0.21,-0.001083241291584524,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.156547,-0.512721,0.513231,0.274284,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_120248_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_120248_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/8_baseline_r2
phase_l2_v1,context_action_window,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,2,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:2,baseline:upslope:2,empirical_context_window,upslope,empirical,1784995474.0182076,1784995512.4176557,38.39944815635681,385,385,1.0,2.0035377161429717,0.017744067693367137,3.9954179608400993,-0.2611442163580719,0.07339987393933091,0.2611442163580719,0.3502597402597402,0.39961038961038964,0.25012987012987015,0.09974025974025974,0.19961038961038963,0.19961038961038963,0.21,0.0017990215115581175,0.32,0.045,1.0,,,,,,,,,,,,,,,,,,,,True,8.156547,-0.512721,0.513231,0.274284,,pilot_unlabeled,pilot_unlabeled,reference_anchor,0,reports/phase_d4_context_meta_repeat_20260725_120248_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_120248_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/8_baseline_r2
