schema_version,row_granularity,source_phase,candidate_mode,trial_idx,source_rollout_id,rough_window_count,rough_window_types,rough_evidence_roles,rough_t_start,rough_t_end,rough_elapsed_span_s,rough_observed_duration_s,rough_span_coverage_ratio,rough_window_rows,rough_state_rows,rough_x_start,rough_y_start,rough_x_end,rough_y_end,rough_max_x_proxy,rough_progress,rough_progress_rate,rough_mean_abs_y,rough_max_abs_y,rough_start_abs_y,rough_end_abs_y,rough_lateral_growth,rough_completed,goal_reached,outcome_class,rollout_status,rollout_final_x,rollout_final_y,rollout_max_abs_y,rollout_mean_abs_y,mean_emp_clearance,mean_out_clearance,mean_realized_clearance_delta,manifest,d5_log_dir,j7_csv,run_dir
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:1,1,empirical_context_window,reference_anchor,1784993491.274025,1784993535.3737688,44.09974384307861,44.09974384307861,1.0,442,442,4.005446941367752,-0.16741777563548554,5.996325773179815,0.03619788147199606,5.996325773179815,1.9908788318120632,0.0451449069386041,0.07302233389067403,0.1693809506424159,0.16741777563548554,0.03619788147199606,-0.13121989416348948,1,1,goal_success,ok,8.170599,-0.141999,0.257905,0.099849,0.055,,,reports/phase_d4_context_meta_repeat_20260725_112900_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_112900_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/1_baseline_r1
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:1,1,accepted_candidate_exposure,candidate_exposure,1784994357.682576,1784994402.382354,44.69977807998657,44.69977807998657,1.0,448,448,4.002027,-0.115284,5.999328,-0.164999,5.999328,1.9973010000000002,0.04468257082677222,0.16901244196428572,0.238692,0.115284,0.164999,0.04971500000000001,1,1,goal_success,ok,7.900371,-0.019431,0.238752,0.124136,0.05497767857142858,0.05997544642857142,0.004997767857142857,reports/phase_d4_context_meta_repeat_20260725_114328_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114328_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/4_rough_clear_high05_r1
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:1,1,accepted_candidate_exposure,candidate_exposure,1784994069.504854,1784994112.20513,42.700276136398315,42.700276136398315,1.0,428,428,4.0049,-0.338082,5.997558,-0.314552,5.997558,1.9926579999999996,0.0466661619150849,0.3114676892523364,0.340888,0.338082,0.314552,-0.023529999999999995,1,1,goal_success,ok,8.053129,-0.085142,0.491795,0.250846,0.055,0.05,-0.005,reports/phase_d4_context_meta_repeat_20260725_113842_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113842_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/3_rough_clear_low05_r1
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,1,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:1,1,accepted_candidate_exposure,control_equivalent_noop,1784993783.798903,1784993827.098387,43.29948401451111,43.29948401451111,1.0,434,434,4.003285,-0.055718,5.995993,-0.014507,5.995993,1.9927080000000004,0.04602151839343344,0.042029052995391704,0.093659,0.055718,0.014507,-0.041211,1,1,goal_success,ok,8.073554,0.03077,0.104131,0.031638,0.055,0.05500921658986175,9.216589861751152e-06,reports/phase_d4_context_meta_repeat_20260725_113356_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_113356_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/2_rough_noop_r1
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,2,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:2,1,empirical_context_window,reference_anchor,1784995512.5177388,1784995555.3176718,42.79993295669556,42.79993295669556,1.0,429,429,4.000212846510454,-0.26201586958955053,5.997068534117103,-0.4276429933503549,5.997068534117103,1.996855687606649,0.04665557980259088,0.34909931803267846,0.42816401579122104,0.26201586958955053,0.4276429933503549,0.16562712376080435,1,1,goal_success,ok,8.156547,-0.512721,0.513231,0.274284,0.05497668997668997,,,reports/phase_d4_context_meta_repeat_20260725_120248_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_120248_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/8_baseline_r2
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,2,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:2,1,accepted_candidate_exposure,candidate_exposure,1784995228.655343,1784995274.254799,45.59945583343506,45.59945583343506,1.0,457,457,4.004806,-0.195936,5.997378,-0.357002,5.997378,1.992572,0.043697275846414356,0.2681772997811816,0.361529,0.195936,0.357002,0.161066,1,1,goal_success,ok,8.165373,-0.529904,0.529904,0.277806,0.055,0.06,0.005,reports/phase_d4_context_meta_repeat_20260725_115755_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_115755_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/7_rough_clear_high05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/7_rough_clear_high05_r2
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_low05,2,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_low05:2,1,accepted_candidate_exposure,candidate_exposure,1784994937.958341,1784994979.858142,41.89980101585388,41.89980101585388,1.0,420,419,4.000681,0.160291,5.996928,-0.170602,5.996928,1.9962469999999994,0.047643352751118494,0.07382910714285715,0.170602,0.160291,0.170602,0.010311000000000015,1,1,goal_success,ok,8.013619,-0.595825,0.595825,0.232048,0.05497619047619048,0.04999761904761905,-0.004978571428571429,reports/phase_d4_context_meta_repeat_20260725_115310_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_115310_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/6_rough_clear_low05_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/6_rough_clear_low05_r2
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_noop,2,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_noop:2,2,accepted_candidate_exposure,candidate_exposure;control_equivalent_noop,1784994647.040745,1784994691.640905,44.600159883499146,44.49980401992798,0.9977498765961085,447,447,4.0002,-0.084304,5.997539,-0.038561,5.997539,1.9973389999999993,0.04478322510989385,0.05054904250559284,0.091559,0.084304,0.038561,-0.045743000000000006,1,1,goal_success,ok,8.190112,0.31232,0.314673,0.107709,0.05497762863534676,0.05498657718120806,8.94854586129754e-06,reports/phase_d4_context_meta_repeat_20260725_114823_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_114823_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/5_rough_noop_r2/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/5_rough_noop_r2
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,baseline,3,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:baseline:3,1,empirical_context_window,reference_anchor,1784996381.1533678,1784996424.3536954,43.2003276348114,43.2003276348114,1.0,433,433,4.001835770027681,-0.2472875608584513,5.997374581690316,-0.3583798064071664,5.997374581690316,1.9955388116626347,0.04619267771605053,0.3617934503343262,0.4495022397243954,0.2472875608584513,0.3583798064071664,0.11109224554871508,1,1,goal_success,ok,8.127584,-0.149044,0.449502,0.211665,0.05497690531177829,,,reports/phase_d4_context_meta_repeat_20260725_121713_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_121713_trial_1,NA,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/11_baseline_r3
phase_l6e_v0,rough_rollout,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED,rough_clear_high05,3,L6C_FRESH_ROUGH_CLEARANCE_VALIDITY_REPAIRED:rough_clear_high05:3,1,accepted_candidate_exposure,candidate_exposure,1784996089.622833,1784996134.121609,44.49877595901489,44.49877595901489,1.0,436,445,4.004009,-0.427271,5.999975,-0.308566,5.999975,1.9959660000000001,0.04485440232869243,0.36581984633027526,0.46606,0.427271,0.308566,-0.118705,1,1,goal_success,ok,8.116053,-0.018135,0.466118,0.216043,0.055,0.06,0.005,reports/phase_d4_context_meta_repeat_20260725_121220_manifest.tsv,/home/kraken/Tracer/TRACER/logs/phase_d5_shadow_20260725_121220_trial_1,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/10_rough_clear_high05_r3/active_nodes/j7/guarded_meta_action_ref_gate_j7_v0.csv,logs/phase_l/l6c_fresh_rough_clearance_validity_20260725_112856/10_rough_clear_high05_r3
