section,comparison_type,candidate,control,analysis_scope,metric,metric_label,included_repeats,n_pairs,mean_effect,ci_low,ci_high,positive_pairs,negative_pairs,ties,same_sign_required,effect_class,sign_p,candidate_success,control_success,comparison_conclusion
reliability,routing_placebo,rough_noop,baseline,all_six_repeats,rough_completed,rough completion,1;2;3;4;5;6,6,-0.16666666666666666,,,0,1,5,,control_directional_edge,1.0,5,6,
reliability,routing_placebo,rough_noop,baseline,all_six_repeats,goal_reached,full-course goal success,1;2;3;4;5;6,6,-0.16666666666666666,,,0,1,5,,control_directional_edge,1.0,5,6,
conditional_quality,routing_placebo,rough_noop,baseline,both_rough_completed,rough_elapsed_span_s,rough traversal elapsed time,1;2;4;5;6,5,-1.2599932193756103,-3.2599511623382567,0.3001054286956787,2,3,0,5,unresolved,1.0,,,unresolved
conditional_quality,routing_placebo,rough_noop,baseline,both_rough_completed,rough_progress_rate,rough progress rate,1;2;4;5;6,5,-0.0013526161513762514,-0.003547678183577335,0.0003404354290431191,2,3,0,5,unresolved,1.0,,,unresolved
conditional_quality,routing_placebo,rough_noop,baseline,both_rough_completed,rough_mean_abs_y,rough mean absolute lateral error,1;2;4;5;6,5,0.11672840539460203,-0.014624417074425694,0.24808122786362974,4,1,0,5,unresolved,0.375,,,unresolved
conditional_quality,routing_placebo,rough_noop,baseline,both_rough_completed,rough_max_abs_y,rough maximum absolute lateral error,1;2;4;5;6,5,0.14492516961439472,-0.009231047917241362,0.2990813871460308,4,1,0,5,unresolved,0.375,,,unresolved
conditional_quality,routing_placebo,rough_noop,baseline,both_rough_completed,rough_end_abs_y,rough end absolute lateral error,1;2;4;5;6,5,0.10149184717674417,-0.10628226998211202,0.30926596433560033,3,2,0,5,unresolved,1.0,,,unresolved
conditional_quality,routing_placebo,rough_noop,baseline,both_rough_completed,rough_lateral_growth,rough lateral growth,1;2;4;5;6,5,-0.0230337357401521,-0.14115096553617276,0.12190505188727915,2,3,0,5,unresolved,1.0,,,unresolved
reliability,candidate_vs_noop,rough_clear_low05,rough_noop,all_six_repeats,rough_completed,rough completion,1;2;3;4;5;6,6,0.16666666666666666,,,1,0,5,,candidate_directional_edge,1.0,6,5,
reliability,candidate_vs_noop,rough_clear_low05,rough_noop,all_six_repeats,goal_reached,full-course goal success,1;2;3;4;5;6,6,0.0,,,1,1,4,,no_directional_edge,1.0,5,5,
conditional_quality,candidate_vs_noop,rough_clear_low05,rough_noop,both_rough_completed,rough_elapsed_span_s,rough traversal elapsed time,1;2;4;5;6,5,-12.620088195800781,-39.66037263870239,1.840027141571045,3,2,0,5,unresolved,1.0,,,unresolved
conditional_quality,candidate_vs_noop,rough_clear_low05,rough_noop,both_rough_completed,rough_progress_rate,rough progress rate,1;2;4;5;6,5,-0.0049476715542367085,-0.016708016390002918,0.0019237993983425073,3,2,0,5,unresolved,1.0,,,unresolved
conditional_quality,candidate_vs_noop,rough_clear_low05,rough_noop,both_rough_completed,rough_mean_abs_y,rough mean absolute lateral error,1;2;4;5;6,5,-0.02579779861625144,-0.15399798299345888,0.0625505470610096,3,2,0,5,unresolved,1.0,,,unresolved
conditional_quality,candidate_vs_noop,rough_clear_low05,rough_noop,both_rough_completed,rough_max_abs_y,rough maximum absolute lateral error,1;2;4;5;6,5,-0.0339874,-0.15491700000000003,0.0720264,2,3,0,5,unresolved,1.0,,,unresolved
conditional_quality,candidate_vs_noop,rough_clear_low05,rough_noop,both_rough_completed,rough_end_abs_y,rough end absolute lateral error,1;2;4;5;6,5,0.012914599999999998,-0.17255,0.1837492,3,2,0,5,unresolved,1.0,,,unresolved
conditional_quality,candidate_vs_noop,rough_clear_low05,rough_noop,both_rough_completed,rough_lateral_growth,rough lateral growth,1;2;4;5;6,5,0.07625639999999997,-0.010863000000000022,0.16854299999999994,3,2,0,5,unresolved,1.0,,,unresolved
reliability,candidate_vs_baseline,rough_clear_low05,baseline,all_six_repeats,rough_completed,rough completion,1;2;3;4;5;6,6,0.0,,,0,0,6,,no_directional_edge,1.0,6,6,
reliability,candidate_vs_baseline,rough_clear_low05,baseline,all_six_repeats,goal_reached,full-course goal success,1;2;3;4;5;6,6,-0.16666666666666666,,,0,1,5,,control_directional_edge,1.0,5,6,
conditional_quality,candidate_vs_baseline,rough_clear_low05,baseline,both_rough_completed,rough_elapsed_span_s,rough traversal elapsed time,1;2;3;4;5;6,6,-11.600003083546957,-33.849849263827004,0.4332369565963745,2,4,0,5,unresolved,0.6875,,,unresolved
conditional_quality,candidate_vs_baseline,rough_clear_low05,baseline,both_rough_completed,rough_progress_rate,rough progress rate,1;2;3;4;5;6,6,-0.005292061617950362,-0.014748967290084269,0.0004573345557706531,2,4,0,5,unresolved,0.6875,,,unresolved
conditional_quality,candidate_vs_baseline,rough_clear_low05,baseline,both_rough_completed,rough_mean_abs_y,rough mean absolute lateral error,1;2;3;4;5;6,6,0.1291139623135419,-0.05266821260352908,0.2873972797442072,4,2,0,5,unresolved,0.6875,,,unresolved
