terrain,mission,risk_level,target_style,pred_style,pred_conf,p_fast,p_cautious,p_high_clearance
flat_normal,motion,low,fast,fast,0.9999999732555105,0.9999999732555105,2.6738074317414646e-08,6.4150477797333025e-12
flat_normal,motion,mid,cautious,cautious,0.9771776145513239,0.016803061268458954,0.9771776145513239,0.006019324180217039
flat_normal,motion,high,cautious,cautious,0.9864675566941119,0.006646243800542091,0.9864675566941119,0.006886199505346078
flat_normal,deploy,low,fast,fast,0.9999166612019766,0.9999166612019766,8.333685225859229e-05,1.945764699019888e-09
flat_normal,deploy,mid,cautious,cautious,0.98622737984001,0.008499954147068152,0.98622737984001,0.005272666012921801
flat_normal,deploy,high,cautious,cautious,0.9906526494631241,0.0033453340667790087,0.9906526494631241,0.006002016470096768
flat_normal,stability,low,fast,fast,0.95052340001674,0.95052340001674,0.04947659982216862,1.61091588695827e-10
flat_normal,stability,mid,cautious,cautious,0.99932900853055,0.0006686270400367267,0.99932900853055,2.3644294133121783e-06
flat_normal,stability,high,cautious,cautious,0.9997352363502078,0.00026208309043478605,0.9997352363502078,2.680559357382832e-06
rough_mid,motion,low,fast,fast,0.9999980159458283,0.9999980159458283,1.7306490873174942e-10,1.9838811067741505e-06
rough_mid,motion,mid,high_clearance,high_clearance,0.999987575826342,9.02648542886975e-06,3.397688229126141e-06,0.999987575826342
rough_mid,motion,high,high_clearance,high_clearance,0.9999938808961711,3.1208824695932626e-06,2.998221359383563e-06,0.9999938808961711
rough_mid,deploy,low,fast,fast,0.9993980356981745,0.9993980356981745,5.391275444339803e-07,0.0006014251742810977
rough_mid,deploy,mid,high_clearance,high_clearance,0.999990872496146,5.2127363542664635e-06,3.914767499627633e-06,0.999990872496146
rough_mid,deploy,high,high_clearance,high_clearance,0.9999947432160443,1.8022848462518978e-06,3.4544991093272382e-06,0.9999947432160443
rough_mid,stability,low,fast,fast,0.9996108277780043,0.9996108277780043,0.0003367811120158681,5.2391109979993124e-05
rough_mid,stability,mid,high_clearance,high_clearance,0.9903339676516418,0.0009055713243186966,0.008760461024039348,0.9903339676516418
rough_mid,stability,high,high_clearance,high_clearance,0.991943388226276,0.0003136056392209208,0.007743006134502964,0.991943388226276
slippery_downslope_5deg_forward,motion,low,fast,fast,0.9999691148740053,0.9999691148740053,9.12460997036178e-06,2.1760516024432364e-05
slippery_downslope_5deg_forward,motion,mid,high_clearance,high_clearance,0.9839296041382795,8.096960277092976e-07,0.016069586165692793,0.9839296041382795
slippery_downslope_5deg_forward,motion,high,high_clearance,high_clearance,0.9857926769287124,2.804784886988066e-07,0.014207042592798924,0.9857926769287124
slippery_downslope_5deg_forward,deploy,low,fast,fast,0.966142786369276,0.966142786369276,0.027479712753627646,0.006377500877096389
slippery_downslope_5deg_forward,deploy,mid,high_clearance,high_clearance,0.9815296104344804,4.664520753471423e-07,0.018469923113444267,0.9815296104344804
slippery_downslope_5deg_forward,deploy,high,high_clearance,high_clearance,0.9836660548207727,1.6162453878520524e-07,0.016333783554688452,0.9836660548207727
slippery_downslope_5deg_forward,stability,low,cautious,cautious,0.9466767400570347,0.0532926219835822,0.9466767400570347,3.063795938300217e-05
slippery_downslope_5deg_forward,stability,mid,cautious,cautious,0.9770203824412063,1.9154970179244316e-06,0.9770203824412063,0.022977702061775827
slippery_downslope_5deg_forward,stability,high,cautious,cautious,0.9740394083747957,7.482262571258076e-07,0.9740394083747957,0.025959843398947132
slope_5deg,motion,low,fast,fast,0.9999980142371776,0.9999980142371776,1.7322631275164056e-10,1.985589596105313e-06
slope_5deg,motion,mid,high_clearance,high_clearance,0.999987583350544,9.018718693014592e-06,3.397930762953869e-06,0.999987583350544
slope_5deg,motion,high,high_clearance,high_clearance,0.9999938833675104,3.118197126312183e-06,2.9984353633108145e-06,0.9999938833675104
slope_5deg,deploy,low,fast,fast,0.9993975175681505,0.9993975175681505,5.396300674194275e-07,0.0006019428017818816
