terrain,style,n,success_rate,quality_mean,quality_median,quality_min,quality_max,deploy_mean,deploy_median,deploy_min,deploy_max,progress_mean,progress_median,distance_mean,fallen_p90_mean,fallen_p90_max,fresh1_mean,fresh1_min,episode_ids
flat_normal,cautious,5,0.6,0.3724694722494737,0.4832308847977547,0.019458699083169995,0.6711882693169534,0.1726009541353837,0.4832308847977547,-0.7298838914872798,0.6711882693169534,0.4107531023919174,0.47286703096709093,0.45159930581512153,0.19974140010576774,0.9986851811408997,0.958,0.94,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832;flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940
flat_normal,fast,5,1.0,0.6192416271052718,0.6323423767677168,0.5316499040570059,0.6529845454129706,0.6192416271052718,0.6323423767677168,0.5316499040570059,0.6529845454129706,0.52568537756729,0.5383450252612774,2.943838114376827,9.722324884933186e-05,0.0002666679793037474,0.968,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250;flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359
flat_normal,high_clearance,5,0.6,0.4711739879278,0.6984429729439219,0.07027016030861633,0.741212435238746,0.37117398792780004,0.6984429729439219,-0.17972983969138367,0.741212435238746,0.41917488620642657,0.608443857770772,0.3772573975857835,1.9961747057095634e-06,3.5704742913367227e-06,0.96,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413;flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101521
rough_mid,cautious,5,0.8,0.3099395494010636,0.3316619553401966,0.1857939810178702,0.35428383364714405,0.2599395494010636,0.3316619553401966,-0.0642060189821298,0.35428383364714405,0.2363401330295195,0.2376623886625603,0.2599741463324713,1.2969520639671828e-06,1.769853952282574e-06,0.968,0.93,rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102209;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102317;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102425;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102534;rough_mid_objective_selector_data_v1_core3_rough_mid_cautious_world_tracer_rough_mid_r1_20260628_102642
rough_mid,fast,5,1.0,0.33058307648459034,0.3294462424935641,0.32576258417509524,0.3362852891876951,0.33058307648459034,0.3294462424935641,0.32576258417509524,0.3362852891876951,0.23738383243780062,0.23912348449737703,1.329349461651685,1.6798957403807434e-06,2.3895190679468215e-06,0.966,0.95,rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101629;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101737;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101845;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_101953;rough_mid_objective_selector_data_v1_core3_rough_mid_fast_world_tracer_rough_mid_r1_20260628_102101
rough_mid,high_clearance,5,0.6,0.3000750687741872,0.3184365563659223,0.17093675405304334,0.42741453655757516,0.2000750687741872,0.3184365563659223,-0.07906324594695666,0.42741453655757516,0.24807580891090777,0.22843726681180432,0.22326822801981677,1.644748158469156e-06,2.3718193915556185e-06,0.96,0.95,rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102750;rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_102859;rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103007;rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103115;rough_mid_objective_selector_data_v1_core3_rough_mid_high_clearance_world_tracer_rough_mid_r1_20260628_103223
slope_5deg,cautious,5,0.4,0.22573654835950252,0.19186847459472328,0.14447936786858387,0.3093876134759621,0.07573654835950253,-0.05813152540527672,-0.10552063213141613,0.3093876134759621,0.19333734668788824,0.19786926926506726,0.21267108135667695,1.7740629800755414e-06,2.5281419766542967e-06,0.962,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_103912;slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104020;slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104128;slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104236;slope_5deg_objective_selector_data_v1_core3_slope_5deg_cautious_world_tracer_slope_5deg_r1_20260628_104344
slope_5deg,fast,5,0.8,0.281648589990235,0.3050496928145703,0.18617446505252078,0.3135413263495219,0.23164858999023502,0.3050496928145703,-0.06382553494747922,0.3135413263495219,0.20804926716964384,0.20905060513182272,1.165075896150007,1.5048429077069158e-06,2.027371465374017e-06,0.968,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103331;slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103439;slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103547;slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103656;slope_5deg_objective_selector_data_v1_core3_slope_5deg_fast_world_tracer_slope_5deg_r1_20260628_103804
slope_5deg,high_clearance,5,0.6,0.26899083599230705,0.3315885784658267,0.15615630188746019,0.34001303570083496,0.16899083599230708,0.3315885784658267,-0.09384369811253981,0.34001303570083496,0.2153915812054214,0.23758944617710456,0.19385242308487907,1.6560289850531262e-06,2.5847996312222676e-06,0.968,0.95,slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104452;slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104600;slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104708;slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104816;slope_5deg_objective_selector_data_v1_core3_slope_5deg_high_clearance_world_tracer_slope_5deg_r1_20260628_104924
slippery_downslope_5deg_forward,cautious,5,0.2,0.19328691739788986,0.18180820522984095,0.13903569357293127,0.3047353105106289,-0.006713082602110143,-0.06819179477015905,-0.11096430642706873,0.3047353105106289,0.184487323339038,0.1878086954492349,0.2029360556729417,9.020913580570777e-07,1.0893762691921438e-06,0.944,0.9,slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181739;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181847;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_181957;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182105;slippery_downslope_5deg_forward_objective_selector_data_v1_hard3_slippery_downslope_5deg_forward_cautious_world_tracer_downslope_5deg_r1_20260628_182213
