episode_id,terrain,style,policy_id,duration_sec,mpc_vx_mean,mpc_enable_mean,distance_xy_proxy,expected_distance,progress_ratio,success_proxy,ram_run_fallen_p90,ram_recovery_needed_mean,debug_fresh_rate_1p0s,risk_penalty,stale_penalty,success_bonus,quality_score,summary_json,step_csv
flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507,flat_normal,cautious,objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single,20.0,0.05499999999999997,1.0,0.5201537340637997,1.0999999999999994,0.47286703096709093,False,0.9986851811408997,1.0586172746727913e-09,0.98,0.44940833188392093,0.0040000000000000036,0.0,0.019458699083169995,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100507.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615,flat_normal,cautious,objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single,20.0,0.05444999999999998,0.99,0.05641899255005451,1.0781099999999995,0.0523313878454467,False,1.526492997072637e-05,2.9622570560315934e-10,0.94,6.869322165823829e-06,0.01200000000000001,0.0,0.04032451852328087,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100615.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723,flat_normal,cautious,objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single,20.0,0.05499999999999997,1.0,0.6139605991554946,1.0999999999999994,0.5581459992322682,True,2.243791186629096e-06,7.087006540507383e-14,0.95,1.0097060587876163e-06,0.010000000000000009,0.1,0.6481449895262094,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832,flat_normal,cautious,objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single,20.0,0.05499999999999997,1.0,0.4325552627932684,1.0999999999999994,0.39323205708478964,True,2.6050822725665057e-06,3.518939674553375e-14,0.95,1.1722870349712166e-06,0.010000000000000009,0.1,0.4832308847977547,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940,flat_normal,cautious,objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single,20.0,0.05499999999999997,1.0,0.6349079405129904,1.0999999999999994,0.5771890368299916,True,1.70558450918179e-06,2.5622206173778348e-14,0.97,7.675130380995776e-07,0.006000000000000005,0.1,0.6711882693169534,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926,flat_normal,fast,objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single,20.0,0.28000000000000036,1.0,3.0147321414631567,5.600000000000007,0.5383450252612774,True,5.8855412135017104e-06,4.128910785917917e-14,0.97,2.6484935605269575e-06,0.006000000000000005,0.1,0.6323423767677168,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034,flat_normal,fast,objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single,20.0,0.28000000000000036,1.0,3.1196612804968673,5.600000000000007,0.5570823715172971,True,0.0001939024805324152,8.74729329825295e-15,0.95,8.725611624264841e-05,0.010000000000000009,0.1,0.6469951154010545,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142,flat_normal,fast,objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single,20.0,0.28000000000000036,1.0,3.014143065401935,5.600000000000007,0.5382398331074878,True,8.087155038083438e-06,3.1244476002191936e-13,0.97,3.6392198764932132e-06,0.006000000000000005,0.1,0.6322361938876113,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250,flat_normal,fast,objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single,20.0,0.28000000000000036,1.0,3.119142618494899,5.600000000000007,0.5569897533026599,True,1.157308815891156e-05,5.0844022608990644e-14,0.98,5.207889689305609e-06,0.0040000000000000036,0.1,0.6529845454129706,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250.csv
flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359,flat_normal,fast,objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single,20.0,0.28000000000000036,1.0,2.451511466027277,5.600000000000007,0.4377699046477275,True,0.0002666679793037474,1.0017655617840294e-13,0.97,0.00012000059072174813,0.006000000000000005,0.1,0.5316499040570059,data/rollout_dataset_v0/summaries/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359.json,/home/shoko/Tracer/TRACER/data/rollout_dataset_v0/episodes/flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359.csv
