terrain,rank,style,quality_score,success_proxy,progress_ratio,distance_xy_proxy,mpc_vx_mean,fallen_p90,fresh1,episode_id
flat_normal,1,high_clearance,0.741212435238746,True,0.6512140419521936,0.5860926377569736,0.04499999999999996,3.5704742913367227e-06,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101413
flat_normal,2,high_clearance,0.7079073875274124,True,0.6119078308351404,0.5507170477516259,0.04499999999999996,9.85128281172365e-07,0.98,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101048
flat_normal,3,high_clearance,0.6984429729439219,True,0.608443857770772,0.5475994719936943,0.04499999999999996,1.9662818431243068e-06,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101305
flat_normal,4,cautious,0.6711882693169534,True,0.5771890368299916,0.6349079405129904,0.05499999999999997,1.70558450918179e-06,0.97,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100940
flat_normal,5,fast,0.6529845454129706,True,0.5569897533026599,3.119142618494899,0.28000000000000036,1.157308815891156e-05,0.98,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100250
flat_normal,6,cautious,0.6481449895262094,True,0.5581459992322682,0.6139605991554946,0.05499999999999997,2.243791186629096e-06,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100723
flat_normal,7,fast,0.6469951154010545,True,0.5570823715172971,3.1196612804968673,0.28000000000000036,0.0001939024805324152,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100034
flat_normal,8,fast,0.6323423767677168,True,0.5383450252612774,3.0147321414631567,0.28000000000000036,5.8855412135017104e-06,0.97,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_095926
flat_normal,9,fast,0.6322361938876113,True,0.5382398331074878,3.014143065401935,0.28000000000000036,8.087155038083438e-06,0.97,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100142
flat_normal,10,fast,0.5316499040570059,True,0.4377699046477275,2.451511466027277,0.28000000000000036,0.0002666679793037474,0.97,flat_normal_objective_selector_data_v1_core3_flat_normal_fast_world_stairs_single_r1_20260628_100359
flat_normal,11,cautious,0.4832308847977547,True,0.39323205708478964,0.4325552627932684,0.05499999999999997,2.6050822725665057e-06,0.95,flat_normal_objective_selector_data_v1_core3_flat_normal_cautious_world_stairs_single_r1_20260628_100832
flat_normal,12,high_clearance,0.13803698362030345,False,0.14403741801386913,0.1296336762124821,0.04499999999999996,9.653190318203997e-07,0.97,flat_normal_objective_selector_data_v1_core3_flat_normal_high_clearance_world_stairs_single_r1_20260628_101156
