terrain,objective_name,rank,style,score
flat_normal,motion_objective,1,fast,5.389751443721391
flat_normal,motion_objective,2,high_clearance,2.2835943549716204
flat_normal,motion_objective,3,cautious,1.021039658233788
flat_normal,stability_objective,1,fast,10.766536089511895
flat_normal,stability_objective,2,high_clearance,9.732548525053737
flat_normal,stability_objective,3,cautious,7.97328993877035
flat_normal,deploy_objective,1,fast,8.905775760851721
flat_normal,deploy_objective,2,high_clearance,7.155947815274642
flat_normal,deploy_objective,3,cautious,5.568277845379719
rough_mid,motion_objective,1,fast,3.9290404072277645
rough_mid,motion_objective,2,high_clearance,1.5933692555192889
rough_mid,motion_objective,3,cautious,0.8933717750410439
rough_mid,stability_objective,1,fast,9.57331506851353
rough_mid,stability_objective,2,high_clearance,9.130264886109256
rough_mid,stability_objective,3,cautious,8.956226729564339
rough_mid,deploy_objective,1,fast,7.620149098136813
rough_mid,deploy_objective,2,high_clearance,6.523284399063813
rough_mid,deploy_objective,3,cautious,6.167551203341927
slippery_downslope_5deg_forward,motion_objective,1,fast,3.430881628266942
slippery_downslope_5deg_forward,motion_objective,2,high_clearance,1.4154104977008641
slippery_downslope_5deg_forward,motion_objective,3,cautious,1.0773248757820362
slippery_downslope_5deg_forward,stability_objective,1,high_clearance,8.976681942116912
slippery_downslope_5deg_forward,stability_objective,2,cautious,7.958793918539455
slippery_downslope_5deg_forward,stability_objective,3,fast,7.882451233905037
slippery_downslope_5deg_forward,deploy_objective,1,high_clearance,6.3612807193860945
slippery_downslope_5deg_forward,deploy_objective,2,fast,6.341310646388422
slippery_downslope_5deg_forward,deploy_objective,3,cautious,5.578233525472529
slope_5deg,motion_objective,1,fast,3.9166455877523227
slope_5deg,motion_objective,2,high_clearance,1.459616093339426
slope_5deg,motion_objective,3,cautious,0.9757879830303247
slope_5deg,stability_objective,1,fast,9.236189459135726
slope_5deg,stability_objective,2,high_clearance,9.015679334005391
slope_5deg,stability_objective,3,cautious,8.476647951394725
slope_5deg,deploy_objective,1,fast,7.395203216179826
slope_5deg,deploy_objective,2,high_clearance,6.402077308933696
slope_5deg,deploy_objective,3,cautious,5.882116147663568
sponge_firm_downslope_5deg_forward,motion_objective,1,fast,6.6926192874176405
sponge_firm_downslope_5deg_forward,motion_objective,2,high_clearance,6.144528558406408
sponge_firm_downslope_5deg_forward,motion_objective,3,cautious,4.472893034506531
sponge_firm_downslope_5deg_forward,stability_objective,1,fast,9.660177286342517
sponge_firm_downslope_5deg_forward,stability_objective,2,high_clearance,8.767772592701874
sponge_firm_downslope_5deg_forward,stability_objective,3,cautious,7.687041021277044
sponge_firm_downslope_5deg_forward,deploy_objective,1,fast,8.631695253872287
sponge_firm_downslope_5deg_forward,deploy_objective,2,high_clearance,7.85823538437635
sponge_firm_downslope_5deg_forward,deploy_objective,3,cautious,6.573373356641957
