terrain,objective_name,rank,style,score
slippery_downslope_5deg_forward,motion_objective,1,fast,3.430881628266942
slippery_downslope_5deg_forward,motion_objective,2,high_clearance,1.4154104977008641
slippery_downslope_5deg_forward,motion_objective,3,cautious,1.0773248757820362
slippery_downslope_5deg_forward,stability_objective,1,high_clearance,8.976681942116912
slippery_downslope_5deg_forward,stability_objective,2,cautious,7.958793918539455
slippery_downslope_5deg_forward,stability_objective,3,fast,7.882451233905037
slippery_downslope_5deg_forward,deploy_objective,1,high_clearance,6.3612807193860945
slippery_downslope_5deg_forward,deploy_objective,2,fast,6.341310646388422
slippery_downslope_5deg_forward,deploy_objective,3,cautious,5.578233525472529
sponge_firm_downslope_5deg_forward,motion_objective,1,fast,6.6926192874176405
sponge_firm_downslope_5deg_forward,motion_objective,2,high_clearance,6.144528558406408
sponge_firm_downslope_5deg_forward,motion_objective,3,cautious,4.472893034506531
sponge_firm_downslope_5deg_forward,stability_objective,1,fast,9.660177286342517
sponge_firm_downslope_5deg_forward,stability_objective,2,high_clearance,8.767772592701874
sponge_firm_downslope_5deg_forward,stability_objective,3,cautious,7.687041021277044
sponge_firm_downslope_5deg_forward,deploy_objective,1,fast,8.631695253872287
sponge_firm_downslope_5deg_forward,deploy_objective,2,high_clearance,7.85823538437635
sponge_firm_downslope_5deg_forward,deploy_objective,3,cautious,6.573373356641957
