friction_mu,seed,status,success,m4_terminal,m4_interventions,policy_steps,progress_m,decision_time_s,mean_applied_vx_mps,attitude_cost,established_profile_available,established_contact_time_s,established_rms_mps,established_mean_mps
0.2,27200,success,True,False,0,34,1.6470893428011855,6.940000000000004,0.21885170660474723,0.011738258598858933,True,19.05799999999477,0.03728491466546009,0.00815180664711136
0.2,27201,success,True,False,0,34,1.6505814659732188,6.934000000000002,0.21884840959135224,0.01176351656280312,True,19.03799999999478,0.037398946901581555,0.008150123803521363
0.2,27202,success,True,False,0,34,1.6524414548326731,6.952000000000001,0.2188461029792533,0.011832376195246939,True,19.113999999994704,0.03791006116562959,0.008466488207891901
0.18,27200,success,True,False,0,34,1.6471324381657442,6.930000000000001,0.21887593045830728,0.011969254032282585,True,18.825999999994785,0.04580678585895716,0.011587448849065624
0.18,27201,success,True,False,0,34,1.6455084682058736,6.933999999999999,0.21887565097388098,0.01198555357551992,True,18.839999999994816,0.04579400990967388,0.01154619717320354
0.18,27202,success,True,False,0,34,1.6471194666026363,6.926000000000001,0.21887517496943473,0.012008448680829809,True,18.819999999994792,0.045871675039397174,0.01153408019850295
0.17,27200,success,True,False,0,34,1.6415659516725696,6.920000000000002,0.21891380574773336,0.012343973446310342,True,18.84799999999472,0.053518562856212676,0.014841436183468119
0.17,27201,success,True,False,0,34,1.646114695635896,6.934000000000001,0.21888367568745334,0.01221811931474533,True,18.909999999994824,0.053460510796624644,0.014799618983898298
0.17,27202,success,True,False,0,34,1.6504486204778617,6.9460000000000015,0.21887827138690388,0.012373685739473249,True,18.89799999999478,0.052818143410748565,0.014479184539534784
0.16,27200,success,True,False,0,34,1.6428049418001984,6.9200000000000035,0.21889542989871083,0.010262954608016756,True,18.797999999994815,0.0681728087423362,0.020509583493725114
0.16,27201,success,True,False,0,34,1.6446052506862336,6.932,0.2188767144785208,0.010332103956435516,True,18.851999999994874,0.0682949844771743,0.020577692348068752
0.16,27202,success,True,False,0,34,1.650643293410738,6.964,0.21888803892275868,0.01188844037619197,True,18.82999999999489,0.06770394690757908,0.020199818805952386
0.155,27200,success,True,False,0,34,1.6447261673690639,6.946000000000001,0.21888856037574658,0.009876572099409321,True,18.719999999994947,0.07633403698388201,0.02363716728558421
0.155,27201,success,True,False,0,34,1.6429786383866272,6.93,0.21889173103606002,0.009850192624962416,True,18.71799999999495,0.07666460933569814,0.023696223001566125
0.155,27202,success,True,False,0,35,1.6754557516917539,7.102000000000002,0.2187791147828102,0.009790140799390498,True,19.039999999995338,0.07567015240820282,0.023238025378737003
0.152,27200,success,True,False,0,34,1.6407733347546154,6.938,0.21891418011749492,0.009684093934093335,True,18.539999999995047,0.08222316390753821,0.025496519574087717
0.152,27201,success,True,False,0,34,1.6407841192686332,6.9460000000000015,0.21891348370734387,0.00971763166696072,True,18.539999999995047,0.08222449655984618,0.025497533832756835
0.152,27202,success,True,False,0,35,1.6764295086103749,7.134000000000002,0.21879834119762695,0.009675124184104147,True,18.85599999999551,0.08168384606741601,0.025025746083176845
0.151,27200,m4,False,True,1,5,0.09696705114827409,0.8279999999999998,0.2185355785179138,0.5023739052128082,True,2.6399999999999313,0.3437620439823737,0.19161244322133505
0.151,27201,m4,False,True,1,5,0.09696811354167267,0.8239999999999998,0.21853412058830263,0.5022045125002131,True,2.6399999999999313,0.3437628749770508,0.1916122405945816
0.151,27202,m4,False,True,1,4,0.07615537401608652,0.702,0.21817834806740286,0.40716950217862946,True,2.7459999999999196,0.26680119776356775,0.16015008146425927
0.15,27200,m4,False,True,1,4,0.07567692915960489,0.748,0.21917869970202447,0.3103463734290222,True,2.5219999999999443,0.37543585971126703,0.20775027393756967
0.15,27201,m4,False,True,1,4,0.07606202258651762,0.754,0.21887869970202448,0.32114069039878557,True,2.523999999999944,0.38363351020250724,0.20982601904293452
0.15,27202,m4,False,True,1,4,0.07459549357495487,0.78,0.21886460022330287,0.42307431462241907,True,2.5839999999999375,0.3836939864208281,0.2246135793601132
0.148,27200,m4,False,True,1,2,0.03428811138375232,0.238,0.21884629895091057,0.6636377697213657,True,1.9560000000000015,0.26299038121909724,0.166705212780472
0.148,27201,m4,False,True,1,2,0.032118524486976385,0.22599999999999998,0.21888373737335204,0.5039090040174331,True,1.9560000000000015,0.26299075922148196,0.16670544280603358
0.148,27202,m4,False,True,1,2,0.03386791114771204,0.238,0.21889056359529496,0.6668293689343997,True,1.9560000000000015,0.26299254398559696,0.16672282466095434
