threshold_mps,terrain,pooled_fraction_above,median_episode_fraction_above,max_episode_fraction_above
0.001,flat,0.08055746730903043,0.08058683748322572,0.08059023836550834
0.001,low_friction,0.428967254408068,0.42895702871950636,0.42906499676096616
0.001,rough,0.22406241949137945,0.2476158038147183,0.25155486450465886
0.0015,flat,0.05571231933930802,0.055727554179576554,0.0558249922608706
0.0015,low_friction,0.3530766462756459,0.35301100798619306,0.35327143165623687
0.0015,rough,0.14857752751095585,0.1572434150772044,0.1685917370057721
0.002,flat,0.04631796283552097,0.04633164792075943,0.04633642930857375
0.002,low_friction,0.32533285354444663,0.3254910425210507,0.3256316130425455
0.002,rough,0.10669463766516186,0.11228428701180844,0.11761439360284107
0.003,flat,0.035271851342057146,0.03529047569910848,0.03529411764706503
0.003,low_friction,0.2810723281756076,0.28113533347723335,0.28125674800259604
0.003,rough,0.07761952081263426,0.0801865837405588,0.0828792007266135
0.004,flat,0.030178940123886912,0.030168405827053543,0.03023735810114048
0.004,low_friction,0.2619647355163775,0.26203323980142923,0.2622543727056838
0.004,rough,0.0663943174708356,0.06597067969791122,0.07163941871026458
0.005,flat,0.02677219545767846,0.026758962702763234,0.026831785345721917
0.005,low_friction,0.2502698812522538,0.25037772501619293,0.25048585618657354
0.005,rough,0.05999043097420292,0.05830741892492152,0.06505449591280754
0.006,flat,0.023984858912598835,0.02396941832834391,0.02404292642658557
0.006,low_friction,0.24098596617488788,0.24109648176128262,0.24120060462103704
0.006,rough,0.05538993780133463,0.05330964015992825,0.060513169845595884
0.008,flat,0.021472814865798676,0.021465428276577547,0.021489823328860066
0.008,low_friction,0.2248650593738804,0.2250161882149844,0.22511336644353766
0.008,rough,0.04843399212395776,0.04647932471418455,0.05301998183469663
0.01,flat,0.02085340674466982,0.020846233230137765,0.020869924578989056
0.01,low_friction,0.21273839510615816,0.21282106626376482,0.21291297775858833
0.01,rough,0.04350226344264296,0.04199166577626332,0.04802452316076388
