update,beta,policy_step,bin_index,contact_time_s,contact_samples,metadata_json
10,balanced,0,0,0.008000000000000007,4,"{""high_mps"":0.0005,""low_mps"":0.0,""time_fraction"":0.016585365853658583}"
10,balanced,0,1,0.006000000000000005,3,"{""high_mps"":0.001,""low_mps"":0.0005,""time_fraction"":0.028292682926829345}"
10,balanced,0,2,0.008000000000000007,4,"{""high_mps"":0.0015,""low_mps"":0.001,""time_fraction"":0.043902439024390366}"
10,balanced,0,3,0.008000000000000007,4,"{""high_mps"":0.002,""low_mps"":0.0015,""time_fraction"":0.04097560975609765}"
10,balanced,0,4,0.006000000000000005,3,"{""high_mps"":0.003,""low_mps"":0.002,""time_fraction"":0.16585365853658582}"
10,balanced,0,5,0.0040000000000000036,2,"{""high_mps"":0.004,""low_mps"":0.003,""time_fraction"":0.01853658536585371}"
10,balanced,0,6,0.018000000000000016,9,"{""high_mps"":0.005,""low_mps"":0.004,""time_fraction"":0.015609756097561017}"
10,balanced,0,7,0.018000000000000016,9,"{""high_mps"":0.006,""low_mps"":0.005,""time_fraction"":0.015609756097561017}"
10,balanced,0,8,0.010000000000000009,5,"{""high_mps"":0.008,""low_mps"":0.006,""time_fraction"":0.014634146341463454}"
10,balanced,0,9,0.0040000000000000036,2,"{""high_mps"":0.01,""low_mps"":0.008,""time_fraction"":0.0107317073170732}"
10,balanced,0,10,0.008000000000000007,4,"{""high_mps"":0.0125,""low_mps"":0.01,""time_fraction"":0.03804878048780498}"
10,balanced,0,11,0.006000000000000005,3,"{""high_mps"":0.015,""low_mps"":0.0125,""time_fraction"":0.025365853658536653}"
10,balanced,0,12,0.006000000000000005,3,"{""high_mps"":0.02,""low_mps"":0.015,""time_fraction"":0.032195121951219596}"
10,balanced,0,13,0.006000000000000005,3,"{""high_mps"":0.03,""low_mps"":0.02,""time_fraction"":0.053658536585366}"
10,balanced,0,14,0.0020000000000000018,1,"{""high_mps"":0.04,""low_mps"":0.03,""time_fraction"":0.031219512195122034}"
10,balanced,0,15,0.018000000000000016,9,"{""high_mps"":0.05,""low_mps"":0.04,""time_fraction"":0.02634146341463422}"
10,balanced,0,16,0.026000000000000023,13,"{""high_mps"":0.075,""low_mps"":0.05,""time_fraction"":0.04585365853658549}"
10,balanced,0,17,0.014000000000000012,7,"{""high_mps"":0.1,""low_mps"":0.075,""time_fraction"":0.03414634146341467}"
10,balanced,0,18,0.008000000000000007,4,"{""high_mps"":0.125,""low_mps"":0.1,""time_fraction"":0.033170731707317165}"
10,balanced,0,19,0.0040000000000000036,2,"{""high_mps"":0.15,""low_mps"":0.125,""time_fraction"":0.031219512195122034}"
10,balanced,0,20,0.0020000000000000018,1,"{""high_mps"":0.155,""low_mps"":0.15,""time_fraction"":0.0058536585365853815}"
10,balanced,0,21,0.0,0,"{""high_mps"":0.16,""low_mps"":0.155,""time_fraction"":0.004878048780487818}"
10,balanced,0,22,0.0,0,"{""high_mps"":0.165,""low_mps"":0.16,""time_fraction"":0.006829268292682945}"
10,balanced,0,23,0.0,0,"{""high_mps"":0.17,""low_mps"":0.165,""time_fraction"":0.0039024390243902543}"
10,balanced,0,24,0.0,0,"{""high_mps"":0.175,""low_mps"":0.17,""time_fraction"":0.0039024390243902543}"
