update,beta,policy_step,episode_step,state_sim_time_s,reward_cost_traction,established_contact_time_s,established_contact_samples,traction_cost_time_sum_delta_s,reconstructed_cost_traction,reconstruction_abs_error,FL_contact_samples,FR_contact_samples,RL_contact_samples,RR_contact_samples,source_log
10,balanced,0,6,1.2,3.864117638081097,0.2519999999999949,126,0.9737576447964167,3.864117638081097,0.0,58,71,87,44,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,1,7,1.4000000000000001,2.1954717790484666,0.3939999999999566,197,0.8650158809450006,2.1954717790484666,0.0,100,0,0,98,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,2,8,1.6,0.40093223492459135,0.3639999999999599,182,0.14593933351253519,0.40093223492459135,0.0,65,80,69,64,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,3,9,1.8,0.010044825055312009,0.39999999999995595,200,0.004017930022124361,0.010044825055312009,0.0,0,100,100,1,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,4,10,2.0,0.04788467792355221,0.5119999999999436,256,0.02451695509685603,0.04788467792355221,0.0,93,48,52,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,5,11,2.2,0.02112697228730183,0.42999999999995264,215,0.009084598083538786,0.02112697228730183,0.0,100,35,18,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,6,12,2.4,0.007757649593746273,0.5099999999999438,255,0.003956401292810163,0.007757649593746273,0.0,28,100,100,29,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,7,13,2.6,0.15364553303360673,0.48999999999994603,245,0.07528631118645901,0.15364553303360673,0.0,44,100,100,41,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,8,14,2.8000000000000003,0.007456916651363813,0.42799999999995286,214,0.0031915603267833603,0.007456916651363813,0.0,100,6,8,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,9,15,3.0,0.003079212411331271,0.5139999999999434,257,0.001582715179424099,0.003079212411331271,0.0,86,68,56,87,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,10,16,3.2,0.0,0.39999999999995595,200,0.0,0.0,0.0,0,100,100,0,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,11,17,3.4,0.2332162672338076,0.4559999999999498,228,0.10634661785860455,0.2332162672338076,0.0,82,63,65,78,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,12,18,3.6,0.0012011834442306126,0.39999999999995595,200,0.0004804733776921921,0.0012011834442306126,0.0,100,10,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,13,19,3.8000000000000003,0.037660015027147,0.5119999999999436,256,0.01928192769389714,0.037660015027147,0.0,43,100,99,44,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,14,20,4.0,0.0779435192544295,0.41199999999984094,206,0.032112729932812556,0.0779435192544295,0.0,26,100,100,20,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,15,21,4.2,0.03306643288220426,0.4439999999997557,222,0.014681496199690613,0.03306643288220426,0.0,100,20,22,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,16,22,4.4,0.03236910569337724,0.5079999999997185,254,0.016443505692226523,0.03236910569337724,0.0,100,53,41,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,17,23,4.6000000000000005,0.0006971278183094197,0.4019999999997772,201,0.0002802453829602314,0.0006971278183094197,0.0,0,100,100,1,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,18,24,4.8,0.08617261910171685,0.45799999999974617,229,0.03946705954856444,0.08617261910171685,0.0,67,77,79,65,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,19,25,5.0,0.0,0.3999999999997783,200,0.0,0.0,0.0,100,0,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,20,26,5.2,0.006823519167172124,0.5139999999997151,257,0.0035072888519245282,0.006823519167172124,0.0,57,96,86,58,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,21,27,5.4,0.010439086461603532,0.3999999999997783,200,0.0041756345846390985,0.010439086461603532,0.0,12,100,100,9,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,22,28,5.6000000000000005,0.24803192159110624,0.5059999999997196,253,0.1255041523250302,0.24803192159110624,0.0,100,35,37,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,23,29,5.8,0.0025048154550505247,0.4519999999997495,226,0.0011321765856822097,0.0025048154550505247,0.0,100,39,27,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,24,30,6.0,0.0022658650423886466,0.45799999999974617,229,0.001037766189413425,0.0022658650423886466,0.0,14,100,100,15,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,25,31,6.2,0.24227624746787116,0.5119999999997162,256,0.12404543870348128,0.24227624746787116,0.0,57,92,94,53,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,26,32,6.4,0.0,0.3999999999997783,200,0.0,0.0,0.0,100,0,0,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,27,33,6.6000000000000005,0.006302623227219552,0.5119999999997162,256,0.003226943092334622,0.006302623227219552,0.0,71,82,71,72,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,28,34,6.8,0.0,0.3999999999997783,200,0.0,0.0,0.0,0,100,100,0,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,29,35,7.0,0.13852738095574219,0.46199999999974395,231,0.06399965000151742,0.13852738095574219,0.0,97,49,51,94,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
10,balanced,30,36,7.2,0.0009514030174446641,0.41399999999977055,207,0.0003938808492218726,0.0009514030174446641,0.0,100,27,12,100,results/icra27/os_t4p5k5_lockstep_checkpoint_sweep_v0/train9/u10/env_logs/balanced/low_friction/episode_0000.jsonl
