update,specialized_beta,policy_step,delta_cost_traction,delta_tail_ge_0p15_s,delta_tail_frac_ge_0p15,delta_tail_ge_0p3_s,delta_tail_frac_ge_0p3,delta_tail_ge_0p5_s,delta_tail_frac_ge_0p5,delta_tail_ge_1p0_s,delta_tail_frac_ge_1p0
10,stability,0,0.11112872035661958,0.0,-0.0019997500312459726,0.0,-0.0014998125234344795,0.0,-0.0009373828271465462,0.0,-0.0001249843769528733
10,stability,1,-0.1260747576849215,0.0,-0.000461467466543658,0.0,-0.0003845562221197196,0.0,-0.0002820078962211259,0.0,-7.691124442394358e-05
10,stability,2,0.15928102463456312,0.008000000000000007,0.0238511488511515,0.010000000000000009,0.028971028971032188,-0.0020000000000000018,-0.005119880119880687,0.0,0.0
10,stability,3,-0.0038427410448109503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,4,-0.006546950480135497,-0.0020000000000000018,-0.0038602941176474875,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,5,0.0019160592983142738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,6,0.0006977993482611272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,7,0.018289950186179516,0.0019999999999997797,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,8,0.00041237184018277917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,9,-1.4404554693871544e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,11,0.13232793890988578,0.021999999999997577,0.04269710420629888,0.005999999999999339,0.01056859015007398,0.0,0.0,0.0,0.0
10,stability,12,-0.00013260281923389915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,13,-0.015062051925238056,-0.0039999999999995595,-0.0078125,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,14,0.04500483479410024,0.0019999999999997797,0.004830917874397638,0.0019999999999997797,0.004830917874397638,0.0,0.0,0.0,0.0
10,stability,15,0.006788942295365405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,16,-0.016255105456119624,-0.0039999999999995595,-0.007874015748034993,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,17,-4.424098963571796e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,18,0.0027433458462671756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,20,-0.0017760871562633295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,21,-0.00016990632641720668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,22,0.00023189906504178515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,23,-0.0006306685386338372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,24,-4.7742298824677166e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,25,-0.008260977712363088,0.0,0.0,-0.0019999999999997797,-0.003906250000001735,0.0,0.0,0.0,0.0
10,stability,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,27,-0.0016209350225784118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,stability,29,0.14327494049407835,0.019999999999997797,0.038961038961056266,0.007999999999999119,0.015151515151521881,0.0,0.0,0.0,0.0
