group,terrain,seed,objective,metric,fixed,balanced,objective_beta,balanced_minus_fixed,objective_minus_balanced,objective_minus_fixed,q1_balanced_beats_fixed,q2_objective_beats_balanced,q3_objective_beats_fixed
flat,flat,27027,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27027,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27027,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27028,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27028,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27028,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27029,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27029,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27029,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27030,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27030,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27030,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27031,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27031,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27031,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27032,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27032,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27032,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27033,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27033,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27033,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27034,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27034,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27034,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27035,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27035,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27035,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
flat,flat,27036,motion,mean_cost_motion,0.2239054162125246,0.22204686327628234,0.22017974704125134,-0.0018585529362422637,-0.0018671162350309967,-0.0037256691712732604,True,True,True
flat,flat,27036,stability,mean_cost_stability,0.011745879683857896,0.01162808929278536,0.011660638384210087,-0.00011779039107253676,3.2549091424726936e-05,-8.524129964780983e-05,True,False,True
flat,flat,27036,energy,mean_cost_energy,0.5109587568230589,0.5133582389660732,0.5089249401919073,0.002399482143014331,-0.0044332987741659835,-0.0020338166311516526,False,True,True
low_friction,low_friction,27027,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27027,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27027,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27028,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27028,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27028,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27029,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27029,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27029,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27030,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27030,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27030,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27031,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27031,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27031,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27032,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27032,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27032,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27033,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27033,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27033,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27034,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27034,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27034,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27035,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27035,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27035,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
low_friction,low_friction,27036,motion,mean_cost_motion,0.22439211710580756,0.22654064270826416,0.22462255264956751,0.002148525602456597,-0.001918090058696642,0.00023043554375995479,False,True,False
low_friction,low_friction,27036,stability,mean_cost_stability,0.7834908424119282,0.729664496323737,0.7242182377792927,-0.05382634608819126,-0.005446258544444249,-0.059272604632635506,True,True,True
low_friction,low_friction,27036,energy,mean_cost_energy,0.5621729387706013,0.5549508180488122,0.551314499462821,-0.0072221207217890715,-0.0036363185859912273,-0.010858439307780299,True,True,True
rough_test,rough_perlin,2,motion,mean_cost_motion,0.24670082608044921,0.2440864529511866,0.24358649721615822,-0.002614373129262604,-0.0004999557350283956,-0.0031143288642909994,True,True,True
rough_test,rough_perlin,2,stability,mean_cost_stability,0.17585332071282295,0.15472239774013474,0.15968022928713696,-0.021130922972688204,0.004957831547002217,-0.016173091425685987,True,False,True
rough_test,rough_perlin,2,energy,mean_cost_energy,0.6686653131185033,0.6608037184821249,0.6115418495067233,-0.007861594636378366,-0.049261868975401635,-0.05712346361178,True,True,True
rough_test,rough_perlin,3,motion,mean_cost_motion,0.22108150439352947,0.21991962373312476,0.2176393336049001,-0.0011618806604047072,-0.0022802901282246713,-0.0034421707886293784,True,True,True
rough_test,rough_perlin,3,stability,mean_cost_stability,0.09575042793604838,0.09454921625972176,0.09810358409698623,-0.0012012116763266134,0.003554367837264469,0.0023531561609378554,True,False,False
rough_test,rough_perlin,3,energy,mean_cost_energy,0.6314779185902367,0.6401361616630243,0.638848635879583,0.00865824307278762,-0.001287525783441379,0.00737071728934624,False,True,False
rough_test,rough_perlin,19,motion,mean_cost_motion,0.22261722211804455,0.22280665429165075,0.22077278101548653,0.00018943217360620213,-0.002033873276164222,-0.0018444411025580199,False,True,True
rough_test,rough_perlin,19,stability,mean_cost_stability,0.15060245928030577,0.1479499528544527,0.14557714871339525,-0.002652506425853074,-0.0023728041410574496,-0.005025310566910524,True,True,True
rough_test,rough_perlin,19,energy,mean_cost_energy,0.691332662125054,0.6937116560133717,0.6880942258479837,0.0023789938883177486,-0.00561743016538796,-0.0032384362770702113,False,True,True
rough_test,rough_perlin,26,motion,mean_cost_motion,0.22688794155320782,0.2260529875008107,0.22394869934387235,-0.0008349540523971133,-0.002104288156938361,-0.002939242209335474,True,True,True
rough_test,rough_perlin,26,stability,mean_cost_stability,0.06412870954898302,0.06681124276686029,0.06612966753211344,0.0026825332178772726,-0.0006815752347468507,0.002000957983130422,False,True,False
rough_test,rough_perlin,26,energy,mean_cost_energy,0.6034920378739151,0.6046870358157883,0.5971450610554059,0.001194997941873166,-0.0075419747603824305,-0.0063469768185092645,False,True,True
rough_test,rough_perlin,27,motion,mean_cost_motion,0.2251999252846247,0.22317583447903266,0.22118657155322397,-0.0020240908055920437,-0.001989262925808699,-0.004013353731400743,True,True,True
rough_test,rough_perlin,27,stability,mean_cost_stability,0.1619187611412923,0.16764466201698705,0.16893735631863668,0.005725900875694745,0.0012926943016496328,0.007018595177344378,False,False,False
rough_test,rough_perlin,27,energy,mean_cost_energy,0.6632368673843034,0.6706061738992819,0.6848040826333567,0.007369306514978469,0.014197908734074782,0.02156721524905325,False,False,False
