beta_name,terrain_label,terrain,seed,J_motion_s_per_m,J_stability,J_stability_attitude,J_stability_slip,J_energy_j_per_m,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_abs_mechanical_power_w,tail_slip_fraction_ge_0p05,tail_slip_fraction_ge_0p10,tail_attitude_peak_max_rad
balanced,flat,flat,27100,4.497160977328656,0.10783361856483051,0.10783361856483051,0.03959160521838593,100.87462692950571,7.6,1.6899550712802036,170.47358734301676,0.003175651069185063,0.02823077532443962,0.005850882674493513,0.0443358515329888,22.430735176712734,0.003403289846852771,0.0002268859897902183,0.0443358515329888
balanced,flat,flat,27101,4.497160977328656,0.10783361856483051,0.10783361856483051,0.03959160521838593,100.87462692950571,7.6,1.6899550712802036,170.47358734301676,0.003175651069185063,0.02823077532443962,0.005850882674493513,0.0443358515329888,22.430735176712734,0.003403289846852771,0.0002268859897902183,0.0443358515329888
balanced,flat,flat,27102,4.497160977328656,0.10783361856483051,0.10783361856483051,0.03959160521838593,100.87462692950571,7.6,1.6899550712802036,170.47358734301676,0.003175651069185063,0.02823077532443962,0.005850882674493513,0.0443358515329888,22.430735176712734,0.003403289846852771,0.0002268859897902183,0.0443358515329888
balanced,low_friction,low_friction,27200,4.571063182403581,0.2501752745969164,0.1043159191786485,0.2501752745969164,110.83953412442177,7.6,1.662632892333754,184.28545520621321,0.002771509294755597,0.02730984377867573,0.009319311355455166,0.0450700771751511,24.248086211343846,0.0849497546155821,0.04919373685441594,0.0450700771751511
balanced,low_friction,low_friction,27201,4.571063182403581,0.2501752745969164,0.1043159191786485,0.2501752745969164,110.83953412442177,7.6,1.662632892333754,184.28545520621321,0.002771509294755597,0.02730984377867573,0.009319311355455166,0.0450700771751511,24.248086211343846,0.0849497546155821,0.04919373685441594,0.0450700771751511
balanced,low_friction,low_friction,27202,4.571063182403581,0.2501752745969164,0.1043159191786485,0.2501752745969164,110.83953412442177,7.6,1.662632892333754,184.28545520621321,0.002771509294755597,0.02730984377867573,0.009319311355455166,0.0450700771751511,24.248086211343846,0.0849497546155821,0.04919373685441594,0.0450700771751511
balanced,rough,rough_perlin,13,4.464027120103836,0.48886884559955907,0.48886884559955907,0.115495922125779,147.1690269447251,7.4,1.6576960222024528,243.96151055767638,0.007729634891569662,0.12798556449204146,0.016174974377194545,0.19091963514420462,32.96777169698329,0.007761115495923774,0.001841620626151332,0.19091963514420462
balanced,rough,rough_perlin,7,4.490806515675684,0.32584595907350195,0.32584595907350195,0.08251231527095602,132.393058304426,7.6,1.6923463465796877,224.05490853400696,0.006236973689201847,0.0853062726022695,0.021723286486475462,0.17450859309329703,29.480909017632495,0.005541871921183842,0.0001231527093596239,0.17450859309329703
balanced,rough,rough_perlin,15,4.46557775165243,0.44615095374005526,0.44615095374005526,0.10825456836801156,153.3296329605539,7.4,1.657120402228295,254.08566304510992,0.010798483748207096,0.1168020465551531,0.03066822755406528,0.1992052579246728,34.33590041150134,0.011594202898553044,0.00239445494644027,0.1992052579246728
motion,flat,flat,27100,4.467153420035954,0.10764727422495432,0.10764727422495432,0.03934686472389971,100.54988909022944,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,22.5087163201617,0.003515137770723137,0.000226783081982172,0.04440185660242956
motion,flat,flat,27101,4.467153420035954,0.10764727422495432,0.10764727422495432,0.03934686472389971,100.54988909022944,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,22.5087163201617,0.003515137770723137,0.000226783081982172,0.04440185660242956
motion,flat,flat,27102,4.467153420035954,0.10764727422495432,0.10764727422495432,0.03934686472389971,100.54988909022944,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,22.5087163201617,0.003515137770723137,0.000226783081982172,0.04440185660242956
motion,low_friction,low_friction,27200,4.539224297512309,0.25137314479378425,0.10361415813975515,0.25137314479378425,110.58335893441934,7.6,1.6742948798906299,185.14915166500603,0.0028409590221638455,0.02712612316831215,0.009683075869299992,0.04481105030780741,24.361730482237636,0.08531027229170884,0.05036811966811883,0.04481105030780741
motion,low_friction,low_friction,27201,4.539224297512309,0.25137314479378425,0.10361415813975515,0.25137314479378425,110.58335893441934,7.6,1.6742948798906299,185.14915166500603,0.0028409590221638455,0.02712612316831215,0.009683075869299992,0.04481105030780741,24.361730482237636,0.08531027229170884,0.05036811966811883,0.04481105030780741
motion,low_friction,low_friction,27202,4.539224297512309,0.25137314479378425,0.10361415813975515,0.25137314479378425,110.58335893441934,7.6,1.6742948798906299,185.14915166500603,0.0028409590221638455,0.02712612316831215,0.009683075869299992,0.04481105030780741,24.361730482237636,0.08531027229170884,0.05036811966811883,0.04481105030780741
motion,rough,rough_perlin,13,4.425768838781536,0.48859726757708033,0.48859726757708033,0.10512266429390613,148.2619747782019,7.4,1.6720258715629854,247.89785759817238,0.008121959065137489,0.12791446553201682,0.01729239652561013,0.19180601305535716,33.49971048623951,0.010296173890938742,0.0011440193212153968,0.19180601305535716
motion,rough,rough_perlin,7,4.457193450320372,0.32365316164450253,0.32365316164450253,0.08203643382798423,132.73219619100732,7.6,1.7051088503806648,226.32284245574934,0.006294509638746507,0.08473219957778991,0.019093808791521123,0.17816436179211825,29.779321375756492,0.0061527325370989636,0.0009651345156236346,0.17816436179211825
motion,rough,rough_perlin,15,4.460888283876722,0.4408694199505785,0.4408694199505785,0.105039309189349,152.48257171002587,7.4,1.6588624348083991,252.94761017273981,0.010237305212421234,0.11541934424242756,0.026925245176595412,0.1964401900998234,34.18210948280267,0.012243845856427042,0.0029642995231350232,0.1964401900998234
stability,flat,flat,27100,4.484460789869289,0.1079844358424402,0.1079844358424402,0.03945578231293331,100.67943777836511,7.6,1.694741097339714,170.62558086005194,0.003193178019850939,0.028270259195387372,0.005928644080598042,0.044503826349143516,22.450734323691044,0.003401360544218502,0.00022675736961460036,0.044503826349143516
stability,flat,flat,27101,4.484460789869289,0.1079844358424402,0.1079844358424402,0.03945578231293331,100.67943777836511,7.6,1.694741097339714,170.62558086005194,0.003193178019850939,0.028270259195387372,0.005928644080598042,0.044503826349143516,22.450734323691044,0.003401360544218502,0.00022675736961460036,0.044503826349143516
stability,flat,flat,27102,4.484460789869289,0.1079844358424402,0.1079844358424402,0.03945578231293331,100.67943777836511,7.6,1.694741097339714,170.62558086005194,0.003193178019850939,0.028270259195387372,0.005928644080598042,0.044503826349143516,22.450734323691044,0.003401360544218502,0.00022675736961460036,0.044503826349143516
stability,low_friction,low_friction,27200,4.553235179487535,0.2499707978040426,0.1036872303596358,0.2499707978040426,110.69916960412483,7.6,1.6691428622528075,184.7727288020379,0.002925439050601024,0.02714525343074203,0.009952362999014553,0.0446141480147193,24.312201158162882,0.08562083868708707,0.0505782034809126,0.0446141480147193
stability,low_friction,low_friction,27201,4.553235179487535,0.2499707978040426,0.1036872303596358,0.2499707978040426,110.69916960412483,7.6,1.6691428622528075,184.7727288020379,0.002925439050601024,0.02714525343074203,0.009952362999014553,0.0446141480147193,24.312201158162882,0.08562083868708707,0.0505782034809126,0.0446141480147193
stability,low_friction,low_friction,27202,4.553235179487535,0.2499707978040426,0.1036872303596358,0.2499707978040426,110.69916960412483,7.6,1.6691428622528075,184.7727288020379,0.002925439050601024,0.02714525343074203,0.009952362999014553,0.0446141480147193,24.312201158162882,0.08562083868708707,0.0505782034809126,0.0446141480147193
stability,rough,rough_perlin,13,4.449172879007959,0.48092304920951395,0.48092304920951395,0.10876478819490658,147.70263414616318,7.4,1.6632304927764445,245.66352497530187,0.008457390010675974,0.12590535986155096,0.019210056911202297,0.1913659919825914,33.19777364531106,0.00954077089429028,0.0016537336216769054,0.1913659919825914
stability,rough,rough_perlin,7,4.4738512219075055,0.32303973485454657,0.32303973485454657,0.08106480366178742,132.4366902164479,7.6,1.6987601113743798,224.97816662214726,0.006137474581775928,0.08457160481971984,0.019589665923348556,0.1762587621932572,29.602390345019376,0.006624909660324569,0.0010840761262351278,0.1762587621932572
stability,rough,rough_perlin,15,4.455629524506238,0.4438324310001311,0.4438324310001311,0.10755624918717112,153.37214364263195,7.4,1.6608203081740847,254.72357086987597,0.010250207687765371,0.11619505872124254,0.028245399814667727,0.19823765789211323,34.42210417160486,0.012485368708546924,0.0031213421771367853,0.19823765789211323
energy,flat,flat,27100,4.556305297028323,0.10801105996711,0.10801105996711,0.03937812074444752,101.3186798071945,7.6,1.66801816484001,169.00139835600916,0.003112905112560862,0.02827722937492661,0.0058966849093821765,0.04411069462710593,22.237026099474893,0.0032909668633689304,0.00022696323195651097,0.04411069462710593
energy,flat,flat,27101,4.556305297028323,0.10801105996711,0.10801105996711,0.03937812074444752,101.3186798071945,7.6,1.66801816484001,169.00139835600916,0.003112905112560862,0.02827722937492661,0.0058966849093821765,0.04411069462710593,22.237026099474893,0.0032909668633689304,0.00022696323195651097,0.04411069462710593
energy,flat,flat,27102,4.556305297028323,0.10801105996711,0.10801105996711,0.03937812074444752,101.3186798071945,7.6,1.66801816484001,169.00139835600916,0.003112905112560862,0.02827722937492661,0.0058966849093821765,0.04411069462710593,22.237026099474893,0.0032909668633689304,0.00022696323195651097,0.04411069462710593
energy,low_friction,low_friction,27200,4.626380711988806,0.2546464188577031,0.10575913714067568,0.2546464188577031,111.44581246807458,7.800000000000001,1.6859831660172444,187.89576374428847,0.0026792091270272022,0.027687677357595177,0.009214318885709488,0.04524040421818665,24.089200480036983,0.08397552130554478,0.050317316409800805,0.04524040421818665
energy,low_friction,low_friction,27201,4.626380711988806,0.2546464188577031,0.10575913714067568,0.2546464188577031,111.44581246807458,7.800000000000001,1.6859831660172444,187.89576374428847,0.0026792091270272022,0.027687677357595177,0.009214318885709488,0.04524040421818665,24.089200480036983,0.08397552130554478,0.050317316409800805,0.04524040421818665
energy,low_friction,low_friction,27202,4.626380711988806,0.2546464188577031,0.10575913714067568,0.2546464188577031,111.44581246807458,7.800000000000001,1.6859831660172444,187.89576374428847,0.0026792091270272022,0.027687677357595177,0.009214318885709488,0.04524040421818665,24.089200480036983,0.08397552130554478,0.050317316409800805,0.04524040421818665
energy,rough,rough_perlin,13,4.531054513905723,0.48339372282264487,0.48339372282264487,0.0976042590949584,146.30809749603634,7.6,1.6773137415751103,245.40458243381272,0.007445982324410906,0.12655218070092014,0.01633452326552357,0.1861442103003832,32.29007663602799,0.010394219799723018,0.0016478641145902544,0.1861442103003832
energy,rough,rough_perlin,7,4.573155468949753,0.3253159646534224,0.3253159646534224,0.0848102771500106,130.78133396409922,7.800000000000001,1.7056056923844989,223.0613876668058,0.006171958096865643,0.0851675203875557,0.016557673927748442,0.16631114033171013,28.59761380343664,0.003687403354348256,0.00011894849530159965,0.16631114033171013
energy,rough,rough_perlin,15,4.537481388772532,0.44215224912443035,0.44215224912443035,0.11317944899480623,155.2102565928621,7.6,1.674937999482557,259.9675566768228,0.011272166210914489,0.11575518813479287,0.0311910062589996,0.19953713922752914,34.20625745747669,0.009928021841649707,0.0034748076445773103,0.19953713922752914
