context_name,terrain,seed,friction_mu,height_std_m,height_relief_p95_p05_m,slope_rms,slope_q95,start_x_m,start_y_m,start_yaw_rad,goal_x_m,goal_y_m,corridor_cells,hfield_rows,hfield_cols,hfield_dx_m,hfield_dy_m,hfield_elevation_scale_m,geometry_sha256,slope_longitudinal_rms,slope_lateral_rms,height_front_minus_rear_mean_m,height_left_minus_right_mean_m,height_front_minus_rear_std_m,height_mid_minus_ends_std_m,rear_third_cells,middle_third_cells,front_third_cells,left_half_cells,right_half_cells
flat,flat,,0.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
low_friction,low_friction,,0.152,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
rough_perlin_seed_13,rough_perlin,13,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,10.485357813748866,9.742106541400547,-2.392918857385462,10.11906170521561,9.401772645243561,39,128,128,0.22047244094488191,0.22047244094488191,0.56,369a851935928958a3fb85c2f0b570e3a4cd84cc3a30e786f8f4b8e5d6a609bd,0.1169661553870319,0.07730597731536423,0.118213017199284,-0.003247863766219855,0.010894541756370862,0.0030128407849029405,15,11,13,18,21
rough_perlin_seed_7,rough_perlin,7,0.8,0.05006112014961697,0.1443606530427933,0.1386379300857214,0.20846310682149058,-9.16447523203687,8.217004199188606,-0.7309454735721689,-8.792203451157068,7.883217259419265,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e568333e53eb754322b8eba6eecc7b845c1ffc828e10e76570cb0dcf347b9f80,0.10971580425966133,0.08475209704844507,-0.10196721514066065,0.010146675737280508,-0.01414167168048621,-0.0015808888984434194,14,12,12,19,19
rough_perlin_seed_15,rough_perlin,15,0.8,0.040298195722818564,0.13083636277914049,0.14957532438805252,0.2616771163208163,-0.21762295382829788,-9.968860530852025,1.5489726892882194,-0.2067120012184181,-9.468979593914893,44,128,128,0.22047244094488191,0.22047244094488191,0.56,e4d71a43daafb13aa30dbc2af3a90f8e1da8ac239791b6fcab88dccc7cb9dcef,0.11272945508755242,0.09830995687851074,0.04723232315646281,-0.02914545484383904,-0.02197140663753392,-0.009869853272434195,18,11,15,20,24
rough_perlin_seed_0,rough_perlin,0,0.8,0.03384702754803588,0.10045801520347597,0.1200794462979478,0.22203379632234477,8.550653174903067,-3.1342309127439734,2.7902504866320035,8.081197354513112,-2.962151766122444,36,128,128,0.22047244094488191,0.22047244094488191,0.56,7a7c6db151ee37bbe187a27113d570419ab275fd4c04d2fe1a04b076fa51032c,0.05792312913383468,0.1051854768234039,-0.021017809708913204,-0.04939779096179536,-0.024098404267705,0.009243415483302923,12,12,12,18,18
rough_perlin_seed_5,rough_perlin,5,0.8,0.03688246351025861,0.12396946787834169,0.10815084037346305,0.17043191519638226,3.8625673607505546,7.970719344607342,-2.022042701520121,3.644523615509614,7.520767208084685,40,128,128,0.22047244094488191,0.22047244094488191,0.56,08ba9f9b3ca76af85d8d8a7387b3c4c4c048aa4cf2c98cfd0fcf32f1b0415223,0.08428692932333515,0.06776664237461814,-0.06931297719478607,0.020091602623462684,0.0026551325052826535,0.0013281695434389992,14,12,14,20,20
rough_perlin_seed_11,rough_perlin,11,0.8,0.02186876050049635,0.06406399381160738,0.11090602708266509,0.18823607756293656,8.69878868696783,9.319449255831977,-2.321758994750421,8.357617278220511,8.953933086759568,38,128,128,0.22047244094488191,0.22047244094488191,0.56,a9dc7dbd1cffb6a9f9708c25cd9ff5340457e0d61d782b1688d31c6ebafad794,0.0872719318296094,0.06843797745396078,0.002461532629453256,0.01084363321011722,0.006228845030468538,0.0071104286597275315,14,11,13,16,22
rough_perlin_seed_4,rough_perlin,4,0.8,0.026860635424611593,0.08186260461807249,0.10131288193470335,0.15396571032320125,7.321094712374686,9.521151825826527,-2.2263034967562487,7.01631402484727,9.124782386401241,38,128,128,0.22047244094488191,0.22047244094488191,0.56,e91bd3fd92e2997dcb3ee30bdb00e1723e139521bfb064b60d97ee1dec69d48e,0.06551048111000536,0.0772830958919916,0.023511452674865763,0.009747042936437245,-0.005606934782194848,0.0005881889014069282,12,12,14,21,17
rough_perlin_seed_25,rough_perlin,25,0.8,0.01826920683430378,0.0524684572219849,0.08233369340363154,0.13852312398148353,-0.3190760736787256,-1.3227933762445019,1.3341066427955992,-0.20183312654616278,-0.8367336151577904,37,128,128,0.22047244094488191,0.22047244094488191,0.56,e3e95a1a832bdb4104e5392e252d42187292c327cdec28a8bd546ee768991a6e,0.05201356609467828,0.06382339705466744,-0.023123119076093157,0.008680445229305944,0.00766359284513757,0.0033035967331112616,12,13,12,17,20
