beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,group,terrain,seed,episode_index,raw_path,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,context_id,source_stage,source_role,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95
lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm100_ls000_le000/flat/episode_0000.jsonl,38,5,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,0.03934686472389971,0.003515137770723137,0.000226783081982172,4.467153420035954,0.10764727422495432,0.03934686472389971,0.10764727422495432,attitude,100.54988909022944,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls020_le000/flat/episode_0000.jsonl,38,5,7.6,1.7002442916330474,170.994615417883,0.0031936523108788014,0.02820429675951864,0.005911968606419604,0.044421758665729394,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.469945899774418,0.10773247789699482,0.03945578231293331,0.10773247789699482,attitude,100.57061579877232,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm080_ls000_le020,0.59,0.15,0.26,0.8,0.0,0.2,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls000_le020/flat/episode_0000.jsonl,38,5,7.6,1.6955220654760814,170.82154479518465,0.0032040761827003394,0.02818415880658894,0.005872449849051858,0.0443430996966776,0.03958711433757623,0.0034029038112530835,0.00022686025408357247,4.482395219000594,0.10765555658293449,0.03958711433757623,0.10765555658293449,attitude,100.74864153845152,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls040_le000/flat/episode_0000.jsonl,38,5,7.6,1.6990465492193252,170.87176222379122,0.0032134194753089423,0.028212348240577945,0.005950057404920073,0.04444224523572604,0.039460256264890775,0.003515137770723137,0.000226783081982172,4.473096986949553,0.10776323228923,0.039460256264890775,0.10776323228923,attitude,100.56920588921066,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm060_ls020_le020,0.48,0.26,0.26,0.6,0.2,0.2,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls020_le020/flat/episode_0000.jsonl,38,5,7.6,1.6946464579070544,170.7632932302882,0.0032039049956871365,0.028199125777915952,0.005877928247743379,0.044364645064106645,0.03958711433757623,0.0034029038112530835,0.00022686025408357247,4.4847112296132,0.10771272620220991,0.03958711433757623,0.10771272620220991,attitude,100.76632352047439,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls000_le040/flat/episode_0000.jsonl,38,5,7.6,1.6890744194255338,170.39250985247165,0.0031690452015637562,0.028212704925141437,0.005824878116498369,0.04427897752494725,0.039478162223490834,0.003289846851957687,0.0002268859897902183,4.499505713066695,0.1077645947239037,0.039478162223490834,0.1077645947239037,attitude,100.87921994012753,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls060_le000/flat/episode_0000.jsonl,38,5,7.6,1.697713380161425,170.82533956479557,0.0031937947363089095,0.028236475934890832,0.005920326911790549,0.04446272038977628,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.476609590764586,0.10785539329279735,0.03945578231293331,0.10785539329279735,attitude,100.62083597912908,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm040_ls040_le020,0.37,0.37,0.26,0.4,0.4,0.2,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls040_le020/flat/episode_0000.jsonl,38,5,7.6,1.693806062616045,170.55445069049574,0.0031819666780354403,0.02825334141595883,0.005883943922914046,0.04438505889281319,0.039464731231579925,0.0034021320027225205,0.00022680880018153494,4.4869363546036505,0.10791981468510763,0.039464731231579925,0.10791981468510763,attitude,100.69302174245277,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm040_ls020_le040,0.36999999999999994,0.26,0.37,0.4,0.2,0.4,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls020_le040/flat/episode_0000.jsonl,38,5,7.6,1.6883711608399388,170.3485305982671,0.0031698711916653493,0.028227202635883086,0.0058321428737415915,0.04430153148995619,0.039478162223490834,0.003289846851957687,0.0002268859897902183,4.501379895768366,0.1078199718997769,0.039478162223490834,0.1078199718997769,attitude,100.89519090904237,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm040_ls000_le060,0.37,0.15,0.48,0.4,0.0,0.6,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls000_le060/flat/episode_0000.jsonl,38,5,7.6,1.6821341547837196,170.0148457673998,0.0031404219943801733,0.0282421375722712,0.00583657445141973,0.04422270661487682,0.039487121298090525,0.0032905934415076604,0.00022693747872469923,4.518070082809281,0.10787701915459925,0.039487121298090525,0.10787701915459925,attitude,101.07091951251621,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls080_le000/flat/episode_0000.jsonl,38,5,7.6,1.6962781232349418,170.7289320009615,0.0031935612689669565,0.0282529309870039,0.005924412238111083,0.04448357757332344,0.03945578231293331,0.003514739229025777,0.00022675736961460036,4.480397345163054,0.10791824696198046,0.03945578231293331,0.10791824696198046,attitude,100.64913864205676,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
lm020_ls060_le020,0.26,0.48,0.26,0.2,0.6,0.2,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls060_le020/flat/episode_0000.jsonl,38,5,7.6,1.6927022787537753,170.47985120563322,0.00318159450915394,0.02826944442838906,0.005888943320569667,0.044405314567796506,0.039464731231579925,0.0034021320027225205,0.00022680880018153494,4.489862213451604,0.10798132366175422,0.039464731231579925,0.10798132366175422,attitude,100.71461080039796,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0
