context_id,preference_name,selected_beta_name
flat,balanced,lm100_ls000_le000
flat,motion,lm100_ls000_le000
flat,stability,lm100_ls000_le000
flat,energy,lm100_ls000_le000
low_friction,balanced,lm060_ls040_le000
low_friction,motion,lm080_ls020_le000
low_friction,stability,lm000_ls080_le020
low_friction,energy,lm000_ls080_le020
rough_seed_13,balanced,lm080_ls020_le000
rough_seed_13,motion,lm080_ls020_le000
rough_seed_13,stability,lm040_ls060_le000
rough_seed_13,energy,lm040_ls000_le060
rough_seed_7,balanced,lm000_ls060_le040
rough_seed_7,motion,lm000_ls100_le000
rough_seed_7,stability,lm020_ls020_le060
rough_seed_7,energy,lm020_ls020_le060
rough_seed_15,balanced,lm060_ls040_le000
rough_seed_15,motion,lm040_ls060_le000
rough_seed_15,stability,lm000_ls040_le060
rough_seed_15,energy,lm000_ls080_le020
rough_seed_0,balanced,lm100_ls000_le000
rough_seed_0,motion,lm100_ls000_le000
rough_seed_0,stability,lm000_ls060_le040
rough_seed_0,energy,lm100_ls000_le000
rough_seed_5,balanced,lm060_ls020_le020
rough_seed_5,motion,lm100_ls000_le000
rough_seed_5,stability,lm020_ls040_le040
rough_seed_5,energy,lm060_ls020_le020
rough_seed_11,balanced,lm020_ls080_le000
rough_seed_11,motion,lm100_ls000_le000
rough_seed_11,stability,lm020_ls080_le000
rough_seed_11,energy,lm000_ls100_le000
rough_seed_4,balanced,lm020_ls080_le000
rough_seed_4,motion,lm020_ls080_le000
rough_seed_4,stability,lm000_ls100_le000
rough_seed_4,energy,lm020_ls080_le000
rough_seed_25,balanced,lm040_ls040_le020
rough_seed_25,motion,lm080_ls000_le020
rough_seed_25,stability,lm060_ls000_le040
rough_seed_25,energy,lm040_ls040_le020
rough_seed_12,balanced,lm100_ls000_le000
rough_seed_12,motion,lm100_ls000_le000
rough_seed_12,stability,lm040_ls040_le020
rough_seed_12,energy,lm100_ls000_le000
rough_seed_6,balanced,lm000_ls080_le020
rough_seed_6,motion,lm020_ls080_le000
rough_seed_6,stability,lm000_ls060_le040
rough_seed_6,energy,lm040_ls060_le000
rough_seed_29,balanced,lm060_ls040_le000
rough_seed_29,motion,lm060_ls040_le000
rough_seed_29,stability,lm080_ls020_le000
rough_seed_29,energy,lm080_ls000_le020
rough_seed_18,balanced,lm000_ls100_le000
rough_seed_18,motion,lm000_ls100_le000
rough_seed_18,stability,lm040_ls040_le020
rough_seed_18,energy,lm000_ls100_le000
rough_seed_10,balanced,lm060_ls020_le020
rough_seed_10,motion,lm080_ls020_le000
rough_seed_10,stability,lm040_ls000_le060
rough_seed_10,energy,lm080_ls020_le000
rough_seed_8,balanced,lm080_ls020_le000
rough_seed_8,motion,lm080_ls020_le000
rough_seed_8,stability,lm080_ls020_le000
rough_seed_8,energy,lm040_ls060_le000
rough_seed_22,balanced,lm040_ls040_le020
rough_seed_22,motion,lm080_ls020_le000
rough_seed_22,stability,lm040_ls020_le040
rough_seed_22,energy,lm040_ls020_le040
rough_seed_20,balanced,lm000_ls060_le040
rough_seed_20,motion,lm080_ls000_le020
rough_seed_20,stability,lm000_ls040_le060
rough_seed_20,energy,lm060_ls020_le020
rough_seed_28,balanced,lm000_ls100_le000
rough_seed_28,motion,lm060_ls040_le000
rough_seed_28,stability,lm000_ls100_le000
rough_seed_28,energy,lm000_ls100_le000
rough_seed_17,balanced,lm100_ls000_le000
rough_seed_17,motion,lm100_ls000_le000
rough_seed_17,stability,lm100_ls000_le000
rough_seed_17,energy,lm020_ls060_le020
