context_id,terrain,seed,pareto_count,pareto_beta_names,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95
flat,flat,27100,1,lm100_ls000_le000,0.8,0.0,0.0,0.0,0.0
low_friction,low_friction,27200,6,lm100_ls000_le000;lm080_ls020_le000;lm060_ls040_le000;lm040_ls060_le000;lm020_ls080_le000;lm000_ls080_le020,0.152,0.0,0.0,0.0,0.0
rough_seed_13,rough_perlin,13,9,lm100_ls000_le000;lm080_ls020_le000;lm060_ls000_le040;lm040_ls060_le000;lm040_ls020_le040;lm040_ls000_le060;lm020_ls060_le020;lm020_ls000_le080;lm000_ls040_le060,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986
rough_seed_7,rough_perlin,7,12,lm100_ls000_le000;lm080_ls020_le000;lm060_ls000_le040;lm040_ls040_le020;lm040_ls020_le040;lm020_ls080_le000;lm020_ls060_le020;lm020_ls040_le040;lm020_ls020_le060;lm000_ls100_le000;lm000_ls060_le040;lm000_ls040_le060,0.8,0.05006112014961697,0.1443606530427933,0.1386379300857214,0.20846310682149058
rough_seed_15,rough_perlin,15,11,lm080_ls020_le000;lm080_ls000_le020;lm060_ls040_le000;lm040_ls060_le000;lm040_ls040_le020;lm040_ls020_le040;lm020_ls060_le020;lm020_ls040_le040;lm000_ls080_le020;lm000_ls060_le040;lm000_ls040_le060,0.8,0.040298195722818564,0.13083636277914049,0.14957532438805252,0.2616771163208163
rough_seed_0,rough_perlin,0,8,lm100_ls000_le000;lm080_ls020_le000;lm060_ls040_le000;lm060_ls000_le040;lm040_ls020_le040;lm020_ls040_le040;lm000_ls060_le040;lm000_ls040_le060,0.8,0.03384702754803588,0.10045801520347597,0.1200794462979478,0.22203379632234477
rough_seed_5,rough_perlin,5,14,lm100_ls000_le000;lm080_ls020_le000;lm060_ls040_le000;lm060_ls020_le020;lm060_ls000_le040;lm040_ls060_le000;lm040_ls040_le020;lm040_ls020_le040;lm020_ls060_le020;lm020_ls040_le040;lm000_ls100_le000;lm000_ls080_le020;lm000_ls060_le040;lm000_ls040_le060,0.8,0.03688246351025861,0.12396946787834169,0.10815084037346305,0.17043191519638226
rough_seed_11,rough_perlin,11,4,lm100_ls000_le000;lm080_ls020_le000;lm020_ls080_le000;lm000_ls100_le000,0.8,0.02186876050049635,0.06406399381160738,0.11090602708266509,0.18823607756293656
rough_seed_4,rough_perlin,4,4,lm080_ls020_le000;lm060_ls040_le000;lm020_ls080_le000;lm000_ls100_le000,0.8,0.026860635424611593,0.08186260461807249,0.10131288193470335,0.15396571032320125
rough_seed_25,rough_perlin,25,7,lm100_ls000_le000;lm080_ls000_le020;lm060_ls020_le020;lm060_ls000_le040;lm040_ls040_le020;lm040_ls020_le040;lm020_ls000_le080,0.8,0.01826920683430378,0.0524684572219849,0.08233369340363154,0.13852312398148353
rough_seed_12,rough_perlin,12,3,lm100_ls000_le000;lm080_ls000_le020;lm040_ls040_le020,0.8,0.026123337145604907,0.08341258668899532,0.0913345092246674,0.14660657941556096
rough_seed_6,rough_perlin,6,9,lm100_ls000_le000;lm080_ls020_le000;lm040_ls060_le000;lm040_ls020_le040;lm040_ls000_le060;lm020_ls080_le000;lm020_ls040_le040;lm000_ls080_le020;lm000_ls060_le040,0.8,0.024318955251665265,0.08186260461807249,0.07999057183688178,0.12816551007246907
rough_seed_29,rough_perlin,29,6,lm100_ls000_le000;lm080_ls020_le000;lm080_ls000_le020;lm060_ls040_le000;lm040_ls060_le000;lm040_ls040_le020,0.8,0.039327672044314206,0.12587610363960255,0.14127126239177348,0.2157699311377689
rough_seed_18,rough_perlin,18,2,lm040_ls040_le020;lm000_ls100_le000,0.8,0.040881540089481694,0.12686725449562064,0.13215684892031676,0.222976404496537
rough_seed_10,rough_perlin,10,10,lm100_ls000_le000;lm080_ls020_le000;lm080_ls000_le020;lm060_ls040_le000;lm060_ls020_le020;lm060_ls000_le040;lm040_ls020_le040;lm040_ls000_le060;lm020_ls040_le040;lm000_ls000_le100,0.8,0.05846809056280435,0.17162962913513188,0.14080927136506144,0.24579271241230943
rough_seed_8,rough_perlin,8,3,lm100_ls000_le000;lm080_ls020_le000;lm040_ls060_le000,0.8,0.03185586939267924,0.10211763763427734,0.13904054667983431,0.22890852594913713
rough_seed_22,rough_perlin,22,5,lm100_ls000_le000;lm080_ls020_le000;lm080_ls000_le020;lm040_ls040_le020;lm040_ls020_le040,0.8,0.03229416988136743,0.10150000333786008,0.12706122492412386,0.18276942504797955
rough_seed_20,rough_perlin,20,10,lm100_ls000_le000;lm080_ls020_le000;lm080_ls000_le020;lm060_ls020_le020;lm060_ls000_le040;lm040_ls020_le040;lm020_ls020_le060;lm000_ls060_le040;lm000_ls040_le060;lm000_ls000_le100,0.8,0.033410253635635344,0.11250001311302188,0.12017198228655322,0.20563640721785
rough_seed_28,rough_perlin,28,5,lm100_ls000_le000;lm060_ls040_le000;lm040_ls060_le000;lm000_ls100_le000;lm000_ls080_le020,0.8,0.04496555643989241,0.13832479476928705,0.1352546070971019,0.22898015455671245
rough_seed_17,rough_perlin,17,4,lm100_ls000_le000;lm060_ls040_le000;lm060_ls000_le040;lm020_ls060_le020,0.8,0.04138910317258634,0.12599998581409458,0.12457512674316608,0.19298766090581543
