beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy,group,terrain,seed,episode_index,raw_path,policy_steps,settling_steps,decision_time_s,progress_m,energy_abs_j,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,established_slip_fraction_ge_0p002,established_slip_fraction_ge_0p05,established_slip_fraction_ge_0p10,J_motion_s_per_m,J_stability_attitude,J_stability_slip,J_stability,J_stability_dominant,J_energy_j_per_m,context_id,source_stage,source_role,context_friction_mu,context_height_std_m,context_height_relief_p95_p05_m,context_slope_rms,context_slope_q95,pareto_rank,regret_motion,regret_stability,regret_energy
lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,flat,flat,27100,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm100_ls000_le000/flat/episode_0000.jsonl,38,5,7.6,1.7013071379891918,171.0662440332289,0.0031941105693340842,0.028181990490340196,0.005907732984521106,0.04440185660242956,0.03934686472389971,0.003515137770723137,0.000226783081982172,4.467153420035954,0.10764727422495432,0.03934686472389971,0.10764727422495432,attitude,100.54988909022944,flat,OS-T5.3b,frozen_existing_physical_row,0.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,low_friction,low_friction,27200,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm100_ls000_le000/low_friction/episode_0000.jsonl,38,5,7.6,1.6742948798906299,185.14915166500603,0.0028409590221638455,0.02712612316831215,0.009683075869299992,0.04481105030780741,0.25137314479378425,0.08531027229170884,0.05036811966811883,4.539224297512309,0.10361415813975515,0.25137314479378425,0.25137314479378425,slip,110.58335893441934,low_friction,OS-T5.3b,frozen_existing_physical_row,0.152,0.0,0.0,0.0,0.0,0,0.0,1.0,0.5941920981184179
lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,low_friction,low_friction,27200,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls020_le000/low_friction/episode_0000.jsonl,38,5,7.6,1.6730723469352264,184.89467170129905,0.002841220713224474,0.027114654466108383,0.009629220888097015,0.04470784641249037,0.2509052680762073,0.08562083868708718,0.049643733208747966,4.542541160232466,0.10357035092423726,0.2509052680762073,0.2509052680762073,slip,110.51206006721317,low_friction,OS-T5.3b,frozen_existing_physical_row,0.152,0.0,0.0,0.0,0.0,1,0.12004539642447351,0.7237294812464607,0.22756768461331556
lm060_ls040_le000,0.48,0.37,0.15,0.6,0.4,0.0,low_friction,low_friction,27200,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls040_le000/low_friction/episode_0000.jsonl,38,5,7.6,1.672285181217058,184.95337807358572,0.0029230306377957013,0.027113898164015365,0.009923414105634104,0.04468536278107482,0.2505255781359973,0.08584442887177687,0.05092268161645563,4.544679391626769,0.10356746206303948,0.2505255781359973,0.2505255781359973,slip,110.59918496615518,low_friction,OS-T5.3b,frozen_existing_physical_row,0.152,0.0,0.0,0.0,0.0,2,0.19743323458139905,0.49953124096951407,0.6755708048303816
lm040_ls060_le000,0.37,0.48,0.15,0.4,0.6,0.0,low_friction,low_friction,27200,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm040_ls060_le000/low_friction/episode_0000.jsonl,38,5,7.6,1.671350957291653,184.89688471730457,0.0029226184169102547,0.02712718067309844,0.009918411555085441,0.04466344613537543,0.25017519271203076,0.08596122401309901,0.050922681616455676,4.547219700831385,0.10361819751049309,0.25017519271203076,0.25017519271203076,slip,110.62720484327328,low_friction,OS-T5.3b,frozen_existing_physical_row,0.152,0.0,0.0,0.0,0.0,3,0.289373254786527,0.2926366484276484,0.8196512287900357
lm020_ls080_le000,0.26,0.59,0.15,0.2,0.8,0.0,low_friction,low_friction,27200,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm020_ls080_le000/low_friction/episode_0000.jsonl,38,5,7.6,1.6702606559221165,184.83484898150815,0.002926937986263713,0.02713167183415182,0.009949098979391807,0.04462998930136197,0.24997079780404255,0.08562083868708713,0.0506950122649332,4.550188003922176,0.10363535248205791,0.24997079780404255,0.24997079780404255,slip,110.6622779661086,low_friction,OS-T5.3b,frozen_existing_physical_row,0.152,0.0,0.0,0.0,0.0,4,0.39680342338423646,0.17194612218620497,1.0
lm000_ls080_le020,0.15,0.59,0.26,0.0,0.8,0.2,low_friction,low_friction,27200,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm000_ls080_le020/low_friction/episode_0000.jsonl,38,5,7.6,1.6641651754594964,183.83667259223864,0.002926704147814697,0.02719780499931404,0.009850914353247793,0.04467590120171305,0.2496795992077843,0.08644995922173546,0.0520796924152507,4.566854367627028,0.10388796256536703,0.2496795992077843,0.2496795992077843,slip,110.4678040997217,low_friction,OS-T5.3b,frozen_existing_physical_row,0.152,0.0,0.0,0.0,0.0,5,1.0,0.0,0.0
lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0,rough,rough_perlin,13,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm100_ls000_le000/rough/episode_0000.jsonl,37,5,7.4,1.6720258715629854,247.89785759817238,0.008121959065137489,0.12791446553201682,0.01729239652561013,0.19180601305535716,0.10512266429390613,0.010296173890938742,0.0011440193212153968,4.425768838781536,0.48859726757708033,0.10512266429390613,0.48859726757708033,attitude,148.2619747782019,rough_seed_13,OS-T5.3b,frozen_existing_physical_row,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,0,0.0,0.8099072147082177,1.0
lm080_ls020_le000,0.59,0.26,0.15,0.8,0.2,0.0,rough,rough_perlin,13,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm080_ls020_le000/rough/episode_0000.jsonl,37,5,7.4,1.6692545402779353,246.06198662497684,0.008164640307936224,0.12718033710656135,0.01707128804930671,0.18990563743673317,0.10645325203254057,0.008892276422765969,0.001270325203252247,4.433116592732395,0.4857931035504681,0.10645325203254057,0.4857931035504681,attitude,147.4083075334975,rough_seed_13,OS-T5.3b,frozen_existing_physical_row,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,1,0.07933641749090085,0.527836600435501,0.7091206495906697
lm060_ls000_le040,0.48,0.15,0.37,0.6,0.0,0.4,rough,rough_perlin,13,0,results/icra27/os_t5p3_train_beta_response_atlas_v0/env_logs/lm060_ls000_le040/rough/episode_0000.jsonl,37,5,7.4,1.6529444211644897,241.80401387817483,0.008322280366212588,0.12785243098857837,0.017042058214498487,0.18898551985993306,0.10630795350661566,0.010186757215621723,0.0013059945148232585,4.476859539407105,0.48836031307554406,0.10630795350661566,0.48836031307554406,attitude,146.28683867532902,rough_seed_13,OS-T5.3b,frozen_existing_physical_row,0.8,0.057342560135515086,0.17930769038200378,0.1402044779409948,0.2214621045737986,2,0.5516451941425174,0.7860719821152907,0.32699033477310696
