fold,test_context,train_contexts,train_rows,test_rows,final_train_loss,lambda_mae_mean,beta_mae_mean,projected_exact_accuracy,canonical_exact_accuracy,score_excess_mean,score_excess_p95,score_excess_max,score_excess_le_0p01_fraction,score_excess_le_0p05_fraction
0,rough_seed_13,19,475,25,0.00602731155231595,0.45422703380541257,0.24982486992081007,0.04,0.0,0.27653756491983944,0.661742606523447,1.008257786451127,0.04,0.16
1,rough_seed_7,19,475,25,0.007716435007750988,0.47761390731597614,0.2626876541177432,0.04,0.0,0.24214272114299853,0.6136229364963418,0.7794732005403836,0.08,0.28
2,rough_seed_15,19,475,25,0.006561115849763155,0.29007896500988334,0.15954343570272128,0.0,0.0,0.3779897389370689,0.8242898993998681,0.9819277714034305,0.0,0.04
3,rough_seed_0,19,475,25,0.006386205554008484,0.35377749692959093,0.19457762649655347,0.08,0.0,0.3123189879564981,0.7795714418436768,0.8124033495813985,0.16,0.16
4,rough_seed_5,19,475,25,0.005971006583422422,0.4050151489608719,0.22275833520293237,0.04,0.25,0.12225014038578572,0.37795628931528524,0.4738927507457281,0.12,0.4
5,rough_seed_11,19,475,25,0.00733601301908493,0.39810611582503874,0.21895836541056632,0.2,0.25,0.34995409807455063,0.9565606467153653,1.012615569217469,0.28,0.4
6,rough_seed_4,19,475,25,0.008549476973712444,0.516417043646652,0.28402937641739845,0.0,0.0,1.5711458251907016,3.7457660948503384,4.754650046730866,0.0,0.0
7,rough_seed_25,19,475,25,0.005997533909976482,0.36600802986814807,0.20130442239840826,0.16,0.0,0.39436203142804094,0.8745533889624364,1.0885700623665435,0.2,0.24
8,rough_seed_12,19,475,25,0.005057098809629679,0.3732515490609512,0.20528835196296374,0.08,0.0,0.6184206669565949,1.3074352947992867,1.4824633343406592,0.08,0.12
9,rough_seed_6,19,475,25,0.006439356133341789,0.4116255308743503,0.22639404451847078,0.2,0.0,0.18220732408226414,0.577408630749366,0.8511181909438124,0.24,0.4
10,rough_seed_29,19,475,25,0.006740115117281675,0.2853759204303303,0.15695676376422246,0.04,0.0,0.2878902108877544,0.5955194974348624,0.7069367766043643,0.08,0.12
11,rough_seed_18,19,475,25,0.006604047492146492,0.2861009668520031,0.15735553106665612,0.32,0.5,0.8862055886049793,3.307017027663436,6.695383167974518,0.32,0.32
12,rough_seed_10,19,475,25,0.009182156063616276,0.5514153977575271,0.30327846989035606,0.0,0.0,0.4639783894272513,0.9504449471361461,1.062623275136013,0.0,0.0
13,rough_seed_8,19,475,25,0.006466824561357498,0.44181046270773855,0.24299576010306673,0.0,0.0,1.015766131140877,1.9590230209658246,2.2896861099219734,0.0,0.0
14,rough_seed_22,19,475,25,0.005877096671611071,0.34610799440073003,0.19035939619938533,0.04,0.25,0.5158137366763791,1.2794848253135862,1.647500555344415,0.08,0.12
15,rough_seed_20,19,475,25,0.005151311866939068,0.3416619560161386,0.18791408116618794,0.0,0.0,0.40593235212618756,0.9013807845803786,0.9764442145058237,0.0,0.0
16,rough_seed_28,19,475,25,0.00591182429343462,0.12471096182769846,0.06859102843205137,0.52,0.5,0.22006443855074817,0.2959361167945541,4.092083965114505,0.56,0.6
17,rough_seed_17,19,475,25,0.008103268221020699,0.4544329555849739,0.24993812704086305,0.0,0.0,0.3785624161540745,1.236675400261774,1.743131004671009,0.0,0.0
