variant,context_id,preference_name,preference_kind,w_motion,w_stability,w_energy,selected_beta_name,shadow_score,best_second_margin,frozen_beta_name,changed_from_frozen,frozen_oracle_score,shadow_beta_frozen_score,frozen_score_sacrifice
baseline,flat,wm100_ws000_we000,grid,1.0,0.0,0.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm080_ws020_we000,grid,0.8,0.2,0.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm080_ws000_we020,grid,0.8,0.0,0.2,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm060_ws040_we000,grid,0.6,0.4,0.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm060_ws020_we020,grid,0.6,0.2,0.2,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm060_ws000_we040,grid,0.6,0.0,0.4,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm040_ws060_we000,grid,0.4,0.6,0.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm040_ws040_we020,grid,0.4,0.4,0.2,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm040_ws020_we040,grid,0.4,0.2,0.4,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm040_ws000_we060,grid,0.4,0.0,0.6,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm020_ws080_we000,grid,0.2,0.8,0.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm020_ws060_we020,grid,0.2,0.6,0.2,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm020_ws040_we040,grid,0.2,0.4,0.4,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm020_ws020_we060,grid,0.2,0.2,0.6,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm020_ws000_we080,grid,0.2,0.0,0.8,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm000_ws100_we000,grid,0.0,1.0,0.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm000_ws080_we020,grid,0.0,0.8,0.2,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm000_ws060_we040,grid,0.0,0.6,0.4,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm000_ws040_we060,grid,0.0,0.4,0.6,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm000_ws020_we080,grid,0.0,0.2,0.8,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,wm000_ws000_we100,grid,0.0,0.0,1.0,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
baseline,flat,balanced,canonical,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm100_ls000_le000,0.0,inf,lm100_ls000_le000,0,0.0,0.0,0.0
