pc,singular_value,explained_variance_ratio,cumulative_explained_variance
1,1.0275259381720743,0.6699023399822925,0.6699023399822925
2,0.42345608116118416,0.11377390265870227,0.7836762426409948
3,0.33597721062751335,0.07162185213430478,0.8552980947752995
4,0.2938271800319688,0.054778462875082284,0.9100765576503818
5,0.22035543449699377,0.030808704648962265,0.940885262299344
6,0.17371758124603223,0.019147560702804284,0.9600328230021483
7,0.13683674582460395,0.011880408732166435,0.9719132317343148
8,0.10737673167727328,0.0073155379732528615,0.9792287697075677
9,0.08999425925752665,0.005138726700022131,0.9843674964075898
10,0.08159086008898171,0.004223854308612943,0.9885913507162027
11,0.0768892030854728,0.0037510825930552674,0.992342433309258
12,0.060454516626035175,0.002318907437169403,0.9946613407464274
13,0.04967017841283278,0.0015653712286427166,0.9962267119750702
14,0.046042454427204345,0.0013450636655137347,0.9975717756405839
15,0.041985554799939095,0.0011184735032082366,0.9986902491437921
16,0.03768213682307827,0.0009009422455606786,0.9995911913893528
17,0.025383240443899387,0.00040880861064709006,0.9999999999999999
