fold,held_context,rough_pca_train_contexts,pca_rank,k95,k95_explained_variance,selector_context_dim,selector_input_dim
1,rough_seed_13,17,16,6,0.9551316101869018,7,10
2,rough_seed_7,17,16,6,0.9617853073716038,7,10
3,rough_seed_15,17,16,6,0.9606309127785133,7,10
4,rough_seed_0,17,16,6,0.9627390765219628,7,10
5,rough_seed_5,17,16,6,0.9631899341097631,7,10
6,rough_seed_11,17,16,6,0.9624515578724525,7,10
7,rough_seed_4,17,16,6,0.9632155007360184,7,10
8,rough_seed_25,17,16,6,0.9609919383363333,7,10
9,rough_seed_12,17,16,6,0.9627202199121234,7,10
10,rough_seed_6,17,16,6,0.9614045923216937,7,10
11,rough_seed_29,17,16,6,0.9635856524448488,7,10
12,rough_seed_18,17,16,6,0.9599784118002878,7,10
13,rough_seed_10,17,16,6,0.9564119834404229,7,10
14,rough_seed_8,17,16,5,0.950098672927222,6,9
15,rough_seed_22,17,16,6,0.9653679046520501,7,10
16,rough_seed_20,17,16,6,0.9613761377437539,7,10
17,rough_seed_28,17,16,6,0.960597481309616,7,10
18,rough_seed_17,17,16,6,0.9630870391133157,7,10
