fold,held_context,pca_rank,k95,k95_explained_variance,train_final_loss,train_lambda_mae,train_projected_exact,test_lambda_mae,test_beta_mae,test_projected_exact,test_score_excess_mean,test_score_excess_p95,test_score_excess_max,test_score_excess_le_0p05_fraction
1,rough_seed_13,16,6,0.9551316101869018,0.0030501794535666704,0.024418744900652066,0.9410526315789474,0.506422675847899,0.2785324717163445,0.0,0.18719236641743553,0.6018647023037372,0.8175038639219216,0.4
2,rough_seed_7,16,6,0.9617853073716038,0.00332850543782115,0.02505099883807316,0.9305263157894736,0.34552614279830834,0.1900393785390696,0.04,0.2597743537485096,0.5092705981054324,0.8239371052500434,0.04
3,rough_seed_15,16,6,0.9606309127785133,0.0024037857074290514,0.020885648086432996,0.9515789473684211,0.4656048412569993,0.2560826626913496,0.0,0.6200644230719811,1.09692473298913,1.5480987026785247,0.04
4,rough_seed_0,16,6,0.9627390765219628,0.003364980686455965,0.02816766897281179,0.9263157894736842,0.4456184491222984,0.24509014701726417,0.12,0.2431545521861394,0.6337512762456708,0.7053301767905286,0.28
5,rough_seed_5,16,6,0.9631899341097631,0.0032543540000915527,0.02745672755275509,0.9410526315789474,0.3566987245948175,0.1961842985271497,0.04,0.162057227145299,0.4388736777400915,0.46697202481513445,0.24
6,rough_seed_11,16,6,0.9624515578724525,0.003693391801789403,0.03126489185061971,0.9031578947368422,0.37831795340568064,0.2080748743731244,0.24,0.3243770344763112,0.9677356088881005,1.0955881550229056,0.44
7,rough_seed_4,16,6,0.9632155007360184,0.004899188410490751,0.030721952678262835,0.9221052631578948,0.34268652806671407,0.1884775904366927,0.0,10.516238941878255,19.614848097354685,19.64331281170876,0.0
8,rough_seed_25,16,6,0.9609919383363333,0.0031887181103229523,0.026525007261991643,0.9326315789473684,0.26132279121765944,0.14372753516971273,0.2,0.18782786716522254,0.5336456853396148,0.7850365746565307,0.28
9,rough_seed_12,16,6,0.9627202199121234,0.0036121017765253782,0.027461112228154637,0.9221052631578948,0.4782933247663835,0.26306132862151094,0.04,1.0103468653701595,2.017349388150348,2.199148471729092,0.04
10,rough_seed_6,16,6,0.9614045923216937,0.002433744492009282,0.02457764350191548,0.9389473684210526,0.421332820691649,0.23173305138040695,0.2,0.18220732408226414,0.577408630749366,0.8511181909438124,0.4
11,rough_seed_29,16,6,0.9635856524448488,0.005034336820244789,0.025747887267524333,0.9452631578947368,0.19199999044248706,0.10559999474336788,0.08,0.35631737179130435,0.7140167241140026,1.01,0.12
12,rough_seed_18,16,6,0.9599784118002878,0.0037044251803308725,0.02580540293519409,0.9284210526315789,0.576370672407898,0.3170038698243439,0.0,5.1505231923397,12.343160095940199,14.50723220618393,0.0
13,rough_seed_10,16,6,0.9564119834404229,0.0031279721297323704,0.02349479556646616,0.9389473684210526,0.5466646953192253,0.30066558242557395,0.0,0.46970883080578224,0.965519035509947,1.062623275136013,0.0
14,rough_seed_8,16,5,0.950098672927222,0.0030393912456929684,0.024835049787841307,0.9326315789473684,0.37227256902887396,0.20474991296588066,0.2,0.724300876683057,1.8969767853383206,3.0721721139648412,0.32
15,rough_seed_22,16,6,0.9653679046520501,0.002085228217765689,0.0215815951368161,0.9515789473684211,0.3369168922481339,0.1853042907364737,0.04,0.3816762631633191,0.9910511066174457,1.1399914446873924,0.2
16,rough_seed_20,16,6,0.9613761377437539,0.0033817484509199858,0.02621748116486877,0.9305263157894736,0.39108712510198046,0.21509791880608925,0.0,0.3346483777655829,0.7235419396958532,0.968394382057411,0.04
17,rough_seed_28,16,6,0.960597481309616,0.004124634433537722,0.03272013933242907,0.8947368421052632,0.17416680072484692,0.09579174039866584,0.12,0.49389343048133205,1.4837311548122325,2.0324920011103353,0.12
18,rough_seed_17,16,6,0.9630870391133157,0.0024997093714773655,0.026716037637373912,0.9368421052631579,0.13279254005173532,0.07303589702845444,0.68,0.04690614603607158,0.2991058921061786,0.3455529242874985,0.8
