fold,held_context,pca_rank,k95,k95_explained_variance,model_input_dim,train_final_loss,train_log_mae,train_regret_mae,train_regret_abs_error_p95,train_preclip_negative_log_fraction,held_log_mae,held_log_abs_error_p95,held_regret_mae,held_regret_abs_error_p95,held_preclip_negative_log_fraction,predicted_pareto_count,selector_exact,selector_score_excess_mean,selector_score_excess_p95,selector_physical_linf_mean_iqr,selector_physical_linf_p95_iqr
1,rough_seed_13,16,6,0.9551316101869018,10,0.00535286171361804,0.04056952823107092,0.21200083926444735,0.5289661206059335,0.018379281537176273,1.7992643871148724,4.551644201756404,26.311873839321198,146.88449444646798,0.0,8,0.04,0.41781132932365667,0.9310753443991538,0.17065378663496666,0.39612668822245733
2,rough_seed_7,16,6,0.9617853073716038,10,0.003594890469685197,0.02755341076760067,0.09701341560087788,0.23580272841666675,0.053467000835421885,1.4597817044399362,2.457183881504908,4.701596921833247,18.729757115155724,0.3333333333333333,6,0.08,0.3080896730876506,0.7134040011365701,0.27398301563490846,0.6433561917597133
3,rough_seed_15,16,6,0.9606309127785133,10,0.002696581417694688,0.024866139396113072,0.09453653045375397,0.21083064717536854,0.03926482873851295,1.6612967477651759,3.449442110856652,12.990733468314946,39.7624724516777,0.0,3,0.36,0.10900711662479061,0.3718437178723686,0.09341674520142508,0.25795683047878387
4,rough_seed_0,16,6,0.9627390765219628,10,0.0037675804924219847,0.02774137296917029,0.13046051384959903,0.26197991758253397,0.04594820384294068,0.7128073617522771,1.5646855250882425,0.7456119042598377,1.5899508870334915,0.5079365079365079,1,0.08,0.11064056689928453,0.4239198926735375,0.14838856305228526,0.44267053724241057
5,rough_seed_5,16,6,0.9631899341097631,10,0.002423269208520651,0.022181998807568135,0.07639149302063941,0.17517650539020152,0.04427736006683375,0.40812458915444894,1.0661262721522986,0.4291362230614795,1.0699872106318602,0.31746031746031744,1,0.04,0.16262321466948015,0.5551511630342526,0.2883595730012971,0.7288965129231701
6,rough_seed_11,16,6,0.9624515578724525,10,0.001506273401901126,0.020718834969771595,0.0808172171852553,0.1689968079942502,0.03007518796992481,0.8944072857091863,2.054481709812262,2.1616135288184175,5.478155675148954,0.2698412698412698,1,0.0,1.484506206209328,2.962639661621531,0.23607082001072946,0.30452153010508104
7,rough_seed_4,16,6,0.9632155007360184,10,0.002051959279924631,0.018804201991303136,0.04034066031186879,0.12939500279522845,0.04344193817878028,1.308938849598211,3.6678993118058374,16.334630632537646,99.05507583556721,0.2698412698412698,2,0.0,10.804245832245785,25.41024639383327,0.2002674777448167,0.20274215358069567
8,rough_seed_25,16,6,0.9609919383363333,10,0.0050609833560884,0.033890539517041005,0.15346813310839227,0.35949483558522255,0.01670843776106934,0.4416391018464884,0.8531835590254246,0.5764420835923503,1.3856260946973873,0.42857142857142855,2,0.04,0.4545020896842685,0.9664399821227891,0.294006618405948,0.3843521074549647
9,rough_seed_12,16,6,0.9627202199121234,10,0.0035840885248035192,0.027583780806097375,0.09752839533364947,0.25353885197078463,0.050960735171261484,0.9367121653425461,1.7487948789290253,1.3573631150044634,2.627524778209268,0.4603174603174603,4,0.0,0.9106614189206642,1.7051519136283906,0.2531937823402907,0.3032527968487113
10,rough_seed_6,16,6,0.9614045923216937,10,0.002632438438013196,0.02357026814089963,0.08532306048373342,0.20404803030986438,0.04427736006683375,1.3321960203025702,2.3722430575195896,0.700758420607168,1.9267378823737331,0.9682539682539683,19,0.04,0.3336893628223304,0.7054441386295122,0.1041501086956663,0.34147847895761263
