policy,checkpoint,trained_reward_mode,eval_reward_mode,group,terrain,seed,status,settled,settling_steps,success,m4_terminal,m4_interventions,policy_steps,initial_goal_distance_m,final_goal_distance_m,progress_m,decision_time_s,energy_abs_j,energy_bracket_time_s,mean_cost_motion,mean_cost_stability,mean_cost_energy,sum_cost_motion,sum_cost_stability,sum_cost_energy,mean_progress_rate_mps,mean_energy_power_ratio,roll_rms_rad,pitch_rms_rad,max_abs_roll_rad,max_abs_pitch_rad,mean_action_vx_norm,mean_abs_action_yaw_norm,mean_action_height_norm,mean_requested_vx_mps,mean_abs_requested_yaw_rps,mean_requested_height_m,mean_requested_clearance_m,mean_applied_vx_mps,mean_abs_applied_yaw_rps,mean_applied_height_m,mean_applied_clearance_m,beta_name,beta_motion,beta_stability,beta_energy,lambda_motion,lambda_stability,lambda_energy
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,30,success,True,5,True,False,0,38,1.8091958132882031,0.1357041910831747,1.6734916222050285,7.6,212.88711516575236,7.6,0.22475466740048877,0.04596155314261587,0.6410808632785838,8.540677361218574,1.7465390194194033,24.361072804586186,0.220196266079609,1.2821617265571679,0.009202564732131746,0.04640920733088099,0.018613124266266823,0.0994625836610794,0.07309106051137573,0.01995603387293063,-0.0324857136430709,0.21461821210227514,0.00798241354917225,0.2980508571814157,0.060000000000000005,0.21461821210227514,0.00798241354917225,0.2980508571814157,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,31,success,True,5,True,False,0,37,1.8024137735751302,0.1420571657783149,1.6603566077968153,7.4,211.71201981434183,7.4,0.21953435679107852,0.11134724856045917,0.6547730928218672,8.122771201269906,4.1198481967369895,24.226604434409087,0.22437251456713717,1.3095461856437343,0.0060031209771720115,0.08082048757667805,0.01768338307738304,0.1270136833190918,0.07197831772469185,0.01924261762729116,-0.033551573904382216,0.2143956635449384,0.007697047050916465,0.297986905565737,0.060000000000000005,0.2143956635449384,0.007697047050916465,0.297986905565737,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,32,success,True,5,True,False,0,39,1.802586193737586,0.11522607397146035,1.6873601197661257,7.800000000000001,196.310843206913,7.800000000000001,0.22958972439645428,0.029941002432571084,0.5760056113294542,8.953999251461717,1.1676990948702723,22.464218841848712,0.2163282204828366,1.1520112226589085,0.009360646682410772,0.045025668527933424,0.032870955765247345,0.06972754746675491,0.07247868371315491,0.01806572585617407,-0.034917065825981974,0.21449573674263098,0.00722629034246963,0.29790497605044114,0.060000000000000005,0.21449573674263098,0.00722629034246963,0.29790497605044114,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,33,success,True,5,True,False,0,37,1.8144236733210037,0.14059563099347208,1.6738280423275316,7.4,211.30585741007874,7.4,0.21725877663386295,0.1111371500002358,0.6535169326196241,8.03857473545293,4.112074550008725,24.18012650692609,0.2261929786929097,1.307033865239248,0.006816021533494661,0.08309708558844917,0.0163889117538929,0.17917782068252563,0.07316273974405753,0.019827270213313198,-0.03264035475817886,0.2146325479488115,0.007930908085325282,0.29804157871450926,0.060000000000000005,0.2146325479488115,0.007930908085325282,0.29804157871450926,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,34,m4,True,5,False,True,1,9,1.8006155508699786,1.388221519836948,0.4123940310330305,1.7039999999999238,108.45557639924371,1.7039999999999238,0.2012257437542708,1.6980238239013428,1.378975055326189,1.8110316937884372,15.282214415112085,12.4107754979357,0.23901940499658336,3.5732359021566333,0.02355186065176076,0.16058052958325778,0.052731193602085114,0.26183101534843445,0.07061436358425352,0.035885264062219195,-0.017699330631229613,0.21412287271685074,0.014354105624887679,0.2989380401621262,0.060000000000000005,0.21412287271685074,0.014354105624887679,0.2989380401621262,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,35,success,True,5,True,False,0,38,1.8310988114736846,0.1433095857552906,1.687789225718394,7.6,225.27519385393074,7.6,0.22240308787526417,0.1291239115970741,0.6783858930996559,8.451317339260038,4.906708640688816,25.778663937786924,0.2220775296997887,1.356771786199312,0.011187304714878743,0.08607385100930508,0.02774142473936081,0.14855188131332397,0.07285614448942636,0.020367631526345287,-0.032187670518301036,0.21457122889788527,0.008147052610538115,0.29806873976890186,0.060000000000000005,0.21457122889788527,0.008147052610538115,0.29806873976890186,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,36,success,True,5,True,False,0,39,1.8339173015102326,0.13429503788955757,1.699622263620675,7.800000000000001,214.44807650897246,7.800000000000001,0.22762463724027646,0.05925192081509824,0.6292229883490534,8.877360852370781,2.3108249117888313,24.539696545613083,0.21790029020777885,1.2584459766981066,0.011742634771952016,0.06233719005717192,0.033345747739076614,0.17757941782474518,0.07377857390122536,0.019467714878443915,-0.03298067358823923,0.21475571478024508,0.007787085951377566,0.2980211595847056,0.060000000000000005,0.21475571478024508,0.007787085951377566,0.2980211595847056,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,37,success,True,5,True,False,0,39,1.830505723311209,0.12286001741723634,1.7076457058939727,7.800000000000001,239.47762301347672,7.800000000000001,0.22633882918365827,0.1468980396708046,0.7026634514437494,8.827214338162673,5.729023547161379,27.40387460630623,0.2189289366530734,1.4053269028874993,0.0089435081255551,0.0854276969999837,0.028768224641680717,0.14576704800128937,0.07495728746438637,0.020101755379866332,-0.03299168172555092,0.2149914574928773,0.008040702151946534,0.29802049909646694,0.060000000000000005,0.2149914574928773,0.008040702151946534,0.29802049909646694,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,38,success,True,5,True,False,0,37,1.7964071418518759,0.1330487326875761,1.6633584091643,7.4,246.53031427203928,7.4,0.2190272957492737,0.255936324338513,0.7624574952891505,8.104009942723128,9.46964400052498,28.21092732569857,0.22477816340058102,1.5249149905783008,0.007811253155214139,0.12378077876290086,0.017876992002129555,0.24731102585792542,0.07109317284178089,0.019505704285866406,-0.03317046505273194,0.21421863456835616,0.0078022817143465605,0.29800977209683605,0.060000000000000005,0.21421863456835616,0.0078022817143465605,0.29800977209683605,0.060000000000000005,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
beta_conditioned,/mnt/share/nas/Yoo/Tracer/TRACER-ICRA27/results/icra27/phase1a_beta_conditioned_v4_seed27027/checkpoint_update_0030.pt,tracer_cost_v4,tracer_cost_v4,rough,rough_perlin,39,success,True,5,True,False,0,41,1.8828988144571281,0.1193209082822502,1.763577906174878,8.200000000000001,228.390598831936,8.200000000000001,0.23116190454651253,0.2080779443464002,0.6374430630783308,9.477638086407014,8.531195718202408,26.135165586211563,0.21507047636278998,1.2748861261566615,0.013000666070029285,0.08331081231244798,0.03473088890314102,0.15829671919345856,0.07666219789080503,0.018070389842472563,-0.03585559579475624,0.215332439578161,0.0072281559369890246,0.29784866425231465,0.06,0.215332439578161,0.0072281559369890246,0.29784866425231465,0.06,lm100_ls000_le000,0.7,0.15,0.15,1.0,0.0,0.0
