context_id,seed,beta_rows,feasible_beta_rows,success_rows,m4_rows,time_limit_rows,full_grid_eligible,eligibility
rough_seed_30,30,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_31,31,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_32,32,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_33,33,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_34,34,21,0,0,16,5,0,zero_feasible_beta
rough_seed_35,35,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_36,36,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_37,37,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_38,38,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_39,39,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_40,40,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_41,41,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_42,42,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_43,43,21,0,0,0,21,0,zero_feasible_beta
rough_seed_44,44,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_45,45,21,21,21,0,0,1,full_21_beta_eligible
rough_seed_46,46,21,20,20,0,1,0,partial_beta_response
rough_seed_47,47,21,21,21,0,0,1,full_21_beta_eligible
