context_id,context_index,source_stage,beta_points,pareto_count,pareto_span_motion,pareto_span_stability,pareto_span_energy,distinct_selected_betas,selected_beta_histogram
flat,0,T5.5c_frozen,21,1,0.0,0.0,0.0,1,"{""lm100_ls000_le000"": 25}"
low_friction,1,T5.5c_frozen,21,6,0.02763007011471874,0.0016935455859999615,0.19447386638690034,6,"{""lm100_ls000_le000"": 1, ""lm080_ls020_le000"": 8, ""lm060_ls040_le000"": 2, ""lm040_ls060_le000"": 3, ""lm020_ls080_le000"": 2, ""lm000_ls080_le020"": 9}"
rough_seed_13,2,T5.5c_frozen,21,9,0.09261514677923444,0.009941354698866423,2.934781185062178,8,"{""lm100_ls000_le000"": 1, ""lm080_ls020_le000"": 5, ""lm060_ls000_le040"": 1, ""lm040_ls060_le000"": 7, ""lm040_ls020_le040"": 1, ""lm040_ls000_le060"": 4, ""lm020_ls060_le020"": 1, ""lm020_ls000_le080"": 5}"
rough_seed_7,3,T5.5c_frozen,21,12,0.1081103600511435,0.006595162252554798,3.108620209364858,9,"{""lm100_ls000_le000"": 1, ""lm080_ls020_le000"": 3, ""lm040_ls040_le020"": 1, ""lm040_ls020_le040"": 3, ""lm020_ls080_le000"": 1, ""lm020_ls020_le060"": 9, ""lm000_ls100_le000"": 3, ""lm000_ls060_le040"": 3, ""lm000_ls040_le060"": 1}"
rough_seed_15,4,T5.5c_frozen,21,11,0.050192635044085776,0.0049408708181834515,2.6765988887828485,8,"{""lm080_ls020_le000"": 1, ""lm060_ls040_le000"": 6, ""lm040_ls060_le000"": 2, ""lm020_ls060_le020"": 1, ""lm020_ls040_le040"": 1, ""lm000_ls080_le020"": 9, ""lm000_ls060_le040"": 1, ""lm000_ls040_le060"": 4}"
rough_seed_0,5,T5.5c_frozen,21,8,0.0783906048561569,0.004373205023359528,4.599369556823746,6,"{""lm100_ls000_le000"": 14, ""lm080_ls020_le000"": 1, ""lm060_ls040_le000"": 2, ""lm060_ls000_le040"": 2, ""lm000_ls060_le040"": 2, ""lm000_ls040_le060"": 4}"
rough_seed_5,6,T5.5c_frozen,21,14,0.12011998019848402,0.010439644809597304,2.1267736347850246,9,"{""lm100_ls000_le000"": 1, ""lm080_ls020_le000"": 1, ""lm060_ls040_le000"": 1, ""lm060_ls020_le020"": 9, ""lm020_ls060_le020"": 4, ""lm020_ls040_le040"": 3, ""lm000_ls100_le000"": 1, ""lm000_ls080_le020"": 1, ""lm000_ls040_le060"": 4}"
rough_seed_11,7,T5.5c_frozen,21,4,0.016114635318148274,0.004028559206461169,0.3012718927170397,4,"{""lm100_ls000_le000"": 5, ""lm080_ls020_le000"": 2, ""lm020_ls080_le000"": 11, ""lm000_ls100_le000"": 7}"
rough_seed_4,8,T5.5c_frozen,21,4,0.0010393281577094626,0.0012160711669227664,0.3238326156378406,4,"{""lm080_ls020_le000"": 1, ""lm060_ls040_le000"": 2, ""lm020_ls080_le000"": 12, ""lm000_ls100_le000"": 10}"
rough_seed_25,9,T5.5c_frozen,21,7,0.06198177802761773,0.004599355329792443,0.4516637212268364,6,"{""lm100_ls000_le000"": 5, ""lm080_ls000_le020"": 4, ""lm060_ls000_le040"": 4, ""lm040_ls040_le020"": 10, ""lm040_ls020_le040"": 1, ""lm020_ls000_le080"": 1}"
rough_seed_12,10,T5.5c_frozen,21,3,0.022673366949542917,0.001744850378464502,0.7567600239188437,3,"{""lm100_ls000_le000"": 16, ""lm080_ls000_le020"": 1, ""lm040_ls040_le020"": 8}"
