fold,held_context,pca_rank,k95,k95_explained_variance,model_input_dim,train_final_loss,train_log_mae,train_regret_mae,train_regret_abs_error_p95,train_preclip_negative_log_fraction,held_log_mae,held_log_abs_error_p95,held_regret_mae,held_regret_abs_error_p95,held_preclip_negative_log_fraction,predicted_pareto_count,selector_exact,selector_score_excess_mean,selector_score_excess_p95,selector_physical_linf_mean_iqr,selector_physical_linf_p95_iqr
1,rough_seed_13,31,8,0.9581400601584364,12,0.011041746474802494,0.04281915008437388,0.14056995569097544,0.3601629698174324,0.038748832866479926,1.229621250996705,3.750787439979078,11.275043282253959,71.92674664956068,0.2222222222222222,1,0.0,0.346722114667282,0.762349107067572,0.20798388423233316,0.49954134902862907
2,rough_seed_7,31,8,0.9602598043156148,12,0.012147460132837296,0.04405327809540648,0.13507973661466116,0.34264494118926614,0.032679738562091505,0.4507715245815077,1.0927332125410807,0.8252599713340056,2.8084440005773983,0.2857142857142857,1,0.0,0.30860830190395716,0.7699997473158011,0.25866923612674025,0.4190308281398066
3,rough_seed_15,31,8,0.9595243674745798,12,0.013825020752847195,0.04602415216081629,0.125453670796489,0.3727469680519682,0.03454715219421102,1.246223754392535,2.6894983947680355,5.655273209460474,19.949150494739108,0.047619047619047616,4,0.04,0.34125801523726307,0.6837614707825612,0.22894540514022627,0.4755620616814642
4,rough_seed_0,31,8,0.9612288228081406,12,0.013275988399982452,0.04552578239883157,0.13409727049232864,0.39090544326802146,0.03454715219421102,0.43547328878802966,1.1001251536607835,0.5944752219730717,1.7340264134304395,0.25396825396825395,2,0.16,0.37647998634711954,0.7951736705814897,0.4333008353517623,0.71003458394881
5,rough_seed_5,31,8,0.9605849566755412,12,0.012354477308690548,0.04491802978354835,0.14900738940434113,0.3517307453804958,0.038748832866479926,0.3992145238198018,0.8960711332608934,0.6212182198148161,2.8129562186873827,0.20634920634920634,14,0.08,0.12500175499627417,0.3979362949959382,0.22061122801835148,0.6281413916267925
6,rough_seed_11,31,8,0.9618845752927622,12,0.01366170309484005,0.04473601972146359,0.13627974176977986,0.35903036122257187,0.029411764705882353,1.0241238794270664,2.5928164804003995,2.08246267353937,4.807475526011717,0.36507936507936506,1,0.0,1.9604789871074015,3.737551217376434,0.33012843134681064,0.3985791414411622
7,rough_seed_4,31,8,0.9612356345712387,12,0.008373758755624294,0.03505526897187447,0.08045299589860738,0.24221937879466646,0.03454715219421102,1.3394758789643102,3.440254811086931,16.890652740782198,98.33867336390941,0.25396825396825395,1,0.0,9.700197832144086,22.815820620908152,0.17957694233212984,0.18205161816800877
8,rough_seed_25,31,8,0.9607523140115312,12,0.0192447267472744,0.06775210195809285,0.2779271547177081,0.8041830658344806,0.015406162464985995,0.4376514848422927,0.9835096987410307,0.5477627243215069,1.4483488211999052,0.4126984126984127,4,0.16,0.24315857091215937,0.5687306342876898,0.07787097533011869,0.149422060633411
9,rough_seed_12,31,8,0.9615423883875188,12,0.01035249698907137,0.042187833806484644,0.13593833056178786,0.3430530990584825,0.03454715219421102,0.6495702367478338,1.3718524298779242,1.1014657348691579,2.357795156296123,0.2857142857142857,2,0.0,0.9608945872737489,1.7848846873749895,0.3030819842861316,0.47900295048354413
10,rough_seed_6,31,8,0.9604938032874418,12,0.011319076642394066,0.042909782661706856,0.13190238472981056,0.33570856932304877,0.036414565826330535,0.5369405765947455,1.0001476415727937,0.781541362824444,2.5498282820738623,0.38095238095238093,2,0.04,0.340218553668929,0.7739122300111475,0.1369966267358328,0.19651563884602713
