context_id,eta_name,eta_motion,eta_stability,eta_energy,selected_beta,beta_motion,beta_stability,beta_energy,J_motion,J_stability,J_energy,regret_motion,regret_stability,regret_energy,Q_eta,balanced_selected_beta,beta_changed_vs_balanced,target_objective,delta_target_J_vs_balanced,delta_target_regret_vs_balanced,target_semantic_result,delta_non_target_regret_mean,eta_Q_gain_vs_balanced_selection
rough_seed_13,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm080_ls020_le000,0.5900000000000001,0.26,0.15,4.433116592732395,0.4857931035504681,147.4083075334975,0.07933641749090085,0.527836600435501,0.7091206495906697,0.2407611954219468,lm080_ls020_le000,0,balanced,0.0,0.0,reference,0.0,0.0
rough_seed_13,motion_biased,0.7,0.15,0.15,lm080_ls020_le000,0.5900000000000001,0.26,0.15,4.433116592732395,0.4857931035504681,147.4083075334975,0.07933641749090085,0.527836600435501,0.7091206495906697,0.10877888823607601,lm080_ls020_le000,0,motion,0.0,0.0,tied,0.0,0.0
rough_seed_13,stability_biased,0.15,0.7,0.15,lm040_ls060_le000,0.37,0.48,0.15,4.445525657692599,0.480545692682495,147.58274612036152,0.21332168223148967,0.0,0.7685590117254372,0.11675667279975097,lm080_ls020_le000,1,stability,-0.005247410867973146,-0.527836600435501,improved,0.09671181343767815,-0.2576064893087705
rough_seed_13,energy_biased,0.15,0.15,0.7,lm040_ls000_le060,0.37,0.15,0.48,4.487812692895135,0.48775200494741067,145.32719359313973,0.6699104441468061,0.7248823206898959,0.0,0.11082453725073943,lm080_ls020_le000,1,energy,-2.081113940357767,-0.7091206495906697,improved,0.3938098734551501,-0.39143452153675357
rough_seed_7,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm000_ls060_le040,0.15,0.48,0.37,4.528300418459131,0.3215065063942171,131.85710764790647,0.6577257545448969,0.2381652803087465,0.4902517986104487,0.22386239429317928,lm000_ls060_le040,0,balanced,0.0,0.0,reference,0.0,0.0
rough_seed_7,motion_biased,0.7,0.15,0.15,lm000_ls100_le000,0.15,0.7000000000000001,0.15,4.4738512219075055,0.32303973485454657,132.4366902164479,0.1540811775971606,0.47064302712014006,0.6766954712068608,0.11065640030868305,lm000_ls060_le040,1,motion,-0.05444919655162561,-0.5036445769477362,improved,0.20946070970390282,-0.3554483337729378
rough_seed_7,stability_biased,0.15,0.7,0.15,lm020_ls020_le060,0.26,0.26,0.48,4.565303810371516,0.3199357677276557,130.33310099906856,1.0,0.0,0.0,0.1515,lm000_ls060_le040,1,stability,-0.0015707386665613776,-0.2381652803087465,improved,-0.0739887765776728,-0.01860481950801679
rough_seed_7,energy_biased,0.15,0.15,0.7,lm020_ls020_le060,0.26,0.26,0.48,4.565303810371516,0.3199357677276557,130.33310099906856,1.0,0.0,0.0,0.1515,lm000_ls060_le040,1,energy,-1.5240066488379114,-0.4902517986104487,improved,0.052054482573178296,-0.19645185816986768
rough_seed_15,balanced,0.3333333333333333,0.3333333333333333,0.3333333333333333,lm060_ls040_le000,0.48,0.37,0.15,4.4607908189180385,0.4406518202105258,152.39907229543368,0.14574749515138913,0.3284708532116371,0.48248874492912863,0.16401860528735004,lm060_ls040_le000,0,balanced,0.0,0.0,reference,0.0,0.0
rough_seed_15,motion_biased,0.7,0.15,0.15,lm040_ls060_le000,0.37,0.48,0.15,4.453475368085315,0.44164200180248164,152.39428454563986,0.0,0.5288771435991076,0.4807000010818959,0.08084593725688764,lm060_ls040_le000,1,motion,-0.007315450832723336,-0.14574749515138913,improved,0.09930877327011892,-0.023413981212355606
